0x00148653	vsnprintf
0x0296695f	refcount_warn_saturate
0x037a0cba	kfree
0x04be4820	seq_printf
0x052a5c8f	sk_free
0x07583eb2	device_find_child
0x0784f05c	dev_set_name
0x083eb21c	rfkill_unregister
0x091a089b	param_ops_bool
0x0c3690fc	_raw_spin_lock_bh
0x0da10ec3	security_sock_graft
0x0f15b38a	kmalloc_caches
0x11f8a681	seq_lseek
0x124bad4d	kstrtobool
0x1348649e	alt_cb_patch_nops
0x13f8371b	__class_create
0x15ba50a6	jiffies
0x1632bc21	kvasprintf_const
0x16e297c3	bit_wait
0x18d2d657	seq_puts
0x1984d421	out_of_line_wait_on_bit
0x19dd35ba	__alloc_skb
0x1d24c881	___ratelimit
0x2075e13d	debugfs_attr_write
0x20978fb9	idr_find
0x227fcbb5	debugfs_attr_read
0x234cc6c0	kfree_skb_reason
0x2469810f	__rcu_read_unlock
0x253af43d	delayed_work_timer_fn
0x25974000	wait_for_completion
0x263c3152	bcmp
0x263e8160	__pskb_pull_tail
0x27e6258d	init_uts_ns
0x28f42c1d	module_put
0x2be0c009	__arch_copy_from_user
0x2ca08111	debugfs_create_u8
0x2d3385d3	system_wq
0x2e9cfbff	sock_no_socketpair
0x31108fe3	put_cmsg
0x34db050b	_raw_spin_lock_irqsave
0x37110088	remove_wait_queue
0x37befc70	jiffies_to_msecs
0x3a908023	skb_dequeue
0x3dfc897c	seq_hlist_start_head
0x40235c98	_raw_write_unlock
0x41ed3709	get_random_bytes
0x42f44792	sock_no_accept
0x4735ac17	flush_work
0x47df155f	kstrtobool_from_user
0x4829a47e	memcpy
0x49cd25ed	alloc_workqueue
0x4a1b3404	sock_no_shutdown
0x4adb51eb	single_open
0x4afb2238	add_wait_queue
0x4b0a3f52	gic_nonsecure_priorities
0x4cdae0ba	datagram_poll
0x4feb4ee3	proto_register
0x51a511eb	_raw_write_lock_bh
0x554e3ff5	device_initialize
0x558b281d	aes_expandkey
0x56470118	__warn_printk
0x584525af	skb_trim
0x599fb41c	kvmalloc_node
0x5a44f8cb	__crypto_memneq
0x5a921311	strncmp
0x5b3ecf50	crypto_alloc_shash
0x60225859	sock_init_data
0x608741b5	__init_swait_queue_head
0x6091797f	synchronize_rcu
0x61bca68c	skb_recv_datagram
0x62737e1d	sock_unregister
0x6401ce4f	debugfs_create_dir
0x64e1a89d	simple_attr_release
0x656e4a6e	snprintf
0x66b4cc41	kmemdup
0x6748dc4a	sock_i_ino
0x68f31cbd	__list_add_valid
0x697ed5f0	memcpy_and_pad
0x6a3675f4	rfkill_alloc
0x6b853d06	ns_to_kernel_old_timeval
0x6cad6404	sk_alloc
0x6d5f5b91	radix_tree_tagged
0x6dea6a3b	sock_alloc_send_pskb
0x6fb25926	debugfs_remove
0x70d5e5c7	simple_attr_open
0x72a3fb20	crypto_shash_setkey
0x72b8adcd	debugfs_create_file
0x73234170	skb_queue_head
0x732ac580	queue_work_on
0x7475be8e	crypto_ecdh_key_len
0x74bf31f1	sock_no_connect
0x74d40f4e	iov_iter_revert
0x75bda77a	seq_hlist_next
0x7665a95b	idr_remove
0x7681946c	unregister_pm_notifier
0x7795233a	crypto_alloc_kpp
0x77e9eb37	aes_encrypt
0x78b887ed	vsprintf
0x78eb48ca	seq_putc
0x79cf5987	init_timer_key
0x79e4c52b	cpu_hwcaps
0x7aa1756e	kvfree
0x7f02188f	__msecs_to_jiffies
0x82f3eefb	__module_get
0x88db9f48	__check_object_size
0x8a4df5ef	sock_gettstamp
0x8c03d20c	destroy_workqueue
0x8c26d495	prepare_to_wait_event
0x8d522714	__rcu_read_lock
0x8ddd8aad	schedule_timeout
0x8e17b3ae	idr_destroy
0x9166fc03	__flush_workqueue
0x91e767fe	skb_copy
0x92540fbf	finish_wait
0x92888700	skb_free_datagram
0x92997ed8	_printk
0x9451ec1c	skb_unlink
0x94a1d0ed	lock_sock_nested
0x996f6d67	crypto_destroy_tfm
0x9a53602b	device_del
0x9a85eebb	__arch_copy_to_user
0x9bced1ab	sk_capable
0x9c81ceff	simple_read_from_buffer
0x9cc4f70a	register_pm_notifier
0x9d01eb28	__get_task_comm
0x9d9799e5	__sock_queue_rcv_skb
0xa0fbac79	wake_up_bit
0xa20b010c	device_move
0xa24f23d8	__request_module
0xa38602cd	drain_workqueue
0xa56e6382	proto_unregister
0xa571f6b0	__mutex_init
0xa6257a2f	complete
0xa916b694	strnlen
0xa97d698b	default_llseek
0xaad8c7d6	default_wake_function
0xac7a3881	skb_put
0xad728207	__dev_kfree_skb_irq
0xaf1d0f53	proc_create_seq_private
0xaf6d7db2	sock_i_uid
0xb0cdde42	skb_push
0xb1342d9c	release_sock
0xb230d2ec	crypto_ecdh_encode_key
0xb308c97d	wait_woken
0xb320cc0e	sg_init_one
0xb5b54b34	_raw_spin_unlock
0xb78e7543	kmalloc_trace
0xb8f11603	idr_alloc
0xb92c397b	sock_no_listen
0xba8fbd64	_raw_spin_lock
0xbaf22757	kvfree_call_rcu
0xbd6841d4	crc16
0xbe5e92c9	skb_pull
0xbf2d8fce	skb_queue_purge
0xbf57e89e	queue_delayed_work_on
0xc0052169	put_device
0xc0763484	rfkill_blocked
0xc2c193d2	__stack_chk_fail
0xc47219a9	device_add
0xc473d041	dev_fwnode
0xc4f0da12	ktime_get_with_offset
0xc57c48a3	idr_get_next
0xc5f73848	skb_pull_data
0xc6cbbc89	capable
0xcb131c31	sock_register
0xcbd4898c	fortify_panic
0xccd67e8e	__pskb_copy_fclone
0xcdc149a2	__sock_recv_timestamp
0xcfede7db	fwnode_property_read_u8_array
0xd0654aba	woken_wake_function
0xd0760fc0	kfree_sensitive
0xd3197c4c	sock_no_mmap
0xd32b6582	__sock_recv_cmsgs
0xd35cce70	_raw_spin_unlock_irqrestore
0xd395e8c3	crypto_shash_tfm_digest
0xd5977bfb	mutex_lock
0xd5fc0938	class_destroy
0xd6b17cf1	device_unregister
0xd80f3e2d	__sock_recv_wifi_status
0xd87e3670	debugfs_create_u16
0xd963f308	seq_read
0xd969d6f4	cancel_work_sync
0xd9a5ea54	__init_waitqueue_head
0xda2e6300	try_module_get
0xda571594	cancel_delayed_work
0xdb68bbad	rfkill_destroy
0xdcb764ad	memset
0xdd4d55b6	_raw_read_unlock
0xdd64e639	strscpy
0xde293f9e	add_wait_queue_exclusive
0xdf9dadfe	_copy_from_iter
0xe06141e9	security_sk_clone
0xe139b2bb	init_net
0xe1537255	__list_del_entry_valid
0xe274a30f	skb_copy_datagram_iter
0xe2964344	__wake_up
0xe46021ca	_raw_spin_unlock_bh
0xe48b1404	skb_clone
0xe68efe41	_raw_write_lock
0xe7a02573	ida_alloc_range
0xe7ab1ecc	_raw_write_unlock_bh
0xe8f7183d	single_release
0xea759d7f	module_layout
0xeb233a45	__kmalloc
0xed55cabd	mutex_unlock
0xef8b7667	remove_proc_entry
0xf181d237	get_device
0xf474fdcb	kfree_const
0xf5845708	sk_filter_trim_cap
0xf6d98003	sock_queue_rcv_skb_reason
0xf8beca97	cancel_delayed_work_sync
0xfba7a5f5	__get_random_u32_below
0xfc86e386	simple_open
0xfcf9632e	iov_iter_kvec
0xfd2a2296	skb_queue_tail
0xfe487975	init_wait_entry
0xfe8c61f0	_raw_read_lock
0xff282521	rfkill_register
0xffb7c514	ida_free
