symbol,crc,provider_kind,provider_modules,provider_module_count,consumer_modules,consumer_module_count,import_record_count,in_kernel_base,in_kernel_mtk,in_kernel_nothing,in_device_base,in_device_mtk,in_device_mtk_union,in_kernel_nothing_union,in_any_published_nothing_list,required_stock_crc,exact_gki_crc,exact_gki_crc_status
__ClearPageMovable,0xb4e74d22,KERNEL_OR_BUILTIN,,0,mali_kbase_mt6878_r44;zsmalloc,2,2,0,1,0,0,1,1,1,1,0xb4e74d22,0xb4e74d22,MATCH
__SetPageMovable,0xe8b6d861,KERNEL_OR_BUILTIN,,0,zsmalloc,1,1,0,1,0,0,1,1,1,1,0xe8b6d861,0xe8b6d861,MATCH
___drm_dbg,0x7e3277f8,KERNEL_OR_BUILTIN,,0,drm_display_helper;drm_dma_helper;mediatek_drm,3,3,0,1,0,0,0,0,1,1,0x7e3277f8,0x7e3277f8,MATCH
___pskb_trim,0x45b20f13,KERNEL_OR_BUILTIN,,0,mac80211;tipc,2,2,0,1,0,0,0,0,1,1,0x45b20f13,0x45b20f13,MATCH
___ratelimit,0x1d24c881,KERNEL_OR_BUILTIN,,0,adsp;aee_aed;apu_top;apusys;bluetooth;bus_parity;c2k_usb;cache_parity;can;ccci_md_all;ccd_rpmsg;cfg80211;clk_common;connadp;conninfra;device_apc_common;drm_display_helper;emi_mpu;fhctl;flashlight;fmradio_drv_connac2x;ftdi_sio;hf_manager;imgsensor;iommu_debug;l2tp_ppp;last_bus;mac80211;mac802154;mali_kbase_mt6878_r44;mdp_drv_mt6878;mediatek_drm;mediatek_drm_gateic;mmprofile;mt6375_auxadc;mt6375_battery;mtk_btcvsd;mtk_cam_isp7sp;mtk_ccuv;mtk_charger_framework;mtk_cmdq_drv_ext;mtk_dvfsrc_helper;mtk_imgsys_cmdq;mtk_mdpm;mtk_mminfra_debug;mtk_mml;mtk_pbm;mtk_pmic_oc_debug;mtk_pmic_wrap;mtk_scp_audiocommon;mtk_smi;mtk_ssc;mtk_u_ether;rtc_mt6685;sensorhub;smpu;smpu_hook_v1;snd_soc_audiodsp_common;snd_soc_mt6878_afe;snd_soc_mtk_common;spmi_mtk_pmif;tcpc_class;tipc;ufs_mediatek_dbg;wlan_drv_gen4m_6878;xhci_mtk_hcd_v2,66,67,0,1,1,0,1,1,1,1,0x1d24c881,0x1d24c881,MATCH
__alloc_pages,0x7870d49b,KERNEL_OR_BUILTIN,,0,mali_dmabuf_test_mt6878_r44;mali_kbase_mt6878_r44;mali_mgm_mt6878_r44;mtk_sec_heap;r8152;system_heap;tmem_ffa;zsmalloc,8,8,0,1,1,0,1,1,1,1,0x7870d49b,0x7870d49b,MATCH
__alloc_percpu,0x29f93135,KERNEL_OR_BUILTIN,,0,can_raw;gz_irq_mod;met;ppp_generic;tipc;zram,6,6,0,1,0,0,1,1,1,1,0x29f93135,0x29f93135,MATCH
__alloc_percpu_gfp,0x7900fd25,KERNEL_OR_BUILTIN,,0,8021q;mac80211;tipc;usbnet,4,4,0,1,0,0,0,0,1,1,0x7900fd25,0x7900fd25,MATCH
__alloc_skb,0x19dd35ba,KERNEL_OR_BUILTIN,,0,bluetooth;bt_drv_6878;btqca;btsdio;can_bcm;cdc_ncm;cfg80211;conninfra;frs;hci_uart;hidp;ieee802154;ieee802154_6lowpan;mac80211;mt6375_battery;mtk_mbraink;mtk_u_ether;nfc;ppp_generic;rfcomm;thermal_interface;tipc;wlan_drv_gen4m_6878;wwan,24,25,0,1,0,0,1,1,1,1,0x19dd35ba,0x19dd35ba,MATCH
__arch_clear_user,0x4d296494,KERNEL_OR_BUILTIN,,0,mali_kbase_mt6878_r44,1,1,0,1,0,0,1,1,1,1,0x4d296494,0x4d296494,MATCH
__arch_copy_from_user,0x2be0c009,KERNEL_OR_BUILTIN,,0,8021q;adsp;aee_aed;aee_rs;apu_top;apusys;audio_ipi;aw883xx_driver;blocktag;bluetooth;bootprof;bt_drv_6878;c2ps_perf_ioctl;camera_dpe_isp7sp;camera_eeprom_v4l2;can_dev;can_raw;ccci_dpmaif;ccci_md_all;ccci_util_lib;ccmni;clk_common;cmdq_test;connfem;conninfra;connscp;cpudvfs;cpuqos_v3;device_apc_common;fhctl;flashlight;fmradio_drv_connac2x;focaltech_touch_spi_ft3680;ged;gps_drv_dl_v051;gps_scp;gpueb;gz_main_mod;gzvm;hbt;hf_manager;hidp;ieee802154_socket;imgsensor;l2tp_ppp;log_store;main2_vcm;main3_vcm;main4_vcm;main_vcm;mali_dmabuf_test_mt6878_r44;mali_kbase_mt6878_r44;md_cooling_all;mddp;mdp_drv_mt6878;mediatek_drm;microarray_fp_tee;mmprofile;monitor_hang;mt6375_battery;mt6878_mt6369;mtk_btcvsd;mtk_cam_isp7sp;mtk_ccd_remoteproc;mtk_ccuv;mtk_charger_framework;mtk_core_ctl;mtk_dpc;mtk_gpu_qos;mtk_gpufreq_wrapper;mtk_hcp;mtk_heap_debug;mtk_imgsys_v4l2;mtk_ioctl_powerhal;mtk_ioctl_touch_boost;mtk_lpm;mtk_mbraink;mtk_mdpm;mtk_mmc_dbg;mtk_mml;mtk_pbm;mtk_peak_power_budget;mtk_perf_ioctl;mtk_perf_ioctl_magt;mtk_printk_ctrl;mtk_scp_audiocommon;mtk_soc_offload_common;mtk_swpm;mtk_vcodec_dec_v1;mtk_vcu;mtk_vow;mtu3;mux_switch;nfc;pda_drv_mt6878;phy_mtk_xsphy;pidmap;pinctrl_mtk_common_v2_debug;powerhal_cpu_ctrl;ppp_generic;rfcomm;rfkill;rpmb_mtk;rtc_mt6685;sapu;scheduler;scp;sec;snd_soc_audiodsp_common;snd_soc_mt6369;snd_soc_mtk_common;snd_soc_mtk_scp_ultra;snd_soc_tfa98xx;spi_tiny_co5300_lcd;sub_vcm;teeperf;thermal_interface;tipc;tkcore;touch_boost;uarthub_drv;ufs_mediatek_dbg;ufs_mediatek_mod;usb_logger;usb_offload;vcp;widevine_driver;wlan_drv_gen4m_6878;wmt_chrdev_wifi_connac2;wwan;xhci_mtk_hcd_v2;yft_tpd_gesture,132,133,0,1,1,0,1,1,1,1,0x2be0c009,0x2be0c009,MATCH
