0xf9a482f9	msleep
0xc3055d20	usleep_range_state
0x92997ed8	_printk
0xc2c193d2	__stack_chk_fail
0x0ec43f6f	gpio_to_desc
0x1aadfa2a	gpiod_direction_output_raw
0x34db050b	_raw_spin_lock_irqsave
0x27bbf221	disable_irq_nosync
0xd35cce70	_raw_spin_unlock_irqrestore
0xfcec0987	enable_irq
0xd5977bfb	mutex_lock
0x4d18d895	input_event
0xe83a2318	input_mt_report_slot_state
0xed55cabd	mutex_unlock
0xce2840e7	irq_set_irq_wake
0x02f3ea4c	tpgesture_value
0x30ac810a	tpgesture_status
0x0f15b38a	kmalloc_caches
0xb78e7543	kmalloc_trace
0xe35274a3	of_find_property
0x94a3f9c7	of_property_read_variable_u32_array
0xb9ab15e7	of_get_named_gpio_flags
0x49cd25ed	alloc_workqueue
0xa571f6b0	__mutex_init
0xd9a5ea54	__init_waitqueue_head
0x8be45c3b	wakeup_source_register
0xb511937b	wakeup_source_unregister
0xd969d6f4	cancel_work_sync
0x037a0cba	kfree
0x8c03d20c	destroy_workqueue
0x47229b5c	gpio_request
0xff3802dc	gpiod_direction_input
0x7bfbbb52	regulator_get
0xcebc8bd6	regulator_count_voltages
0xee5baf2d	regulator_set_voltage
0xe17b85db	regulator_put
0xeae3dfd6	__const_udelay
0xfe990052	gpio_free
0xd8654f13	input_unregister_device
0x2c85b85e	input_allocate_device
0xcbcf985f	input_set_capability
0xf24483b2	input_mt_init_slots
0xf28ecabf	input_set_abs_params
0x7ce217c7	input_register_device
0x58fd3714	input_free_device
0xe46623a3	gpiod_to_irq
0x92d5838e	request_threaded_irq
0x4c353ac0	mtk_disp_notifier_register
0xa11ab00a	mtk_disp_notifier_unregister
0xc1514a3b	free_irq
0x8b37c47c	regulator_disable
0xe8decd2e	regulator_enable
0x37befc70	jiffies_to_msecs
0x43b33a8d	pm_wakeup_ws_event
0x15ba50a6	jiffies
0xdcb764ad	memset
0x656e4a6e	snprintf
0x4829a47e	memcpy
0xe2964344	__wake_up
0x732ac580	queue_work_on
0x7ae3018a	proc_create_data
0xce01cfc4	proc_remove
0xf43d4bfe	sysfs_create_group
0xf1d806db	sysfs_remove_group
0xeb233a45	__kmalloc
0x88db9f48	__check_object_size
0x1348649e	alt_cb_patch_nops
0x4b0a3f52	gic_nonsecure_priorities
0x9a85eebb	__arch_copy_to_user
0x79e4c52b	cpu_hwcaps
0x2be0c009	__arch_copy_from_user
0xcbd4898c	fortify_panic
0xfe487975	init_wait_entry
0x8c26d495	prepare_to_wait_event
0x01000e51	schedule
0x92540fbf	finish_wait
0xf14251ad	irq_to_desc
0xbcab6ee6	sscanf
0x8386526d	tpgesture_hander
0xbf57e89e	queue_delayed_work_on
0xf8beca97	cancel_delayed_work_sync
0x253af43d	delayed_work_timer_fn
0x79cf5987	init_timer_key
0x8a1b623e	sysfs_create_file_ns
0xfb705284	sysfs_remove_file_ns
0x9c3fdf15	request_firmware
0xd6ee688f	vmalloc
0xc6d09aa9	release_firmware
0x999e8297	vfree
0xd0815107	touch_fw_version
0x3c3ff9fd	sprintf
0x68f31cbd	__list_add_valid
0x8211a422	spi_sync
0x56c1736a	spi_setup
0xea3d7f0d	yft_spitouchpanel_device_add
0x9a9c1906	__spi_register_driver
0x1be461e1	driver_unregister
0x0a0f3b69	yft_set_touch_device_used
0xc4f0da12	ktime_get_with_offset
0x06987aeb	misc_register
0x94a9d12b	misc_deregister
0x7f02188f	__msecs_to_jiffies
0x8ddd8aad	schedule_timeout
0x9ed12e20	kmalloc_large
0xea759d7f	module_layout
