0xf9a482f9	msleep
0xc3055d20	usleep_range_state
0x92997ed8	_printk
0xc2c193d2	__stack_chk_fail
0x0ec43f6f	gpio_to_desc
0x1aadfa2a	gpiod_direction_output_raw
0x34db050b	_raw_spin_lock_irqsave
0x27bbf221	disable_irq_nosync
0xd35cce70	_raw_spin_unlock_irqrestore
0xfcec0987	enable_irq
0xd5977bfb	mutex_lock
0x4d18d895	input_event
0xe83a2318	input_mt_report_slot_state
0xed55cabd	mutex_unlock
0xce2840e7	irq_set_irq_wake
0x02f3ea4c	tpgesture_value
0x30ac810a	tpgesture_status
0x0f15b38a	kmalloc_caches
0xb78e7543	kmalloc_trace
0xe35274a3	of_find_property
0x94a3f9c7	of_property_read_variable_u32_array
0xb9ab15e7	of_get_named_gpio_flags
0x49cd25ed	alloc_workqueue
0xa571f6b0	__mutex_init
0xd9a5ea54	__init_waitqueue_head
0x8be45c3b	wakeup_source_register
0xb511937b	wakeup_source_unregister
0xd969d6f4	cancel_work_sync
0x037a0cba	kfree
0x8c03d20c	destroy_workqueue
0x47229b5c	gpio_request
0xff3802dc	gpiod_direction_input
0x7bfbbb52	regulator_get
0xcebc8bd6	regulator_count_voltages
0xee5baf2d	regulator_set_voltage
0xe17b85db	regulator_put
0xeae3dfd6	__const_udelay
0xfe990052	gpio_free
0xd8654f13	input_unregister_device
0x2c85b85e	input_allocate_device
0xcbcf985f	input_set_capability
0xf24483b2	input_mt_init_slots
0xf28ecabf	input_set_abs_params
0x7ce217c7	input_register_device
0x58fd3714	input_free_device
0xe46623a3	gpiod_to_irq
0x92d5838e	request_threaded_irq
0x4c353ac0	mtk_disp_notifier_register
0xa11ab00a	mtk_disp_notifier_unregister
0xc1514a3b	free_irq
0x8b37c47c	regulator_disable
0xe8decd2e	regulator_enable
0x37befc70	jiffies_to_msecs
0x43b33a8d	pm_wakeup_ws_event
0x15ba50a6	jiffies
0xdcb764ad	memset
0x656e4a6e	snprintf
0x4829a47e	memcpy
0xe2964344	__wake_up
0x732ac580	queue_work_on
