crc	symbol	dlkm_provider
0xf9a482f9	msleep	NO_DLKM_PROVIDER
0xc3055d20	usleep_range_state	NO_DLKM_PROVIDER
0x92997ed8	_printk	NO_DLKM_PROVIDER
0xc2c193d2	__stack_chk_fail	NO_DLKM_PROVIDER
0x0ec43f6f	gpio_to_desc	NO_DLKM_PROVIDER
0x1aadfa2a	gpiod_direction_output_raw	NO_DLKM_PROVIDER
0x34db050b	_raw_spin_lock_irqsave	NO_DLKM_PROVIDER
0x27bbf221	disable_irq_nosync	NO_DLKM_PROVIDER
0xd35cce70	_raw_spin_unlock_irqrestore	NO_DLKM_PROVIDER
0xfcec0987	enable_irq	NO_DLKM_PROVIDER
0xd5977bfb	mutex_lock	NO_DLKM_PROVIDER
0x4d18d895	input_event	NO_DLKM_PROVIDER
0xe83a2318	input_mt_report_slot_state	NO_DLKM_PROVIDER
0xed55cabd	mutex_unlock	NO_DLKM_PROVIDER
0xce2840e7	irq_set_irq_wake	NO_DLKM_PROVIDER
0x02f3ea4c	tpgesture_value	NO_DLKM_PROVIDER
0x30ac810a	tpgesture_status	NO_DLKM_PROVIDER
0x0f15b38a	kmalloc_caches	NO_DLKM_PROVIDER
0xb78e7543	kmalloc_trace	NO_DLKM_PROVIDER
0xe35274a3	of_find_property	NO_DLKM_PROVIDER
0x94a3f9c7	of_property_read_variable_u32_array	NO_DLKM_PROVIDER
0xb9ab15e7	of_get_named_gpio_flags	NO_DLKM_PROVIDER
0x49cd25ed	alloc_workqueue	NO_DLKM_PROVIDER
0xa571f6b0	__mutex_init	NO_DLKM_PROVIDER
0xd9a5ea54	__init_waitqueue_head	NO_DLKM_PROVIDER
0x8be45c3b	wakeup_source_register	NO_DLKM_PROVIDER
0xb511937b	wakeup_source_unregister	NO_DLKM_PROVIDER
0xd969d6f4	cancel_work_sync	NO_DLKM_PROVIDER
0x037a0cba	kfree	NO_DLKM_PROVIDER
0x8c03d20c	destroy_workqueue	NO_DLKM_PROVIDER
0x47229b5c	gpio_request	NO_DLKM_PROVIDER
0xff3802dc	gpiod_direction_input	NO_DLKM_PROVIDER
0x7bfbbb52	regulator_get	NO_DLKM_PROVIDER
0xcebc8bd6	regulator_count_voltages	NO_DLKM_PROVIDER
0xee5baf2d	regulator_set_voltage	NO_DLKM_PROVIDER
0xe17b85db	regulator_put	NO_DLKM_PROVIDER
0xeae3dfd6	__const_udelay	NO_DLKM_PROVIDER
0xfe990052	gpio_free	NO_DLKM_PROVIDER
0xd8654f13	input_unregister_device	NO_DLKM_PROVIDER
0x2c85b85e	input_allocate_device	NO_DLKM_PROVIDER
0xcbcf985f	input_set_capability	NO_DLKM_PROVIDER
0xf24483b2	input_mt_init_slots	NO_DLKM_PROVIDER
0xf28ecabf	input_set_abs_params	NO_DLKM_PROVIDER
0x7ce217c7	input_register_device	NO_DLKM_PROVIDER
0x58fd3714	input_free_device	NO_DLKM_PROVIDER
0xe46623a3	gpiod_to_irq	NO_DLKM_PROVIDER
0x92d5838e	request_threaded_irq	NO_DLKM_PROVIDER
0x4c353ac0	mtk_disp_notifier_register	NO_DLKM_PROVIDER
