symbol,crc,provider_kind,provider_modules,provider_module_count,consumer_modules,consumer_module_count,import_record_count,in_kernel_base,in_kernel_mtk,in_kernel_nothing,in_device_base,in_device_mtk,in_device_mtk_union,in_kernel_nothing_union,in_any_published_nothing_list,consumer_classifications,consumer_locations
__tracepoint_android_rvh_iommu_limit_align_shift,0xe72e34ff,KERNEL_OR_BUILTIN,,0,iommu_debug,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,vendor_boot_platform
add_cpu,0x7eb808d0,KERNEL_OR_BUILTIN,,0,tkcore_drv,1,1,0,0,0,0,0,0,0,0,ULEFONE_ONLY,vendor_boot_platform
bitmap_parselist,0x1b015d25,KERNEL_OR_BUILTIN,,0,yft_gpio_keys,1,1,0,0,0,0,0,0,0,0,ULEFONE_ONLY,vendor_boot_platform
class_create_file_ns,0x7f96615d,KERNEL_OR_BUILTIN,,0,aw883xx_driver;camera_eeprom_v4l2;extcon_mtk_usb;flashlight;panel_ky_vtdr6115_dphy_cmd;sc8571_charger;sh366003_fg;tcpc_class;yft_devinfo,9,9,0,0,0,0,0,0,0,0,DIRECT_SOURCE_MATCH;LIKELY_PLATFORM_MATCH;NEEDS_ULEFONE_PORT;ULEFONE_ONLY,vendor_boot_platform;vendor_dlkm
class_remove_file_ns,0xe11eda7f,KERNEL_OR_BUILTIN,,0,aw883xx_driver;flashlight;yft_devinfo,3,3,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH;NEEDS_ULEFONE_PORT;ULEFONE_ONLY,vendor_boot_platform;vendor_dlkm
cpu_busy_with_softirqs,0x3c5aab9e,KERNEL_OR_BUILTIN,,0,scheduler,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,vendor_dlkm
device_get_named_child_node,0xb456957a,KERNEL_OR_BUILTIN,,0,extdev_io_class,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,vendor_boot_platform
devm_fwnode_gpiod_get_index,0x92ce209d,KERNEL_OR_BUILTIN,,0,yft_gpio_keys,1,1,0,0,0,0,0,0,0,0,ULEFONE_ONLY,vendor_boot_platform
devm_kmemdup,0x9ec5e35d,KERNEL_OR_BUILTIN,,0,extdev_io_class,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,vendor_boot_platform
devm_request_any_context_irq,0xf62dc15f,KERNEL_OR_BUILTIN,,0,yft_gpio_keys,1,1,0,0,0,0,0,0,0,0,ULEFONE_ONLY,vendor_boot_platform
find_vma,0xa8f1e1ea,KERNEL_OR_BUILTIN,,0,tkcore,1,1,0,0,0,0,0,0,0,0,ULEFONE_ONLY,vendor_boot_platform
gpiod_cansleep,0x937449ad,KERNEL_OR_BUILTIN,,0,yft_gpio_keys,1,1,0,0,0,0,0,0,0,0,ULEFONE_ONLY,vendor_boot_platform
gpiod_is_active_low,0x8ae29508,KERNEL_OR_BUILTIN,,0,yft_gpio_keys,1,1,0,0,0,0,0,0,0,0,ULEFONE_ONLY,vendor_boot_platform
gpiod_set_raw_value_cansleep,0x2db93e29,KERNEL_OR_BUILTIN,,0,aw883xx_driver,1,1,0,0,0,0,0,0,0,0,NEEDS_ULEFONE_PORT,vendor_dlkm
idr_preload,0x954f099c,KERNEL_OR_BUILTIN,,0,tkcore,1,1,0,0,0,0,0,0,0,0,ULEFONE_ONLY,vendor_boot_platform
input_device_enabled,0x4e243813,KERNEL_OR_BUILTIN,,0,yft_gpio_keys,1,1,0,0,0,0,0,0,0,0,ULEFONE_ONLY,vendor_boot_platform
memcpy_and_pad,0x697ed5f0,KERNEL_OR_BUILTIN,,0,bluetooth,1,2,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,system_dlkm;vendor_dlkm
of_platform_device_destroy,0x78bfadc8,KERNEL_OR_BUILTIN,,0,extdev_io_class,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,vendor_boot_platform
perf_event_read_local,0x92d2a53c,KERNEL_OR_BUILTIN,,0,mtk_mbraink,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,vendor_dlkm
power_supply_get_by_phandle,0x38758b0d,KERNEL_OR_BUILTIN,,0,mt6375_auxadc,1,1,0,0,0,0,0,0,0,0,DIRECT_SOURCE_MATCH,vendor_boot_platform
power_supply_unregister,0x931aa919,KERNEL_OR_BUILTIN,,0,sc8571_charger,1,1,0,0,0,0,0,0,0,0,ULEFONE_ONLY,vendor_boot_platform
prepare_to_wait,0xd5fd90f1,KERNEL_OR_BUILTIN,,0,tkcore_drv,1,1,0,0,0,0,0,0,0,0,ULEFONE_ONLY,vendor_boot_platform
scsi_dma_unmap,0xfd77d74d,KERNEL_OR_BUILTIN,,0,ufs_mediatek_mod,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,vendor_boot_platform
simple_strtol,0x0b742fd7,KERNEL_OR_BUILTIN,,0,mtk_charger_framework;yft_devinfo,2,2,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH;ULEFONE_ONLY,vendor_boot_platform;vendor_dlkm
simple_strtoul,0x20000329,KERNEL_OR_BUILTIN,,0,sh366003_fg,1,1,0,0,0,0,0,0,0,0,ULEFONE_ONLY,vendor_boot_platform
stack_trace_save_tsk,0x5b0816c3,KERNEL_OR_BUILTIN,,0,irq_dbg,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,vendor_boot_platform
usb_deregister_device_driver,0xdadf653f,KERNEL_OR_BUILTIN,,0,r8152,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,system_dlkm
usb_register_device_driver,0xb4a30ad8,KERNEL_OR_BUILTIN,,0,r8152,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,system_dlkm
usb_set_configuration,0x58ece092,KERNEL_OR_BUILTIN,,0,r8152,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,system_dlkm
v4l2_m2m_reqbufs,0x326723a4,KERNEL_OR_BUILTIN,,0,mtk_vcodec_dec_v1,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,vendor_dlkm
vm_unmapped_area,0x064b9739,KERNEL_OR_BUILTIN,,0,mali_kbase_mt6878_r44,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,vendor_dlkm
xa_find,0x8fa25c24,KERNEL_OR_BUILTIN,,0,mtk_wp,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,vendor_boot_platform
xa_find_after,0xdf36914b,KERNEL_OR_BUILTIN,,0,mtk_wp,1,1,0,0,0,0,0,0,0,0,LIKELY_PLATFORM_MATCH,vendor_boot_platform
