symbol	files_containing_symbol
__tracepoint_android_rvh_iommu_limit_align_shift	4
add_cpu	158
bitmap_parselist	23
class_create_file_ns	15
class_remove_file_ns	11
cpu_busy_with_softirqs	1
device_get_named_child_node	33
devm_fwnode_gpiod_get_index	12
devm_kmemdup	117
devm_request_any_context_irq	29
find_vma	145
gpiod_cansleep	25
gpiod_is_active_low	22
gpiod_set_raw_value_cansleep	21
idr_preload	61
input_device_enabled	47
memcpy_and_pad	15
of_platform_device_destroy	18
perf_event_read_local	20
power_supply_get_by_phandle	37
power_supply_unregister	67
prepare_to_wait	190
scsi_dma_unmap	74
simple_strtol	89
simple_strtoul	305
stack_trace_save_tsk	16
usb_deregister_device_driver	6
usb_register_device_driver	6
usb_set_configuration	16
v4l2_m2m_reqbufs	14
vm_unmapped_area	32
xa_find	20
xa_find_after	18
