sha256,filename,module_name,locations,classification,classification_evidence
002ad3ef1927928c87cbddd2b27e926e59813ca2f62b5e3289655e0a6216a5e1,main_vcm.ko,main_vcm,vendor_dlkm,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/misc/mediatek/lens/vcm/v4l2/main_vcm target-scoped (compatible=mediatek,main_vcm)"
012154006ea26048afb958202d54744ff53889dd7b408d0c59ca681a3edcd004,pmic_lvsys_notify.ko,pmic_lvsys_notify,vendor_boot_platform,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/misc/mediatek/power_throttling target-scoped (compatible=mediatek,mt6363-lvsys-notify; exports=lvsys_register_notifier,lvsys_unregister_notifier)"
0136628a3419d3c7d02274cb4056c343bd463cba7115eb1f19625d524402cfa9,mt6685-audclk.ko,mt6685_audclk,vendor_boot_platform,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/mfd TARGET_FILES (exports=mt6685_set_dcxo,mt6685_set_dcxo_mode)"
01af3b923c3cde9ac85020a9e26cc40a5f5f8d807ec8ccf63a2b22e8275529d0,mtk-vcodec-dec-v1.ko,mtk_vcodec_dec_v1,vendor_dlkm,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/media/platform/mtk-vcodec DIRECTORY_FALLBACK (compatible=mediatek,mt2712-vcodec-dec,mediatek,mt6771-vcodec-dec,mediatek,mt6835-vcodec-dec,mediatek,mt6853-vcodec-dec)"
01b3782bb6c99b1b8e0a032a743ef497e0d313c634aff7b4828e0622ee3dd3b8,ieee802154_socket.ko,ieee802154_socket,system_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel:net/ieee802154
02d2b0536b1a84ebdd454894343b07044c151c5616452fd639ae48a139b75983,pmic_temp.ko,pmic_temp,vendor_dlkm,DIRECT_SOURCE_MATCH,"exact module name plus target-scoped hardware corroboration: device_modules:drivers/thermal/mediatek target-scoped (compatible=mediatek,mt6338-pmic-temp,mediatek,mt6359-pmic-temp,mediatek,mt6363-pmic-temp,mediatek,mt6366-pmic-temp)"
037175478603983d5a333186c803bc2d9e424939ad87f8e8d088062400e25386,mtk-swpm-dbg-common-v1.ko,mtk_swpm_dbg_common_v1,vendor_dlkm,LIKELY_PLATFORM_MATCH,"exact module-name target found; corroboration is non-decisive (export-only and/or directory-scoped): device_modules:drivers/misc/mediatek/swpm/modules/debug/v1 DIRECTORY_FALLBACK (exports=swpm_dbg_common_fs_exit,swpm_dbg_common_fs_init,swpm_gpu_debug,swpm_status)"
03837d13863e3f6694918e2e049edbc3bd5ca5cb02e10d6f374620cca98ed226,tkcore.ko,tkcore,vendor_boot_platform,ULEFONE_ONLY,TrustKernel TKCore is a distinct TEE stack; matching GlobalPlatform TEEC API names in Nothing TEEI do not prove source equivalence
0423196dc09885535bf6673e86cb8998653b164f28fe743a0f0da258118ee10a,camera_eeprom_v4l2.ko,camera_eeprom_v4l2,vendor_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel_modules:.
0477a6535f4da8a5881b9d9699940983317263dcf7e7e865685d377cd82a2fb2,aqc111.ko,aqc111,system_dlkm,LIKELY_PLATFORM_MATCH,exact module-name target found in Nothing source index; needs target-scoped symbol/DT/KMI confirmation; kernel:drivers/net/usb
