module_name,classifications,status,target_hits,composite_hits,source_hits,target_examples,composite_examples,source_examples
arm_dsu_pmu,DIRECT_SOURCE_MATCH,ANDROID_COMMON_BUILD_TARGET,1,0,1,drivers/perf/Makefile:5:obj-$(CONFIG_ARM_DSU_PMU) += arm_dsu_pmu.o,,drivers/perf/arm_dsu_pmu.c
aw36515,NEEDS_ULEFONE_PORT,STILL_UNRESOLVED,0,0,0,,,
aw36518,NEEDS_ULEFONE_PORT,STILL_UNRESOLVED,0,0,0,,,
aw36518_v2,NEEDS_ULEFONE_PORT,STILL_UNRESOLVED,0,0,0,,,
aw883xx_driver,NEEDS_ULEFONE_PORT,STILL_UNRESOLVED,0,0,0,,,
bt_drv_6878,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
camera_dpe_isp7sp,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
ccd_rpmsg,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
connadp,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
connscp,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
drm_display_helper,LIKELY_PLATFORM_MATCH,ANDROID_COMMON_BUILD_TARGET,1,6,0,drivers/gpu/drm/display/Makefile:16:obj-$(CONFIG_DRM_DISPLAY_HELPER) += drm_display_helper.o,drivers/gpu/drm/display/Makefile:5:drm_display_helper-y := drm_display_helper_mod.o || drivers/gpu/drm/display/Makefile:6:drm_display_helper-$(CONFIG_DRM_DISPLAY_DP_HELPER) += drm_dp_dual_mode_helper.o \ || drivers/gpu/drm/display/Makefile:10:drm_display_helper-$(CONFIG_DRM_DISPLAY_HDCP_HELPER) += drm_hdcp_helper.o || drivers/gpu/drm/display/Makefile:11:drm_display_helper-$(CONFIG_DRM_DISPLAY_HDMI_HELPER) += drm_hdmi_helper.o \ || drivers/gpu/drm/display/Makefile:13:drm_display_helper-$(CONFIG_DRM_DP_AUX_CHARDEV) += drm_dp_aux_dev.o,
drm_dma_helper,LIKELY_PLATFORM_MATCH,ANDROID_COMMON_BUILD_TARGET,1,2,0,drivers/gpu/drm/Makefile:47:obj-$(CONFIG_DRM_GEM_DMA_HELPER) += drm_dma_helper.o,drivers/gpu/drm/Makefile:45:drm_dma_helper-y := drm_gem_dma_helper.o || drivers/gpu/drm/Makefile:46:drm_dma_helper-$(CONFIG_DRM_KMS_HELPER) += drm_fb_dma_helper.o,
fmradio_drv_connac2x,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
focaltech_touch_spi_ft3680,NEEDS_ULEFONE_PORT,STILL_UNRESOLVED,0,0,0,,,
industrialio_triggered_buffer,LIKELY_PLATFORM_MATCH,ANDROID_COMMON_BUILD_TARGET,1,0,1,drivers/iio/buffer/Makefile:11:obj-$(CONFIG_IIO_TRIGGERED_BUFFER) += industrialio-triggered-buffer.o,,drivers/iio/buffer/industrialio-triggered-buffer.c
kfifo_buf,LIKELY_PLATFORM_MATCH,ANDROID_COMMON_BUILD_TARGET,1,0,1,drivers/iio/buffer/Makefile:12:obj-$(CONFIG_IIO_KFIFO_BUF) += kfifo_buf.o,,drivers/iio/buffer/kfifo_buf.c
leds_rgb_aw2013,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
lpm_gov_MHSP,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
mac80211,LIKELY_PLATFORM_MATCH,ANDROID_COMMON_BUILD_TARGET,1,6,5,net/mac80211/Makefile:2:obj-$(CONFIG_MAC80211) += mac80211.o,net/mac80211/Makefile:5:mac80211-y := \ || net/mac80211/Makefile:41:mac80211-$(CONFIG_MAC80211_LEDS) += led.o || net/mac80211/Makefile:42:mac80211-$(CONFIG_MAC80211_DEBUGFS) += \ || net/mac80211/Makefile:48:mac80211-$(CONFIG_MAC80211_MESH) += \ || net/mac80211/Makefile:56:mac80211-$(CONFIG_PM) += pm.o,drivers/net/wireless/realtek/rtw88/mac80211.c || drivers/net/wireless/realtek/rtw89/mac80211.c || drivers/net/wireless/mediatek/mt76/mac80211.c || drivers/net/wireless/intel/iwlwifi/dvm/mac80211.c || drivers/net/wireless/intel/iwlwifi/mvm/mac80211.c
mali_dmabuf_test_mt6878_r44,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
mali_kbase_mt6878_r44,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
mali_mgm_mt6878_r44,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
mali_prot_alloc_mt6878_r44,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
mtk_aie,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
mtk_cam_isp7sp,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
mtk_ccd_remoteproc,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
mtk_lpm_dbg_common_v2,LIKELY_PLATFORM_MATCH,STILL_UNRESOLVED,0,0,0,,,
