module_name,normalized_name,classifications,status,nothing_target_hits,nothing_source_hits,mt6878_target_hits,mt6878_source_hits,target_examples,source_examples
6lowpan,6lowpan,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
8021q,8021q,LIKELY_PLATFORM_MATCH,GOOGLE_GKI_ARTIFACT,0,0,0,0,,
8250_mtk,8250_mtk,DIRECT_SOURCE_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/tty/serial/8250/Makefile:7:obj-$(CONFIG_DEVICE_MODULES_SERIAL_8250_MT6577)	+= 8250_mtk.o,device_modules/drivers/tty/serial/8250/8250_mtk.c
adapter_class,adapter_class,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/power/supply/Makefile:7:obj-$(CONFIG_MTK_CHARGER) += mtk_charger_framework.o mtk_pd_charging.o charger_class.o adapter_class.o mtk_charger_algorithm_class.o mtk_pd_adapter.o,device_modules/drivers/power/supply/adapter_class.c
adsp,adsp,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/misc/mediatek/adsp/Makefile:14:obj-${CONFIG_MTK_AUDIODSP_SUPPORT} += adsp.o,
aee_aed,aee_aed,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/misc/mediatek/aee/aed/Makefile:18:obj-$(CONFIG_MTK_AEE_AED)	+= aee_aed.o,
aee_hangdet,aee_hangdet,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/misc/mediatek/aee/hangdet/Makefile:21:obj-$(CONFIG_MTK_AEE_HANGDET)	+= aee_hangdet.o,
aee_rs,aee_rs,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,1,0,0,device_modules/drivers/misc/mediatek/aee/aed/Makefile:25:obj-$(CONFIG_MTK_AEE_FEATURE)	+= aee_rs.o,device_modules/drivers/misc/mediatek/aee/aed/aee_rs.c
apu_top,apu_top,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/misc/mediatek/apusys/power/Makefile:99:obj-$(CONFIG_MTK_APUSYS_SUPPORT) += apu_top.o,
apusys,apusys,LIKELY_PLATFORM_MATCH,NOTHING_BUILD_TARGET,1,0,0,0,device_modules/drivers/misc/mediatek/apusys/Makefile:26:obj-$(CONFIG_MTK_APUSYS_SUPPORT) += apusys.o,
