module	classification	family	search_terms
bt_drv_6878	LIKELY_PLATFORM_MATCH	connectivity	btmtk,bt_drv,mt6878,connac
connadp	LIKELY_PLATFORM_MATCH	connectivity	connadp,conn_adaptor,conn_adapter
connscp	LIKELY_PLATFORM_MATCH	connectivity	connscp,conn_scp
fmradio_drv_connac2x	LIKELY_PLATFORM_MATCH	connectivity	fmradio,fm_drv,connac2x
uarthub_drv	LIKELY_PLATFORM_MATCH	connectivity	uarthub,uarthub_drv
camera_dpe_isp7sp	LIKELY_PLATFORM_MATCH	camera	dpe,isp7sp
ccd_rpmsg	LIKELY_PLATFORM_MATCH	camera	ccd,rpmsg
mtk_aie	LIKELY_PLATFORM_MATCH	camera	aie,mtk_aie
mtk_cam_isp7sp	LIKELY_PLATFORM_MATCH	camera	isp7sp,mtk_cam
mtk_ccd_remoteproc	LIKELY_PLATFORM_MATCH	camera	ccd,remoteproc
mali_dmabuf_test_mt6878_r44	LIKELY_PLATFORM_MATCH	gpu	dmabuf,mali,r44p1,mt6878
mali_kbase_mt6878_r44	LIKELY_PLATFORM_MATCH	gpu	kbase,mali,r44p1,mt6878
mali_mgm_mt6878_r44	LIKELY_PLATFORM_MATCH	gpu	mgm,mali,r44p1,mt6878
mali_prot_alloc_mt6878_r44	LIKELY_PLATFORM_MATCH	gpu	prot_alloc,mali,r44p1,mt6878
lpm_gov_MHSP	LIKELY_PLATFORM_MATCH	lpm	mhsp,lpm_gov
mtk_lpm_dbg_common_v2	LIKELY_PLATFORM_MATCH	lpm	lpm_dbg,common_v2
mtk_lpm_dbg_mt6878	LIKELY_PLATFORM_MATCH	lpm	lpm_dbg,mt6878
mtk_lpm_plat_v1	LIKELY_PLATFORM_MATCH	lpm	lpm_plat
mtk_ssc_dbg_v2	LIKELY_PLATFORM_MATCH	lpm	ssc_dbg
mtk_swpm_cpu_dbg_v6878	LIKELY_PLATFORM_MATCH	swpm	swpm,cpu_dbg,6878
mtk_swpm_dbg_common_v1	LIKELY_PLATFORM_MATCH	swpm	swpm,dbg_common
mtk_swpm_dbg_v6878	LIKELY_PLATFORM_MATCH	swpm	swpm,dbg,6878
mtk_vcodec_enc_v1	LIKELY_PLATFORM_MATCH	video	vcodec,enc,v1
leds_rgb_aw2013	LIKELY_PLATFORM_MATCH	led	aw2013,leds_rgb
aw36515	NEEDS_ULEFONE_PORT	flashlight	aw36515
aw36518	NEEDS_ULEFONE_PORT	flashlight	aw36518
aw36518_v2	NEEDS_ULEFONE_PORT	flashlight	aw36518
aw883xx_driver	NEEDS_ULEFONE_PORT	audio	aw883,aw883xx
focaltech_touch_spi_ft3680	NEEDS_ULEFONE_PORT	touch	ft3680,focaltech,fts
