name	bind	size	value	section	kcfi_id
aw36518_v2_probe	Local	1588	0x4	.text	0x5ef138aa
aw36518_v2_parse_dt	Local	296	0x694	.text	
aw36518_v2_remove	Local	88	0x63c	.text	0x8effdd6d
aw36518_v2_open	Local	160	0x7c0	.text	0x59c4d434
aw36518_v2_close	Local	40	0x864	.text	0x59c4d434
aw36518_v2_led0_get_ctrl	Local	208	0x890	.text	0x94281efb
aw36518_v2_led0_set_ctrl	Local	1236	0x964	.text	0x94281efb
aw36518_v2_torch_brt_ctrl	Local	284	0xe38	.text	
aw36518_v2_flash_open	Local	8	0xf58	.text	0x36b1c5a6
aw36518_v2_flash_release	Local	8	0xf64	.text	0x36b1c5a6
aw36518_v2_ioctl	Local	680	0xf70	.text	0x44a5bdc2
aw36518_v2_strobe_store	Local	604	0x121c	.text	0x55f4a884
aw36518_v2_init	Local	380	0x1534	.text	
aw36518_v2_set_driver	Local	184	0x147c	.text	0x00050794
reg_show	Local	212	0x16b4	.text	0xdf43c25c
reg_store	Local	144	0x178c	.text	0x95a8ba07
aw36518_v2_cooling_get_max_state	Local	20	0x1820	.text	0xc8202036
aw36518_v2_cooling_get_cur_state	Local	20	0x1838	.text	0xc8202036
aw36518_v2_cooling_set_cur_state	Local	348	0x1850	.text	0x8b35064f
aw36518_v2_suspend	Local	112	0x19b0	.text	0x3f45655f
aw36518_v2_resume	Local	72	0x1a24	.text	0x3f45655f
init_module	Global	44	0x4	.init.text	0x36b1c5a6
cleanup_module	Global	36	0x4	.exit.text	0xa540670c
