symbol	crc
__arch_copy_from_user	0x2be0c009
__arch_copy_to_user	0x9a85eebb
__check_object_size	0x88db9f48
__class_register	0x290df2c0
__copy_overflow	0x7682ba4e
__kmalloc	0xeb233a45
__list_add_valid	0x68f31cbd
__msecs_to_jiffies	0x7f02188f
__mutex_init	0xa571f6b0
__stack_chk_fail	0xc2c193d2
_printk	0x92997ed8
alloc_workqueue	0x49cd25ed
alt_cb_patch_nops	0x1348649e
cancel_delayed_work_sync	0xf8beca97
class_create_file_ns	0x7f96615d
class_remove_file_ns	0xe11eda7f
class_unregister	0x69bef55d
cpu_hwcaps	0x79e4c52b
delayed_work_timer_fn	0x253af43d
destroy_workqueue	0x8c03d20c
dev_set_name	0x0784f05c
devm_free_irq	0xaa6e7490
devm_gpio_request_one	0xc4a21586
devm_kfree	0x8177f433
devm_kmalloc	0xd50f026e
devm_request_threaded_irq	0x0570ef04
fortify_panic	0xcbd4898c
gic_nonsecure_priorities	0x4b0a3f52
gpio_to_desc	0x0ec43f6f
gpiod_set_raw_value_cansleep	0x2db93e29
gpiod_to_irq	0xe46623a3
i2c_transfer	0xaf50d612
i2c_transfer_buffer_flags	0x51f60267
init_timer_key	0x79cf5987
kfree	0x037a0cba
kmalloc_caches	0x0f15b38a
kmalloc_trace	0xb78e7543
kstrtoint	0x8c8569cb
kstrtouint	0x3b6c41ea
memcpy	0x4829a47e
memset	0xdcb764ad
misc_deregister	0x94a9d12b
misc_register	0x06987aeb
module_layout	0xea759d7f
msleep	0xf9a482f9
mutex_lock	0xd5977bfb
mutex_unlock	0xed55cabd
of_get_named_gpio_flags	0xb9ab15e7
of_property_read_string	0x000c9569
of_property_read_variable_u32_array	0x94a3f9c7
power_supply_get_by_name	0x60e98d99
power_supply_get_property	0xd351924c
queue_delayed_work_on	0xbf57e89e
release_firmware	0xc6d09aa9
request_firmware	0x9c3fdf15
snd_pcm_format_width	0xe56a9336
snd_soc_add_component_controls	0x63fdd47f
snd_soc_dapm_add_routes	0xb38ef37d
snd_soc_dapm_new_controls	0x96388807
snd_soc_info_volsw	0xb0fbae85
snd_soc_register_component	0x94646ac0
snd_soc_unregister_component	0x4a46772b
snprintf	0x656e4a6e
sscanf	0xbcab6ee6
strcmp	0xe2d5255a
strlen	0x98cf60b3
strncmp	0x5a921311
strnlen	0xa916b694
strscpy	0xdd64e639
sysfs_create_group	0xf43d4bfe
sysfs_remove_group	0xf1d806db
usleep_range_state	0xc3055d20
vfree	0x999e8297
vzalloc	0x40a9b349
