symbol	stock_crc	gki_12901745_crc	provider	export_type	status
__arch_copy_from_user	0x2be0c009	0x2be0c009	vmlinux	EXPORT_SYMBOL	MATCH
__arch_copy_to_user	0x9a85eebb	0x9a85eebb	vmlinux	EXPORT_SYMBOL	MATCH
__check_object_size	0x88db9f48	0x88db9f48	vmlinux	EXPORT_SYMBOL	MATCH
__class_register	0x290df2c0	0x290df2c0	vmlinux	EXPORT_SYMBOL_GPL	MATCH
__copy_overflow	0x7682ba4e	0x7682ba4e	vmlinux	EXPORT_SYMBOL	MATCH
__kmalloc	0xeb233a45	0xeb233a45	vmlinux	EXPORT_SYMBOL	MATCH
__list_add_valid	0x68f31cbd	0x68f31cbd	vmlinux	EXPORT_SYMBOL	MATCH
__msecs_to_jiffies	0x7f02188f	0x7f02188f	vmlinux	EXPORT_SYMBOL	MATCH
__mutex_init	0xa571f6b0	0xa571f6b0	vmlinux	EXPORT_SYMBOL	MATCH
__stack_chk_fail	0xc2c193d2	0xc2c193d2	vmlinux	EXPORT_SYMBOL	MATCH
_printk	0x92997ed8	0x92997ed8	vmlinux	EXPORT_SYMBOL	MATCH
alloc_workqueue	0x49cd25ed	0x49cd25ed	vmlinux	EXPORT_SYMBOL_GPL	MATCH
alt_cb_patch_nops	0x1348649e	0x1348649e	vmlinux	EXPORT_SYMBOL	MATCH
cancel_delayed_work_sync	0xf8beca97	0xf8beca97	vmlinux	EXPORT_SYMBOL	MATCH
class_create_file_ns	0x7f96615d	0x7f96615d	vmlinux	EXPORT_SYMBOL_GPL	MATCH
class_remove_file_ns	0xe11eda7f	0xe11eda7f	vmlinux	EXPORT_SYMBOL_GPL	MATCH
class_unregister	0x69bef55d	0x69bef55d	vmlinux	EXPORT_SYMBOL_GPL	MATCH
cpu_hwcaps	0x79e4c52b	0x79e4c52b	vmlinux	EXPORT_SYMBOL	MATCH
delayed_work_timer_fn	0x253af43d	0x253af43d	vmlinux	EXPORT_SYMBOL	MATCH
destroy_workqueue	0x8c03d20c	0x8c03d20c	vmlinux	EXPORT_SYMBOL_GPL	MATCH
dev_set_name	0x0784f05c	0x0784f05c	vmlinux	EXPORT_SYMBOL_GPL	MATCH
devm_free_irq	0xaa6e7490	0xaa6e7490	vmlinux	EXPORT_SYMBOL	MATCH
devm_gpio_request_one	0xc4a21586	0xc4a21586	vmlinux	EXPORT_SYMBOL_GPL	MATCH
