function	operation	register	mask	value	delay	retry	evidence	confidence
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	fade_step	-	0x30 (AW_PID_2049_VOLUME_STEP_DB)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	re_range.re_min_default	-	? (AW_RE_MIN)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	re_range.re_max_default	-	? (AW_RE_MAX)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	monitor_desc.dsp_monitor_delay	-	0x3e8 (AW_DSP_MONITOR_DELAY)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	crc_type	-	? (AW_SW_CRC_CHECK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	ops.aw_get_hw_volume	-	? (aw_pid_2049_get_volume)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	ops.aw_set_hw_volume	-	? (aw_pid_2049_set_volume)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	ops.aw_reg_val_to_db	-	? (aw_pid_2049_reg_val_to_db)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	ops.aw_check_rd_access	-	? (aw_pid_2049_check_rd_access)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	ops.aw_check_wr_access	-	? (aw_pid_2049_check_wr_access)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	ops.aw_get_reg_num	-	? (aw_pid_2049_get_reg_num)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	ops.aw_i2s_tx_enable	-	? (aw_pid_2049_i2s_tx_enable)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	ops.aw_set_vcalb	-	? (aw_pid_2049_set_vcalb)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	ops.aw_set_cali_re	-	? (aw_pid_2049_set_cali_re_to_dsp)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	ops.aw_get_cali_re	-	? (aw_pid_2049_get_cali_re_from_dsp)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	ops.aw_get_r0	-	? (aw_pid_2049_get_convert_r0)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	ops.aw_sw_crc_check	-	? (aw_pid_2049_dsp_crc32_check)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	ops.aw_init_vcalb_update	-	? (aw_pid_2049_init_vcalb_update)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	ops.aw_init_re_update	-	? (aw_pid_2049_init_re_update)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	efuse_check_desc.reg	-	? (AW_REG_NONE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	crc_check_desc.crc_ctrl_reg	-	? (AW_REG_NONE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	int_desc.mask_reg	-	? (AW_PID_2049_SYSINTM_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	int_desc.mask_default	-	? (AW_PID_2049_SYSINTM_DEFAULT)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	int_desc.int_mask	-	? (AW_PID_2049_SYSINTM_DEFAULT)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	int_desc.st_reg	-	? (AW_PID_2049_SYSINT_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	int_desc.intst_mask	-	0x71 (AW_PID_2049_BIT_SYSINT_CHECK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	pwd_desc.reg	-	? (AW_PID_2049_SYSCTRL_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	pwd_desc.mask	-	0xfffffffe (AW_PID_2049_PWDN_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	pwd_desc.enable	-	0x1 (AW_PID_2049_PWDN_POWER_DOWN_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	pwd_desc.disable	-	0x0 (AW_PID_2049_PWDN_WORKING_VALUE)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	mute_desc.reg	-	? (AW_PID_2049_SYSCTRL_REG)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
aw883xx_pid_2049_dev_init	DESCRIPTOR_INIT	mute_desc.mask	-	0xfffffeff (AW_PID_2049_HMUTE_MASK)	-	-	byte-identical stock/rebuild aw883xx_pid_2049_dev_init	PROVEN
