sensor_slot	sensor_driver	pw_seq_offset	sequence_index	hw_id	rail	value_uV	delay_ms	ldo_channel
0	imx989_mipi_raw	0x640	4	0	AVDD	2800000	0	3
0	imx989_mipi_raw	0x640	6	3	AFVDD	2800000	0	5
0	imx989_mipi_raw	0x640	7	2	DOVDD	1800000	0	7
0	imx989_mipi_raw	0x640	8	1	DVDD	1100000	1	2
0	imx989cts_mipi_raw	0x11030	4	0	AVDD	2800000	0	3
0	imx989cts_mipi_raw	0x11030	6	3	AFVDD	2800000	0	5
0	imx989cts_mipi_raw	0x11030	7	2	DOVDD	1800000	0	7
0	imx989cts_mipi_raw	0x11030	8	1	DVDD	1100000	1	2
0	s5kgm2sp_mipi_raw	0x15fd0	3	1	DVDD	1100000	1	2
0	s5kgm2sp_mipi_raw	0x15fd0	4	0	AVDD	2800000	1	3
0	s5kgm2sp_mipi_raw	0x15fd0	5	2	DOVDD	1800000	0	7
0	s5kgm2sp_mipi_raw	0x15fd0	6	3	AFVDD	2800000	3	5
0	s5kgn1sp_mipi_raw	0x17d58	2	2	DOVDD	1800000	3	7
0	s5kgn1sp_mipi_raw	0x17d58	3	1	DVDD	1100000	1	2
0	s5kgn1sp_mipi_raw	0x17d58	4	0	AVDD	2800000	0	3
0	s5kgn1sp_mipi_raw	0x17d58	5	3	AFVDD	2800000	5	5
1	ov32b40_mipi_raw	0x1dd48	3	1	DVDD	1100000	1	1
1	ov32b40_mipi_raw	0x1dd48	4	0	AVDD	2800000	1	4
1	ov32b40_mipi_raw	0x1dd48	5	2	DOVDD	1800000	3	7
1	s5kjn1_mipi_raw	0x21b58	1	2	DOVDD	1800000	3	7
1	s5kjn1_mipi_raw	0x21b58	2	1	DVDD	1200000	1	1
1	s5kjn1_mipi_raw	0x21b58	3	0	AVDD	2800000	0	4
1	s5kjn1cts_mipi_raw	0x23bf0	1	2	DOVDD	1800000	3	7
1	s5kjn1cts_mipi_raw	0x23bf0	2	1	DVDD	1200000	1	1
1	s5kjn1cts_mipi_raw	0x23bf0	3	0	AVDD	2800000	0	4
2	s5kjn1main2_mipi_raw	0x25cf8	1	2	DOVDD	1800000	3	7
2	s5kjn1main2_mipi_raw	0x25cf8	2	1	DVDD	1200000	1	1
2	s5kjn1main2_mipi_raw	0x25cf8	3	0	AVDD	2800000	0	4
2	s5kjn1main2_mipi_raw	0x25cf8	6	3	AFVDD	2800000	1	6
4	ov64b_mipi_raw	0x281b0	3	0	AVDD	2800000	0	4
4	ov64b_mipi_raw	0x281b0	4	3	AFVDD	2800000	0	5
4	ov64b_mipi_raw	0x281b0	5	1	DVDD	1100000	0	1
4	ov64b_mipi_raw	0x281b0	6	2	DOVDD	1800000	1	7
