symbol	elf_type	section	offset_hex	size	binding	visibility
__this_module	OBJECT	.gnu.linkonce.this_module	0x0	1088	GLOBAL	DEFAULT
__UNIQUE_ID_description457	OBJECT	.modinfo	0x0	30	LOCAL	DEFAULT
__UNIQUE_ID_license458	OBJECT	.modinfo	0x1e	12	LOCAL	DEFAULT
__UNIQUE_ID_version459	OBJECT	.modinfo	0x2a	12	LOCAL	DEFAULT
__UNIQUE_ID_vermagic333	OBJECT	.modinfo	0x36	87	LOCAL	DEFAULT
__UNIQUE_ID_name334	OBJECT	.modinfo	0x8d	16	LOCAL	DEFAULT
__UNIQUE_ID_depends335	OBJECT	.modinfo	0x9d	26	LOCAL	DEFAULT
__UNIQUE_ID_srcversion336	OBJECT	.modinfo	0xb7	35	LOCAL	DEFAULT
_note_9	OBJECT	.note.Linux	0x0	24	LOCAL	DEFAULT
_note_10	OBJECT	.note.Linux	0x18	24	LOCAL	DEFAULT
__crc_custom_ldo_en	NOTYPE	__kcrctab	0x0	0	LOCAL	DEFAULT
__crc_custom_ldo_vout	NOTYPE	__kcrctab	0x4	0	LOCAL	DEFAULT
__ksymtab_custom_ldo_en	NOTYPE	__ksymtab	0x0	0	LOCAL	DEFAULT
__ksymtab_custom_ldo_vout	NOTYPE	__ksymtab	0xc	0	LOCAL	DEFAULT
__kstrtab_custom_ldo_en	NOTYPE	__ksymtab_strings	0x0	0	LOCAL	DEFAULT
__kstrtabns_custom_ldo_en	NOTYPE	__ksymtab_strings	0xe	0	LOCAL	DEFAULT
__kstrtabns_custom_ldo_vout	NOTYPE	__ksymtab_strings	0xe	0	LOCAL	DEFAULT
__kstrtab_custom_ldo_vout	NOTYPE	__ksymtab_strings	0xf	0	LOCAL	DEFAULT
____versions	OBJECT	__versions	0x0	192	LOCAL	DEFAULT
