relocation_section	offset_hex	owner	type	symbol_value_hex	symbol	addend
.rela.text	0x10	custom_ldo_vout	R_AARCH64_CALL26	0x0	will_ldo_vout	0
.rela.text	0x30	custom_ldo_en	R_AARCH64_CALL26	0x0	will_ldo_en	0
.rela___ksymtab+custom_ldo_vout	0xc		R_AARCH64_PREL32	0x4	custom_ldo_vout	0
.rela___ksymtab+custom_ldo_vout	0x10		R_AARCH64_PREL32	0x0	__ksymtab_strings	f
.rela___ksymtab+custom_ldo_vout	0x14		R_AARCH64_PREL32	0x0	__ksymtab_strings	e
.rela___ksymtab+custom_ldo_vout	0x0		R_AARCH64_PREL32	0x24	custom_ldo_en	0
.rela___ksymtab+custom_ldo_vout	0x4		R_AARCH64_PREL32	0x0	__ksymtab_strings	0
.rela___ksymtab+custom_ldo_vout	0x8		R_AARCH64_PREL32	0x0	__ksymtab_strings	e
.rela.eh_frame	0x1c		R_AARCH64_PREL32	0x0	.text	4
.rela.eh_frame	0x48		R_AARCH64_PREL32	0x0	.text	24
