file_offset_hex	section	string
0x10b0	__ksymtab_strings	custom_ldo_en
0x10bf	__ksymtab_strings	custom_ldo_vout
0x10cf	.modinfo	description=Custom Ldo Driver
0x10ed	.modinfo	license=GPL
0x10f9	.modinfo	version=1.0
0x1105	.modinfo	vermagic=6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64
0x115c	.modinfo	name=custom_ldo
0x116c	.modinfo	depends=custom-ldo-wl2868
0x1186	.modinfo	srcversion=B1ACADEFB8818C27CA857AF
0x11b8	.note.Linux	Linux
0x11d0	.note.Linux	Linux
0x1218	.gnu.linkonce.this_module	custom_ldo
0x1648	__versions	will_ldo_vout
0x1688	__versions	will_ldo_en
0x16c8	__versions	module_layout
0x1809	.comment	Android (10087095, +pgo, +bolt, +lto, -mlgo, based on r487747c) clang version 17.0.2 (https://android.googlesource.com/toolchain/llvm-project d9f89f4d16663d5012e5c09495f3b30ece3d2362)
0x1de9	.shstrtab	.note.gnu.property
0x1dfc	.shstrtab	.note.Linux
0x1e08	.shstrtab	.hyp.text
0x1e12	.shstrtab	.rela.text
0x1e1d	.shstrtab	.rela___ksymtab+custom_ldo_vout
0x1e3d	.shstrtab	.comment
0x1e46	.shstrtab	.init.plt
0x1e50	.shstrtab	.hyp.bss
0x1e59	.shstrtab	__versions
0x1e64	.shstrtab	__ksymtab_strings
0x1e76	.shstrtab	.modinfo
0x1e7f	.shstrtab	.note.GNU-stack
0x1e8f	.shstrtab	.llvm_addrsig
0x1e9d	.shstrtab	.text.ftrace_trampoline
0x1eb5	.shstrtab	.init.eh_frame
0x1ec4	.shstrtab	.rela.eh_frame
0x1ed3	.shstrtab	.gnu.linkonce.this_module
0x1eed	.shstrtab	.note.gnu.build-id
0x1f00	.shstrtab	.shstrtab
0x1f0a	.shstrtab	.strtab
0x1f12	.shstrtab	__ksymtab
0x1f1c	.shstrtab	.symtab
0x1f24	.shstrtab	__kcrctab
0x1f2e	.shstrtab	.hyp.rodata
0x1f3a	.shstrtab	.hyp.data
0x1f45	.strtab	__kstrtabns_custom_ldo_vout
0x1f61	.strtab	__crc_custom_ldo_vout
0x1f77	.strtab	__kstrtab_custom_ldo_vout
0x1f91	.strtab	__ksymtab_custom_ldo_vout
0x1fab	.strtab	will_ldo_vout
0x1fb9	.strtab	____versions
0x1fc6	.strtab	__kstrtabns_custom_ldo_en
0x1fe0	.strtab	__crc_custom_ldo_en
0x1ff4	.strtab	__kstrtab_custom_ldo_en
0x200c	.strtab	__ksymtab_custom_ldo_en
0x2024	.strtab	will_ldo_en
0x2030	.strtab	__this_module
0x203e	.strtab	_note_9
0x2046	.strtab	__UNIQUE_ID_version459
0x205d	.strtab	$d.9
0x2062	.strtab	__UNIQUE_ID_license458
0x2079	.strtab	__UNIQUE_ID_description457
0x2094	.strtab	$x.7
0x2099	.strtab	__UNIQUE_ID_srcversion336
0x20b3	.strtab	$d.6
0x20b8	.strtab	__UNIQUE_ID_depends335
0x20cf	.strtab	$d.15
0x20d5	.strtab	$x.5
0x20da	.strtab	$d.5
0x20df	.strtab	__UNIQUE_ID_name334
0x20f3	.strtab	$d.14
0x20f9	.strtab	$d.4
0x20fe	.strtab	__UNIQUE_ID_vermagic333
0x2116	.strtab	$d.3
0x211b	.strtab	$d.2
0x2120	.strtab	$d.1
0x2125	.strtab	_note_10
0x212e	.strtab	$d.10
