function	stock_size	recon_size	size_identical	stock_kcfi	recon_kcfi	stock_external_calls	recon_external_calls	stock_internal_calls	recon_internal_calls	hardware_constants	gpio_references	string_references	stock_relocations	recon_relocations	stock_cfg_shape	recon_cfg_shape	cfg_classification	byte_identical	residual
cleanup_module	36	36	yes	0xa540670c	0xa540670c	i2c_del_driver	i2c_del_driver			i2c driver delete			3	3			BYTE_IDENTICAL	yes	NONE
init_module	132	132	yes	0x36b1c5a6	0x36b1c5a6	_printk*3,i2c_register_driver	_printk*3,i2c_register_driver			i2c driver register		.rodata.str1.1+0x305,.rodata.str1.1+0x472,.rodata.str1.1+0x490,.rodata.str1.1+0x49d	20	20	b.ne,b	b.ne,b	BYTE_IDENTICAL	yes	NONE
wl2864c_vin2_power	92	92	yes	0x00050794	0x00050794	_printk,gpio_to_desc,gpiod_set_raw_value	_printk,gpio_to_desc,gpiod_set_raw_value			vin2_gpio@+0x40;gpio_to_desc;raw value	vin2_gpio	.rodata.str1.1+0x292,.rodata.str1.1+0x5b	9	9			BYTE_IDENTICAL	yes	NONE
wl2864c_ldo_vout	576	592	no	0x56e5b5a5	0x56e5b5a5	__stack_chk_fail,_dev_info*2,_printk*4,i2c_transfer*2	__stack_chk_fail,_dev_info*2,_printk*4,i2c_transfer*2			regs=0x03..0x09;base=600/1200mV;step=12.5mV		.rodata.str1.1+0x13a,.rodata.str1.1+0x1fc,.rodata.str1.1+0x22f,.rodata.str1.1+0x2a5,.rodata.str1.1+0x35c,.rodata.str1.1+0x4c0	36	38	b.hi,b,b.hs,b.ne,b.hs,tbz,tbz,tbz,b	b.hi,b,b.hs,b.ne,b.hi,b.le,b,b.hi,tbz,tbz,tbz,b	BEHAVIOR_PROVEN_CALL_GRAPH_AND_SOURCE	no	COMPILER_OR_SOURCE_EXPRESSION_CODEGEN
wl2864c_ldo_en	572	580	no	0x56e5b5a5	0x56e5b5a5	__stack_chk_fail,_dev_info*2,_printk*7,i2c_transfer*2	__stack_chk_fail,_dev_info*2,_printk*7,i2c_transfer*2			reg=0x0e;mask=BIT(ldo-1);bit7 on write		.rodata.str1.1+0x10b,.rodata.str1.1+0x13a,.rodata.str1.1+0x2a5,.rodata.str1.1+0x2bb,.rodata.str1.1+0x2ca,.rodata.str1.1+0x31f,.rodata.str1.1+0x9c	43	45	b.hi,b,tbz,b,tbz,b,b.ne	b.hi,b,tbz,b,tbz,b,b.ne	BEHAVIOR_PROVEN_CALL_GRAPH_AND_SOURCE	no	COMPILER_OR_SOURCE_EXPRESSION_CODEGEN
wl2868c_ldo_vout	576	592	no	0x56e5b5a5	0x56e5b5a5	__stack_chk_fail,_dev_info*2,_printk*4,i2c_transfer*2	__stack_chk_fail,_dev_info*2,_printk*4,i2c_transfer*2			regs=0x03..0x09;floor=496/1504mV;step=8mV		.rodata.str1.1+0x13a,.rodata.str1.1+0x1fc,.rodata.str1.1+0x22f,.rodata.str1.1+0x2a5,.rodata.str1.1+0x35c,.rodata.str1.1+0x47f	36	38	b.hi,b,b.hs,b.ne,b.hs,tbz,tbz,tbz,b	b.hi,b,b.hs,b.ne,b.hi,b.le,b,b.hi,tbz,tbz,tbz,b	BEHAVIOR_PROVEN_CALL_GRAPH_AND_SOURCE	no	COMPILER_OR_SOURCE_EXPRESSION_CODEGEN
wl2868c_ldo_en	568	572	no	0x56e5b5a5	0x56e5b5a5	__stack_chk_fail,_dev_info*2,_printk*6,i2c_transfer*2	__stack_chk_fail,_dev_info*2,_printk*6,i2c_transfer*2			reg=0x0e;mask=BIT(ldo-1);bit7 on write		.rodata.str1.1+0x13a,.rodata.str1.1+0x2a5,.rodata.str1.1+0x2ca,.rodata.str1.1+0x31f,.rodata.str1.1+0x36f,.rodata.str1.1+0x6b,.rodata.str1.1+0x9c	40	42	b.hi,b,tbz,b,tbz,tbnz,b.ne,b	b.hi,b,tbz,b,tbz,tbnz,b.ne,b	BEHAVIOR_PROVEN_CALL_GRAPH_AND_SOURCE	no	COMPILER_OR_SOURCE_EXPRESSION_CODEGEN
will_ldo_vout	136	136	yes	0x56e5b5a5	0x56e5b5a5	_printk	_printk	wl2864c_ldo_vout,wl2868c_ldo_vout	wl2864c_ldo_vout,wl2868c_ldo_vout	dispatch chip_id 0x01/0x82		.rodata.str1.1+0x3a1,.rodata.str1.1+0x42e	10	10	b.eq,b.ne,b,b	b.eq,b.ne,b,b	BEHAVIOR_PROVEN_CALL_GRAPH_AND_SOURCE	no	COMPILER_OR_SOURCE_EXPRESSION_CODEGEN
will_ldo_en	72	72	yes	0x56e5b5a5	0x56e5b5a5			wl2864c_ldo_en,wl2868c_ldo_en	wl2864c_ldo_en,wl2868c_ldo_en	dispatch chip_id 0x01/0x82			4	4	b.eq,b.ne,b,b	b.eq,b.ne,b,b	BEHAVIOR_PROVEN_CALL_GRAPH_AND_SOURCE	no	COMPILER_OR_SOURCE_EXPRESSION_CODEGEN
wl2864c_llseek	84	84	yes	0xe61887de	0xe61887de	_printk	_printk			read_pos@+0x68;whence ignored		.rodata.str1.1+0x2f6,.rodata.str1.1+0x43c	8	8			BYTE_IDENTICAL	yes	NONE
wl2864c_probe	660	660	yes	0x5ef138aa	0x5ef138aa	_dev_err*2,_dev_info,_printk*12,devm_gpiod_get*2,devm_gpiod_put*2,gpiod_set_value*4,misc_register,msleep,usleep_range_state*3	_dev_err*2,_dev_info,_printk*12,devm_gpiod_get*2,devm_gpiod_put*2,gpiod_set_value*4,misc_register,msleep,usleep_range_state*3			vin1,reset;10000..11000us*3;1ms;addr=0x2f;chip_id=0x82	vin1,reset	.rodata.str1.1+0x0,.rodata.str1.1+0x19d,.rodata.str1.1+0x1f7,.rodata.str1.1+0x229,.rodata.str1.1+0x26e,.rodata.str1.1+0x35c,.rodata.str1.1+0x3bf,.rodata.str1.1+0x40c,.rodata.str1.1+0x490,.rodata.str1.1+0x4c0,.rodata.str1.1+0xbc,.rodata.str1.1+0xe,.rodata.str1.1+0xe9	76	76	b.lo,b,b.ls,cbz,b,tbz,b	b.lo,b,b.lo,cbz,b,tbz,b	BEHAVIOR_PROVEN_CALL_GRAPH_AND_SOURCE	no	COMPILER_OR_SOURCE_EXPRESSION_CODEGEN
wl2864c_remove	64	64	yes	0x8effdd6d	0x8effdd6d	_printk,misc_deregister	_printk,misc_deregister			misc deregister only		.rodata.str1.1+0x34d,.rodata.str1.1+0x37	10	10			BYTE_IDENTICAL	yes	NONE
wl2864c_read	940	880	no	0xe866e2f4	0xe866e2f4	__arch_copy_to_user,__check_object_size,__copy_overflow,__stack_chk_fail,_dev_info,_printk*3,i2c_transfer,kfree*2,kmalloc_trace	__arch_copy_to_user,__check_object_size,__copy_overflow,__stack_chk_fail,_dev_info,_printk*3,i2c_transfer,kfree*2,kmalloc_trace			20 regs max;6 ASCII bytes/register;128-byte allocation		.rodata.str1.1+0x13a,.rodata.str1.1+0x154,.rodata.str1.1+0x2e9,.rodata.str1.1+0x4d1,.rodata.str1.1+0x7a	36	38	b.ls,b,tbnz,b.hi,b.hi,b.hi,b.hi,b.hi,b.hi,b.lo,b.lo,b,tbnz,tbz,b.lo,b,cbnz,b,cbnz,b.ne,b,b,tbnz,b,tbnz,b,b,b	b.hi,tbnz,b.ne,b.lo,b,tbnz,tbz,b.lo,b,cbnz,b,cbnz,b.ne,b,b,tbnz,b,tbnz,b,b,b	BEHAVIOR_PROVEN_CALL_GRAPH_AND_SOURCE	no	COMPILER_OR_SOURCE_EXPRESSION_CODEGEN
wl2864c_write	600	600	yes	0x9a660ea0	0x9a660ea0	__stack_chk_fail,_dev_info,_printk*3,i2c_transfer,kfree*2,memdup_user	__stack_chk_fail,_dev_info,_printk*3,i2c_transfer,kfree*2,memdup_user			128-byte max;6-byte records;raw register writes		.rodata.str1.1+0x13a,.rodata.str1.1+0x178,.rodata.str1.1+0x1cb,.rodata.str1.1+0x3df,.rodata.str1.1+0x464	25	26	b.ls,b,b.hi,b.lo,b,b.lo,b,b.lo,b,b.lo,b,b.lo,b,b.lo,b,b.lo,b,b.lo,b,tbnz,b.lo,b.ne,b,b	b.ls,b,b.hi,b.lo,b,b.lo,b,b.lo,b,b.lo,b,b.lo,b,b.lo,b,b.lo,b,b.lo,b,tbnz,b.lo,b.ne,b,b	BEHAVIOR_PROVEN_CALL_GRAPH_AND_SOURCE	no	COMPILER_OR_SOURCE_EXPRESSION_CODEGEN
wl2864c_open	76	76	yes	0x8f07ca55	0x8f07ca55	_printk	_printk			probe_ready@+0x6c		.rodata.str1.1+0x1ae,.rodata.str1.1+0x3ff	9	9	cbz,b,b,b	cbz,b,b,b	BYTE_IDENTICAL	yes	NONE
