symbol	section	offset_hex	size	binding	visibility	kcfi_id	exported	relocation_count	internal_calls	external_calls	data_references	string_references
cleanup_module	.exit.text	0x4	36	GLOBAL	DEFAULT	0xa540670c	no	3		i2c_del_driver	.data	-
init_module	.init.text	0x4	132	GLOBAL	DEFAULT	0x36b1c5a6	no	20		_printk,i2c_register_driver	.data,__this_module	.rodata.str1.1+0x305,.rodata.str1.1+0x472,.rodata.str1.1+0x490,.rodata.str1.1+0x49d
wl2864c_vin2_power	.text	0x4	92	GLOBAL	DEFAULT	0x00050794	no	9		_printk,gpio_to_desc,gpiod_set_raw_value	.bss+0x40	.rodata.str1.1+0x292,.rodata.str1.1+0x5b
wl2864c_ldo_vout	.text	0x64	576	GLOBAL	DEFAULT	0x56e5b5a5	no	36		__stack_chk_fail,_dev_info,_printk,i2c_transfer	.bss,.rodata+0x2e0,.rodata+0x2fc	.rodata.str1.1+0x13a,.rodata.str1.1+0x1fc,.rodata.str1.1+0x22f,.rodata.str1.1+0x2a5,.rodata.str1.1+0x35c,.rodata.str1.1+0x4c0
wl2864c_ldo_en	.text	0x2a8	572	GLOBAL	DEFAULT	0x56e5b5a5	no	43		__stack_chk_fail,_dev_info,_printk,i2c_transfer	.bss	.rodata.str1.1+0x10b,.rodata.str1.1+0x13a,.rodata.str1.1+0x2a5,.rodata.str1.1+0x2bb,.rodata.str1.1+0x2ca,.rodata.str1.1+0x31f,.rodata.str1.1+0x9c
wl2868c_ldo_vout	.text	0x4e8	576	GLOBAL	DEFAULT	0x56e5b5a5	no	36		__stack_chk_fail,_dev_info,_printk,i2c_transfer	.bss,.rodata+0x318,.rodata+0x334	.rodata.str1.1+0x13a,.rodata.str1.1+0x1fc,.rodata.str1.1+0x22f,.rodata.str1.1+0x2a5,.rodata.str1.1+0x35c,.rodata.str1.1+0x47f
wl2868c_ldo_en	.text	0x72c	568	GLOBAL	DEFAULT	0x56e5b5a5	no	40		__stack_chk_fail,_dev_info,_printk,i2c_transfer	.bss	.rodata.str1.1+0x13a,.rodata.str1.1+0x2a5,.rodata.str1.1+0x2ca,.rodata.str1.1+0x31f,.rodata.str1.1+0x36f,.rodata.str1.1+0x6b,.rodata.str1.1+0x9c
will_ldo_vout	.text	0x968	136	GLOBAL	DEFAULT	0x56e5b5a5	yes	10	wl2864c_ldo_vout,wl2868c_ldo_vout	_printk	.bss+0x44	.rodata.str1.1+0x3a1,.rodata.str1.1+0x42e
will_ldo_en	.text	0x9f4	72	GLOBAL	DEFAULT	0x56e5b5a5	yes	4	wl2864c_ldo_en,wl2868c_ldo_en		.bss+0x44	-
wl2864c_llseek	.text	0xa40	84	GLOBAL	DEFAULT	0xe61887de	no	8		_printk	.bss+0x68	.rodata.str1.1+0x2f6,.rodata.str1.1+0x43c
wl2864c_probe	.text	0xa98	660	LOCAL	DEFAULT	0x5ef138aa	no	76		_dev_err,_dev_info,_printk,devm_gpiod_get,devm_gpiod_put,gpiod_set_value,misc_register,msleep,usleep_range_state	.bss,.bss+0x30,.bss+0x38,.bss+0x44,.data+0x118	.rodata.str1.1+0x0,.rodata.str1.1+0x19d,.rodata.str1.1+0x1f7,.rodata.str1.1+0x229,.rodata.str1.1+0x26e,.rodata.str1.1+0x35c,.rodata.str1.1+0x3bf,.rodata.str1.1+0x40c,.rodata.str1.1+0x490,.rodata.str1.1+0x4c0,.rodata.str1.1+0xbc,.rodata.str1.1+0xe,.rodata.str1.1+0xe9
wl2864c_remove	.text	0xd30	64	LOCAL	DEFAULT	0x8effdd6d	no	10		_printk,misc_deregister	.bss+0x6c,.data+0x118	.rodata.str1.1+0x34d,.rodata.str1.1+0x37
wl2864c_read	.text	0xd74	940	LOCAL	DEFAULT	0xe866e2f4	no	36		__arch_copy_to_user,__check_object_size,__copy_overflow,__stack_chk_fail,_dev_info,_printk,i2c_transfer,kfree,kmalloc_trace	.bss,.bss+0x68,cpu_hwcaps,kmalloc_caches+0x38	.rodata.str1.1+0x13a,.rodata.str1.1+0x154,.rodata.str1.1+0x2e9,.rodata.str1.1+0x4d1,.rodata.str1.1+0x7a
wl2864c_write	.text	0x1124	600	LOCAL	DEFAULT	0x9a660ea0	no	25		__stack_chk_fail,_dev_info,_printk,i2c_transfer,kfree,memdup_user	.bss	.rodata.str1.1+0x13a,.rodata.str1.1+0x178,.rodata.str1.1+0x1cb,.rodata.str1.1+0x3df,.rodata.str1.1+0x464
wl2864c_open	.text	0x1380	76	LOCAL	DEFAULT	0x8f07ca55	no	9		_printk	.bss+0x68,.bss+0x6c	.rodata.str1.1+0x1ae,.rodata.str1.1+0x3ff
