symbol	stock_crc	elf_type	binding	relocation_count	relocation_types	provider_class
__arch_copy_to_user	0x9a85eebb	NOTYPE	GLOBAL	1	R_AARCH64_CALL26	kernel/GKI
__check_object_size	0x88db9f48	NOTYPE	GLOBAL	1	R_AARCH64_CALL26	kernel/GKI
__copy_overflow	0x7682ba4e	NOTYPE	GLOBAL	1	R_AARCH64_CALL26	kernel/GKI
__stack_chk_fail	0xc2c193d2	NOTYPE	GLOBAL	6	R_AARCH64_CALL26	kernel/GKI
_dev_err	0xf27ed00b	NOTYPE	GLOBAL	2	R_AARCH64_CALL26	kernel/GKI
_dev_info	0xef3cb484	NOTYPE	GLOBAL	11	R_AARCH64_CALL26	kernel/GKI
_printk	0x92997ed8	NOTYPE	GLOBAL	47	R_AARCH64_CALL26	kernel/GKI
alt_cb_patch_nops	0x1348649e	NOTYPE	GLOBAL	2	R_AARCH64_PREL32	kernel/GKI
cpu_hwcaps	0x79e4c52b	NOTYPE	GLOBAL	4	R_AARCH64_ADR_PREL_PG_HI21,R_AARCH64_LDST64_ABS_LO12_NC	kernel/GKI
devm_gpiod_get	0x66e8ab95	NOTYPE	GLOBAL	2	R_AARCH64_CALL26	kernel/GKI
devm_gpiod_put	0xa8cb2b21	NOTYPE	GLOBAL	2	R_AARCH64_CALL26	kernel/GKI
gic_nonsecure_priorities	0x4b0a3f52	NOTYPE	GLOBAL	2	R_AARCH64_PREL64	kernel/GKI
gpio_to_desc	0x0ec43f6f	NOTYPE	GLOBAL	1	R_AARCH64_CALL26	kernel/GKI
gpiod_set_raw_value	0x8dae9ed0	NOTYPE	GLOBAL	1	R_AARCH64_CALL26	kernel/GKI
gpiod_set_value	0x6dbacf3b	NOTYPE	GLOBAL	4	R_AARCH64_CALL26	kernel/GKI
i2c_del_driver	0xfee5be94	NOTYPE	GLOBAL	1	R_AARCH64_CALL26	kernel/GKI
i2c_register_driver	0x50f5d94e	NOTYPE	GLOBAL	1	R_AARCH64_CALL26	kernel/GKI
i2c_transfer	0xaf50d612	NOTYPE	GLOBAL	10	R_AARCH64_CALL26	kernel/GKI
kfree	0x037a0cba	NOTYPE	GLOBAL	4	R_AARCH64_CALL26	kernel/GKI
kmalloc_caches	0x0f15b38a	NOTYPE	GLOBAL	2	R_AARCH64_ADR_PREL_PG_HI21,R_AARCH64_LDST64_ABS_LO12_NC	kernel/GKI
kmalloc_trace	0xb78e7543	NOTYPE	GLOBAL	1	R_AARCH64_CALL26	kernel/GKI
memdup_user	0x5dc263fd	NOTYPE	GLOBAL	1	R_AARCH64_CALL26	kernel/GKI
misc_deregister	0x94a9d12b	NOTYPE	GLOBAL	1	R_AARCH64_CALL26	kernel/GKI
misc_register	0x06987aeb	NOTYPE	GLOBAL	1	R_AARCH64_CALL26	kernel/GKI
module_layout	0xea759d7f	MODVERSION	GLOBAL	0		kernel/GKI
msleep	0xf9a482f9	NOTYPE	GLOBAL	1	R_AARCH64_CALL26	kernel/GKI
usleep_range_state	0xc3055d20	NOTYPE	GLOBAL	3	R_AARCH64_CALL26	kernel/GKI
