symbol	crc	role
_printk	0x92997ed8	import
gpio_to_desc	0x0ec43f6f	import
gpiod_set_raw_value	0x8dae9ed0	import
i2c_transfer	0xaf50d612	import
_dev_info	0xef3cb484	import
__stack_chk_fail	0xc2c193d2	import
i2c_register_driver	0x50f5d94e	import
i2c_del_driver	0xfee5be94	import
devm_gpiod_get	0x66e8ab95	import
_dev_err	0xf27ed00b	import
gpiod_set_value	0x6dbacf3b	import
devm_gpiod_put	0xa8cb2b21	import
usleep_range_state	0xc3055d20	import
msleep	0xf9a482f9	import
misc_register	0x06987aeb	import
misc_deregister	0x94a9d12b	import
kmalloc_caches	0x0f15b38a	import
kmalloc_trace	0xb78e7543	import
__copy_overflow	0x7682ba4e	import
__check_object_size	0x88db9f48	import
alt_cb_patch_nops	0x1348649e	import
gic_nonsecure_priorities	0x4b0a3f52	import
__arch_copy_to_user	0x9a85eebb	import
kfree	0x037a0cba	import
cpu_hwcaps	0x79e4c52b	import
memdup_user	0x5dc263fd	import
module_layout	0xea759d7f	module-layout
