object	stock_section	stock_offset	stock_size	stock_content_size	recon_section	recon_offset	recon_size	recon_content_size	stock_content_sha256	recon_content_sha256	stock_relocation_slots	recon_relocation_slots	semantic_role	classification	residual
wl2864c_data	.bss	0x0	112	112	.bss	0x0	112	112	b5fdab78d8947eacc864bfeecb4d2100780e5afe1cd8efafb124887913ac49fa	b5fdab78d8947eacc864bfeecb4d2100780e5afe1cd8efafb124887913ac49fa			private singleton state	BYTE_IDENTICAL	NONE
wl2864c_i2c_driver	.data	0x0	280	280	.data	0x0	280	280	1f6c9de2e555d5d589e1149fed58f9cbcc101739df97d4a4d694a13f1242c5b9	1f6c9de2e555d5d589e1149fed58f9cbcc101739df97d4a4d694a13f1242c5b9	+0x8:R_AARCH64_ABS64:wl2864c_probe;+0x10:R_AARCH64_ABS64:wl2864c_remove;+0x38:R_AARCH64_ABS64:.rodata.str1.1+0x1ef;+0x48:R_AARCH64_ABS64:__this_module;+0x60:R_AARCH64_ABS64:wl2864c_dt_match;+0xe8:R_AARCH64_ABS64:wl2864c_id	+0x8:R_AARCH64_ABS64:wl2864c_probe;+0x10:R_AARCH64_ABS64:wl2864c_remove;+0x38:R_AARCH64_ABS64:.rodata.str1.1+0x1ef;+0x48:R_AARCH64_ABS64:__this_module;+0x60:R_AARCH64_ABS64:wl2864c_dt_match;+0xe8:R_AARCH64_ABS64:wl2864c_id	i2c_driver descriptor	BYTE_IDENTICAL	NONE
wl2864c_miscdev	.data	0x118	80	80	.data	0x118	80	80	d434001dea806dbcf5eef2b1fb850d57c20d5f4fec70962f608f76a6dc85e6d2	d434001dea806dbcf5eef2b1fb850d57c20d5f4fec70962f608f76a6dc85e6d2	+0x8:R_AARCH64_ABS64:.rodata.str1.1+0x1ef;+0x10:R_AARCH64_ABS64:wl2864c_fops	+0x8:R_AARCH64_ABS64:.rodata.str1.1+0x1ef;+0x10:R_AARCH64_ABS64:wl2864c_fops	miscdevice descriptor	BYTE_IDENTICAL	NONE
__UNIQUE_ID___addressable_cleanup_module	.exit.data	0x0	8	8	.exit.data	0x0	8	8	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	+0x0:R_AARCH64_ABS64:cleanup_module	+0x0:R_AARCH64_ABS64:cleanup_module	exit addressability	BYTE_IDENTICAL	NONE
__this_module	.gnu.linkonce.this_module	0x0	1088	1088	.gnu.linkonce.this_module	0x0	1088	1088	b6a474ed7194988a9fcc21207c434da6e66b70ceffb24dda3668579d5c530fc7	b6a474ed7194988a9fcc21207c434da6e66b70ceffb24dda3668579d5c530fc7	+0x170:R_AARCH64_ABS64:init_module;+0x3d8:R_AARCH64_ABS64:cleanup_module	+0x170:R_AARCH64_ABS64:init_module;+0x3d8:R_AARCH64_ABS64:cleanup_module	module descriptor	BYTE_IDENTICAL	NONE
__UNIQUE_ID___addressable_init_module	.init.data	0x0	8	8	.init.data	0x0	8	8	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	+0x0:R_AARCH64_ABS64:init_module	+0x0:R_AARCH64_ABS64:init_module	init addressability	BYTE_IDENTICAL	NONE
__UNIQUE_ID_description	.modinfo	0x0	44	44	.modinfo	0x0	44	44	729b29e5232eacf4dfed6f2362d81adfe63984eb824be33d61cc0a1eb8b68fdc	729b29e5232eacf4dfed6f2362d81adfe63984eb824be33d61cc0a1eb8b68fdc			module description	BYTE_IDENTICAL	NONE
__UNIQUE_ID_license	.modinfo	0x2c	15	15	.modinfo	0x2c	15	15	76172709a064138222d1d93d09d955f77e3047a3e0c2bd1f63d9aa6d2e49baa7	76172709a064138222d1d93d09d955f77e3047a3e0c2bd1f63d9aa6d2e49baa7			module license	BYTE_IDENTICAL	NONE
__UNIQUE_ID_vermagic	.modinfo	0x3b	87	87	.modinfo	0x3b	85	85	574a8c3d80b08e2a7f9620b27149961828001ed75f7689edef6f9e00b0ef67c9	3e384d854435ff9548f4b6b549062076cfe14d8aefeb01c32923e627e254beb0			kernel release/vermagic	SEMANTIC_EQUIVALENT	BUILD_RELEASE_LABEL_DIFFERS
__UNIQUE_ID_name	.modinfo	0x92	23	23	.modinfo	0x90	23	23	940e0243ddda5b9d97de984683fc7f768a3084e3095189c458ab576760501175	940e0243ddda5b9d97de984683fc7f768a3084e3095189c458ab576760501175			module metadata/object	BYTE_IDENTICAL	NONE
__UNIQUE_ID_depends	.modinfo	0xa9	9	9	.modinfo	0xa7	9	9	f47e0e499add5c79a4639aefa7cf4bc7035752e3d7b02147c57ecfb7ab8212d3	f47e0e499add5c79a4639aefa7cf4bc7035752e3d7b02147c57ecfb7ab8212d3			module metadata/object	BYTE_IDENTICAL	NONE
_note_9	.note.Linux	0x0	24	24	.note.Linux	0x0	24	24	46c938f9cda347c4bb680e1bd9fdaddc9b6e917739785b1baad69e851b2f9de3	46c938f9cda347c4bb680e1bd9fdaddc9b6e917739785b1baad69e851b2f9de3			module metadata/object	BYTE_IDENTICAL	NONE
