symbol	elf_type	section	offset_hex	size	binding	visibility
wl2864c_data	OBJECT	.bss	0x0	112	LOCAL	DEFAULT
wl2864c_i2c_driver	OBJECT	.data	0x0	280	LOCAL	DEFAULT
wl2864c_miscdev	OBJECT	.data	0x118	80	LOCAL	DEFAULT
__UNIQUE_ID___addressable_cleanup_module458	OBJECT	.exit.data	0x0	8	LOCAL	DEFAULT
__this_module	OBJECT	.gnu.linkonce.this_module	0x0	1088	GLOBAL	DEFAULT
__UNIQUE_ID___addressable_init_module457	OBJECT	.init.data	0x0	8	LOCAL	DEFAULT
__UNIQUE_ID_description459	OBJECT	.modinfo	0x0	44	LOCAL	DEFAULT
__UNIQUE_ID_license460	OBJECT	.modinfo	0x2c	15	LOCAL	DEFAULT
__UNIQUE_ID_vermagic333	OBJECT	.modinfo	0x3b	87	LOCAL	DEFAULT
__UNIQUE_ID_name334	OBJECT	.modinfo	0x92	23	LOCAL	DEFAULT
__UNIQUE_ID_depends335	OBJECT	.modinfo	0xa9	9	LOCAL	DEFAULT
_note_9	OBJECT	.note.Linux	0x0	24	LOCAL	DEFAULT
_note_10	OBJECT	.note.Linux	0x18	24	LOCAL	DEFAULT
wl2864c_dt_match	OBJECT	.rodata	0x0	400	LOCAL	DEFAULT
wl2864c_id	OBJECT	.rodata	0x190	64	LOCAL	DEFAULT
wl2864c_fops	OBJECT	.rodata	0x1d0	272	LOCAL	DEFAULT
__crc_will_ldo_en	NOTYPE	__kcrctab	0x0	0	LOCAL	DEFAULT
__crc_will_ldo_vout	NOTYPE	__kcrctab	0x4	0	LOCAL	DEFAULT
__ksymtab_will_ldo_en	NOTYPE	__ksymtab	0x0	0	LOCAL	DEFAULT
__ksymtab_will_ldo_vout	NOTYPE	__ksymtab	0xc	0	LOCAL	DEFAULT
__kstrtabns_will_ldo_en	NOTYPE	__ksymtab_strings	0x0	0	LOCAL	DEFAULT
__kstrtabns_will_ldo_vout	NOTYPE	__ksymtab_strings	0x0	0	LOCAL	DEFAULT
__kstrtab_will_ldo_en	NOTYPE	__ksymtab_strings	0x1	0	LOCAL	DEFAULT
__kstrtab_will_ldo_vout	NOTYPE	__ksymtab_strings	0xd	0	LOCAL	DEFAULT
____versions	OBJECT	__versions	0x0	1728	LOCAL	DEFAULT
