relocation_section	offset_hex	owner	type	symbol_value_hex	symbol	addend
.rela.text	0x18	wl2864c_vin2_power	R_AARCH64_ADR_PREL_PG_HI21	0x0	.rodata.str1.1	5b
.rela.text	0x1c	wl2864c_vin2_power	R_AARCH64_ADD_ABS_LO12_NC	0x0	.rodata.str1.1	5b
.rela.text	0x20	wl2864c_vin2_power	R_AARCH64_ADR_PREL_PG_HI21	0x0	.rodata.str1.1	292
.rela.text	0x24	wl2864c_vin2_power	R_AARCH64_ADD_ABS_LO12_NC	0x0	.rodata.str1.1	292
.rela.text	0x2c	wl2864c_vin2_power	R_AARCH64_CALL26	0x0	_printk	0
.rela.text	0x30	wl2864c_vin2_power	R_AARCH64_ADR_PREL_PG_HI21	0x0	.bss	40
.rela.text	0x3c	wl2864c_vin2_power	R_AARCH64_LDST32_ABS_LO12_NC	0x0	.bss	40
.rela.text	0x40	wl2864c_vin2_power	R_AARCH64_CALL26	0x0	gpio_to_desc	0
.rela.text	0x48	wl2864c_vin2_power	R_AARCH64_CALL26	0x0	gpiod_set_raw_value	0
.rela.text	0xa8	wl2864c_ldo_vout	R_AARCH64_ADR_PREL_PG_HI21	0x0	.rodata.str1.1	2a5
.rela.text	0xac	wl2864c_ldo_vout	R_AARCH64_ADD_ABS_LO12_NC	0x0	.rodata.str1.1	2a5
.rela.text	0xb0	wl2864c_ldo_vout	R_AARCH64_ADR_PREL_PG_HI21	0x0	.rodata.str1.1	4c0
.rela.text	0xb4	wl2864c_ldo_vout	R_AARCH64_ADD_ABS_LO12_NC	0x0	.rodata.str1.1	4c0
.rela.text	0xbc	wl2864c_ldo_vout	R_AARCH64_CALL26	0x0	_printk	0
.rela.text	0xd4	wl2864c_ldo_vout	R_AARCH64_ADR_PREL_PG_HI21	0x0	.rodata.str1.1	35c
.rela.text	0xd8	wl2864c_ldo_vout	R_AARCH64_ADD_ABS_LO12_NC	0x0	.rodata.str1.1	35c
.rela.text	0xe0	wl2864c_ldo_vout	R_AARCH64_ADR_PREL_PG_HI21	0x0	.rodata.str1.1	4c0
.rela.text	0xe4	wl2864c_ldo_vout	R_AARCH64_ADD_ABS_LO12_NC	0x0	.rodata.str1.1	4c0
.rela.text	0xf8	wl2864c_ldo_vout	R_AARCH64_CALL26	0x0	_printk	0
.rela.text	0x158	wl2864c_ldo_vout	R_AARCH64_ADR_PREL_PG_HI21	0x0	.rodata	2fc
.rela.text	0x15c	wl2864c_ldo_vout	R_AARCH64_ADD_ABS_LO12_NC	0x0	.rodata	2fc
.rela.text	0x160	wl2864c_ldo_vout	R_AARCH64_ADR_PREL_PG_HI21	0x0	.rodata	2e0
.rela.text	0x164	wl2864c_ldo_vout	R_AARCH64_ADD_ABS_LO12_NC	0x0	.rodata	2e0
.rela.text	0x168	wl2864c_ldo_vout	R_AARCH64_ADR_PREL_PG_HI21	0x0	.bss	0
.rela.text	0x180	wl2864c_ldo_vout	R_AARCH64_LDST64_ABS_LO12_NC	0x0	.bss	0
.rela.text	0x1d0	wl2864c_ldo_vout	R_AARCH64_CALL26	0x0	i2c_transfer	0
.rela.text	0x1e4	wl2864c_ldo_vout	R_AARCH64_ADR_PREL_PG_HI21	0x0	.rodata.str1.1	13a
.rela.text	0x1e8	wl2864c_ldo_vout	R_AARCH64_ADD_ABS_LO12_NC	0x0	.rodata.str1.1	13a
.rela.text	0x1f0	wl2864c_ldo_vout	R_AARCH64_CALL26	0x0	_dev_info	0
.rela.text	0x1f8	wl2864c_ldo_vout	R_AARCH64_LDST64_ABS_LO12_NC	0x0	.bss	0
.rela.text	0x23c	wl2864c_ldo_vout	R_AARCH64_CALL26	0x0	i2c_transfer	0
.rela.text	0x24c	wl2864c_ldo_vout	R_AARCH64_ADR_PREL_PG_HI21	0x0	.rodata.str1.1	13a
.rela.text	0x250	wl2864c_ldo_vout	R_AARCH64_ADD_ABS_LO12_NC	0x0	.rodata.str1.1	13a
.rela.text	0x254	wl2864c_ldo_vout	R_AARCH64_CALL26	0x0	_dev_info	0
