section	offset_hex	string	relocation_xref_count	owners
.rodata.str1.1	0x0	wl2864c_probe	8	wl2864c_probe
.rodata.str1.1	0xe	\x013%s: failed to register wl2864c device\x0a	2	wl2864c_probe
.rodata.str1.1	0x37	\x013%s: deregister wl2864c device ok\x0a	2	wl2864c_remove
.rodata.str1.1	0x5b	\x013%s: power=%d\x0a	2	wl2864c_vin2_power
.rodata.str1.1	0x6b	wl2868c_ldo_en	10	wl2868c_ldo_en
.rodata.str1.1	0x7a	\x013%s: wl2864c: read %X failed %d\x0a	2	wl2864c_read
.rodata.str1.1	0x9c	\x013%s: ldo_en write fail ret=%d\x0a	4	wl2864c_ldo_en,wl2868c_ldo_en
.rodata.str1.1	0xbc	\x013%s: wl2864c_probe successed! chip id = %d\x0a	2	wl2864c_probe
.rodata.str1.1	0xe9	failed to request reset GPIO: %d\x0a	2	wl2864c_probe
.rodata.str1.1	0x10b	\x013%s: ldo_num=%d, ldo_en write val=%x, ret=%d\x0a	4	wl2864c_ldo_en
.rodata.str1.1	0x13a	i2c transfer failed (%d)\x0a	20	wl2864c_ldo_en,wl2864c_ldo_vout,wl2864c_read,wl2864c_write,wl2868c_ldo_en,wl2868c_ldo_vout
.rodata.str1.1	0x154	\x013%s: wl2864c: read REG[%02X %02X]\x0a	2	wl2864c_read
.rodata.str1.1	0x178	\x013%s: wl2864c: write REG[%02X %02X]\x0a	2	wl2864c_write
.rodata.str1.1	0x19d	wl2864c_power_on	2	wl2864c_probe
.rodata.str1.1	0x1ae	\x013%s: wl2864c: open failed.\x0a	2	wl2864c_open
.rodata.str1.1	0x1cb	\x013%s: wl2864c: can't get user data\x0a	2	wl2864c_write
.rodata.str1.1	0x1ef	wl2864c	2	wl2864c_i2c_driver,wl2864c_miscdev
.rodata.str1.1	0x1f7	vin1	2	wl2864c_probe
.rodata.str1.1	0x1fc	\x013%s: ldo_num=%d ldo_vout write fail ret=%d\x0a	4	wl2864c_ldo_vout,wl2868c_ldo_vout
.rodata.str1.1	0x229	reset	2	wl2864c_probe
.rodata.str1.1	0x22f	\x013%s: ldo_num=%d, ldo_vout(write_val:%x, read_val:%u), ret=%d\x0a	4	wl2864c_ldo_vout,wl2868c_ldo_vout
.rodata.str1.1	0x26e	failed to request vin1_en GPIO: %d\x0a	2	wl2864c_probe
.rodata.str1.1	0x292	wl2864c_vin2_power	2	wl2864c_vin2_power
.rodata.str1.1	0x2a5	\x013%s: ldo_num=%d err\x0a	8	wl2864c_ldo_en,wl2864c_ldo_vout,wl2868c_ldo_en,wl2868c_ldo_vout
.rodata.str1.1	0x2bb	wl2864c_ldo_en	10	wl2864c_ldo_en
.rodata.str1.1	0x2ca	\x013%s: ldo_en read fail ret=%d\x0a	4	wl2864c_ldo_en,wl2868c_ldo_en
.rodata.str1.1	0x2e9	wl2864c_read	6	wl2864c_read
.rodata.str1.1	0x2f6	wl2864c_llseek	2	wl2864c_llseek
.rodata.str1.1	0x305	\x013%s: add driver success\x0a	2	init_module
.rodata.str1.1	0x31f	\x013%s: ldo_num=%d, ldo_en read val=%x, ret=%d\x0a	8	wl2864c_ldo_en,wl2868c_ldo_en
.rodata.str1.1	0x34d	wl2864c_remove	2	wl2864c_remove
.rodata.str1.1	0x35c	\x013%s: ldo_vout=%d\x0a	6	wl2864c_ldo_vout,wl2864c_probe,wl2868c_ldo_vout
.rodata.str1.1	0x36f	\x013%s: ldo_num=%d, ldo_en write val=%x %x, ret=%d\x0a	2	wl2868c_ldo_en
.rodata.str1.1	0x3a1	\x013%s: wl2864c_data.chip_id%x\x0a	2	will_ldo_vout
.rodata.str1.1	0x3bf	wl2868c: vin1_en GPIO set high\x0a	2	wl2864c_probe
.rodata.str1.1	0x3df	\x013%s: wl2864c: write failed %d\x0a	2	wl2864c_write
.rodata.str1.1	0x3ff	wl2864c_open	2	wl2864c_open
.rodata.str1.1	0x40c	\x013%s: wl2864c_power_on failed %d\x0a	2	wl2864c_probe
.rodata.str1.1	0x42e	will_ldo_vout	2	will_ldo_vout
.rodata.str1.1	0x43c	\x013%s: wl2864c: update read pos to %02X\x0a	2	wl2864c_llseek
.rodata.str1.1	0x464	wl2864c_write	6	wl2864c_write
.rodata.str1.1	0x472	wl2864c_init	6	init_module
.rodata.str1.1	0x47f	wl2868c_ldo_vout	8	wl2868c_ldo_vout
.rodata.str1.1	0x490	\x013%s: entry\x0a	4	init_module,wl2864c_probe
.rodata.str1.1	0x49d	\x013%s: add driver failed, error=%d\x0a	2	init_module
.rodata.str1.1	0x4c0	wl2864c_ldo_vout	10	wl2864c_ldo_vout,wl2864c_probe
.rodata.str1.1	0x4d1	\x013%s: wl2864c: malloc failed %d\x0a	2	wl2864c_read
