symbol	crc	section	offset	size	kcfi_id	export_class
yft_finger_get_irq_gpio	0x1a8a2d17	.text	0x520	64	0x837de525	EXPORT_SYMBOL
yft_finger_get_irqnum	0x9cc3cc91	.text	0x4e8	52	0x837de525	EXPORT_SYMBOL
yft_finger_get_reset_gpio	0x6f79cc60	.text	0x564	64	0x837de525	EXPORT_SYMBOL
yft_finger_power_deinit	0xad1b117e	.text	0x38c	56	0xa540670c	EXPORT_SYMBOL
yft_finger_probe_isok	0x7476a412	.text	0x354	8	0xd2a1eef1	EXPORT_SYMBOL
yft_finger_set_irq	0x6d125ec3	.text	0x444	160	0x00050794	EXPORT_SYMBOL
yft_finger_set_power	0x1fc1d7b1	.text	0x360	40	0x00050794	EXPORT_SYMBOL
yft_finger_set_reset	0xcae83e02	.text	0x3c8	120	0x00050794	EXPORT_SYMBOL
yft_finger_set_spi_mode	0x0cf6e61a	.text	0x5a8	312	0x00050794	EXPORT_SYMBOL
yft_waite_for_finger_dts_paser	0x4202702c	.text	0x6e4	236	0xa540670c	EXPORT_SYMBOL
