symbol	stock_section	stock_offset	stock_size	recon_section	recon_offset	recon_size	size_identical	stock_kcfi	recon_kcfi	kcfi_identical	stock_sha256	recon_sha256	byte_identical
yft_finger_get_gpio_info	.text	0x4	844	.text	0x4	844	true	0x63df1691	0x63df1691	true	4b59635fe48e6d96532723eab33358d9dac08ee51c0b702cac75fe3ec011ee49	4b59635fe48e6d96532723eab33358d9dac08ee51c0b702cac75fe3ec011ee49	true
yft_finger_probe_isok	.text	0x354	8	.text	0x354	8	true	0xd2a1eef1	0xd2a1eef1	true	eb9e6a7e9586fc5e778d091d7202958246ca2e1ccbe74951f5ccdd466512ee41	eb9e6a7e9586fc5e778d091d7202958246ca2e1ccbe74951f5ccdd466512ee41	true
yft_finger_set_power	.text	0x360	40	.text	0x360	40	true	0x00050794	0x00050794	true	4a784f7e0ad67c861073f1e3f88b006c6c18945a79cc4a8d05811f508e08b49f	4a784f7e0ad67c861073f1e3f88b006c6c18945a79cc4a8d05811f508e08b49f	true
yft_finger_power_deinit	.text	0x38c	56	.text	0x38c	56	true	0xa540670c	0xa540670c	true	833dfed740f6e74ddfac59eab3e130ba0addf8111c7880106812e2d4e2aadb34	833dfed740f6e74ddfac59eab3e130ba0addf8111c7880106812e2d4e2aadb34	true
yft_finger_set_reset	.text	0x3c8	120	.text	0x3c8	120	true	0x00050794	0x00050794	true	57334b8bd7908f652dde032a8ef747c7bc5a6a9046e4a29080a8b946c618c458	57334b8bd7908f652dde032a8ef747c7bc5a6a9046e4a29080a8b946c618c458	true
yft_finger_set_irq	.text	0x444	160	.text	0x444	160	true	0x00050794	0x00050794	true	e62c7a55788e22afe241cc169d8ab2c56161791b8f746f1777de96980a55cf27	e62c7a55788e22afe241cc169d8ab2c56161791b8f746f1777de96980a55cf27	true
yft_finger_get_irqnum	.text	0x4e8	52	.text	0x4e8	52	true	0x837de525	0x837de525	true	1ba0d8098e8938523ea5fdd9c776ed46fbc21964b02179e4e99cbfc436298a71	1ba0d8098e8938523ea5fdd9c776ed46fbc21964b02179e4e99cbfc436298a71	true
yft_finger_get_irq_gpio	.text	0x520	64	.text	0x520	64	true	0x837de525	0x837de525	true	bdafa6b3191f2d31c15eb41e14df4fb0c960a386c01050990068489dd2324490	bdafa6b3191f2d31c15eb41e14df4fb0c960a386c01050990068489dd2324490	true
yft_finger_get_reset_gpio	.text	0x564	64	.text	0x564	64	true	0x837de525	0x837de525	true	bdafa6b3191f2d31c15eb41e14df4fb0c960a386c01050990068489dd2324490	bdafa6b3191f2d31c15eb41e14df4fb0c960a386c01050990068489dd2324490	true
yft_finger_set_spi_mode	.text	0x5a8	312	.text	0x5a8	312	true	0x00050794	0x00050794	true	14c1211a4d939d0090091506040dc2b268cb9c48fc6221e7b802de5aa101a8f8	14c1211a4d939d0090091506040dc2b268cb9c48fc6221e7b802de5aa101a8f8	true
yft_waite_for_finger_dts_paser	.text	0x6e4	236	.text	0x6e4	236	true	0xa540670c	0xa540670c	true	2163e6d63a006b65ac71b24a39ea29ed7420664b3f3075ba49aad4bb1b2f8f33	2163e6d63a006b65ac71b24a39ea29ed7420664b3f3075ba49aad4bb1b2f8f33	true
yft_get_max_finger_spi_cs_number	.text	0x7d4	8	.text	0x7d4	8	true	0x36b1c5a6	0x36b1c5a6	true	0becf359e148792c5ed24ca79a91209e5f15e0f015d2a0b9f4d69c2e82d59f3a	0becf359e148792c5ed24ca79a91209e5f15e0f015d2a0b9f4d69c2e82d59f3a	true
yft_finger_plat_probe	.text	0x7e0	68	.text	0x7e0	68	true	0x63df1691	0x63df1691	true	174ce0be5ba41020ef8ddc5bd23d974de66a6207b99221b7a8d1af6b1649bf4d	174ce0be5ba41020ef8ddc5bd23d974de66a6207b99221b7a8d1af6b1649bf4d	true
yft_finger_plat_remove	.text	0x828	16	.text	0x828	16	true	0x63df1691	0x63df1691	true	bd57b646dd66c56bc9565084a0866a2bdc1bbfbd9cd3abf5b084c7406f8e06a5	bd57b646dd66c56bc9565084a0866a2bdc1bbfbd9cd3abf5b084c7406f8e06a5	true
init_module	.init.text	0x4	68	.init.text	0x4	68	true	0x36b1c5a6	0x36b1c5a6	true	603fb82a3ae62d3bc891f7e6cfb91dfed74cf13857781ec8ac09a010cf4c2b01	603fb82a3ae62d3bc891f7e6cfb91dfed74cf13857781ec8ac09a010cf4c2b01	true
cleanup_module	.exit.text	0x4	36	.exit.text	0x4	36	true	0xa540670c	0xa540670c	true	022d1f8a88b2242b9938288dcd07f975c12b83337276f60e60d743f109a21c2c	022d1f8a88b2242b9938288dcd07f975c12b83337276f60e60d743f109a21c2c	true
