symbol	section	offset	size	binding	kcfi_id	sha256
yft_finger_get_gpio_info	.text	0x4	844	GLOBAL	0x63df1691	4b59635fe48e6d96532723eab33358d9dac08ee51c0b702cac75fe3ec011ee49
yft_finger_probe_isok	.text	0x354	8	GLOBAL	0xd2a1eef1	eb9e6a7e9586fc5e778d091d7202958246ca2e1ccbe74951f5ccdd466512ee41
yft_finger_set_power	.text	0x360	40	GLOBAL	0x00050794	4a784f7e0ad67c861073f1e3f88b006c6c18945a79cc4a8d05811f508e08b49f
yft_finger_power_deinit	.text	0x38c	56	GLOBAL	0xa540670c	833dfed740f6e74ddfac59eab3e130ba0addf8111c7880106812e2d4e2aadb34
yft_finger_set_reset	.text	0x3c8	120	GLOBAL	0x00050794	57334b8bd7908f652dde032a8ef747c7bc5a6a9046e4a29080a8b946c618c458
yft_finger_set_irq	.text	0x444	160	GLOBAL	0x00050794	e62c7a55788e22afe241cc169d8ab2c56161791b8f746f1777de96980a55cf27
yft_finger_get_irqnum	.text	0x4e8	52	GLOBAL	0x837de525	1ba0d8098e8938523ea5fdd9c776ed46fbc21964b02179e4e99cbfc436298a71
yft_finger_get_irq_gpio	.text	0x520	64	GLOBAL	0x837de525	bdafa6b3191f2d31c15eb41e14df4fb0c960a386c01050990068489dd2324490
yft_finger_get_reset_gpio	.text	0x564	64	GLOBAL	0x837de525	bdafa6b3191f2d31c15eb41e14df4fb0c960a386c01050990068489dd2324490
yft_finger_set_spi_mode	.text	0x5a8	312	GLOBAL	0x00050794	14c1211a4d939d0090091506040dc2b268cb9c48fc6221e7b802de5aa101a8f8
yft_waite_for_finger_dts_paser	.text	0x6e4	236	GLOBAL	0xa540670c	2163e6d63a006b65ac71b24a39ea29ed7420664b3f3075ba49aad4bb1b2f8f33
yft_get_max_finger_spi_cs_number	.text	0x7d4	8	GLOBAL	0x36b1c5a6	0becf359e148792c5ed24ca79a91209e5f15e0f015d2a0b9f4d69c2e82d59f3a
yft_finger_plat_probe	.text	0x7e0	68	GLOBAL	0x63df1691	174ce0be5ba41020ef8ddc5bd23d974de66a6207b99221b7a8d1af6b1649bf4d
yft_finger_plat_remove	.text	0x828	16	GLOBAL	0x63df1691	bd57b646dd66c56bc9565084a0866a2bdc1bbfbd9cd3abf5b084c7406f8e06a5
init_module	.init.text	0x4	68	GLOBAL	0x36b1c5a6	603fb82a3ae62d3bc891f7e6cfb91dfed74cf13857781ec8ac09a010cf4c2b01
cleanup_module	.exit.text	0x4	36	GLOBAL	0xa540670c	022d1f8a88b2242b9938288dcd07f975c12b83337276f60e60d743f109a21c2c
