symbol	crc	elf_presence	relocation_count	relocation_sections
__platform_driver_register	0x894c433a	undefined	1	.init.text
__stack_chk_fail	0xc2c193d2	undefined	1	.text
__wake_up	0xe2964344	undefined	1	.text
_dev_err	0xf27ed00b	undefined	2	.text
_printk	0x92997ed8	undefined	10	.init.text,.text
devm_pinctrl_get	0x1e78d642	undefined	1	.text
devm_pinctrl_put	0x1eb56d31	undefined	1	.text
finish_wait	0x92540fbf	undefined	1	.text
init_wait_entry	0xfe487975	undefined	1	.text
irq_of_parse_and_map	0xe416cf51	undefined	1	.text
of_find_compatible_node	0x3d6e4570	undefined	4	.text
of_get_named_gpio_flags	0xb9ab15e7	undefined	2	.text
pinctrl_lookup_state	0xfcab557c	undefined	13	.text
pinctrl_select_state	0x92ee9662	undefined	9	.text
platform_driver_unregister	0xe1b15563	undefined	1	.exit.text
prepare_to_wait_event	0x8c26d495	undefined	2	.text
schedule_timeout	0x8ddd8aad	undefined	1	.text
module_layout	0xea759d7f	modversion-only	0	__versions
