stock_symbol	recon_symbol	stock_section	recon_section	stock_offset	recon_offset	stock_size	recon_size	size_identical	stock_sha256	recon_sha256	byte_identical	semantic_key
$d.44	$d.44	.data	.data	0x0	0x0	0	0	true			true	$d.44
finger_init_waiter	finger_init_waiter	.data	.data	0x0	0x0	24	24	true	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0	true	finger_init_waiter
__mod_of__yft_finger_match_device_table	__mod_of__yft_finger_match_device_table	.data	.data	0x18	0x18	400	400	true	80d0a4ed14111b8594505efcd6d656dd200dedd8aaa9923d923d188d9f1dc825	80d0a4ed14111b8594505efcd6d656dd200dedd8aaa9923d923d188d9f1dc825	true	__mod_of__yft_finger_match_device_table
yft_finger_match	yft_finger_match	.data	.data	0x18	0x18	400	400	true	80d0a4ed14111b8594505efcd6d656dd200dedd8aaa9923d923d188d9f1dc825	80d0a4ed14111b8594505efcd6d656dd200dedd8aaa9923d923d188d9f1dc825	true	yft_finger_match
yft_finger_pdrv	yft_finger_pdrv	.data	.data	0x1a8	0x1a8	248	248	true	b3ab6982980fddf460a2f47adb428475ce9afa89092fd034499d017a35993f05	b3ab6982980fddf460a2f47adb428475ce9afa89092fd034499d017a35993f05	true	yft_finger_pdrv
$d.45	$d.45	.rodata.str1.1	.rodata.str1.1	0x552	0x582	0	0	true			true	$d.45
$d.46	$d.46	.bss	.bss	0x0	0x0	0	0	true			true	$d.46
yft_finger_pinctrl	yft_finger_pinctrl	.bss	.bss	0x0	0x0	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_pinctrl
yft_finger_reset_high	yft_finger_reset_high	.bss	.bss	0x8	0x8	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_reset_high
yft_finger_reset_low	yft_finger_reset_low	.bss	.bss	0x10	0x10	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_reset_low
yft_finger_spi0_mi_as_spi0_mi	yft_finger_spi0_mi_as_spi0_mi	.bss	.bss	0x18	0x18	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_spi0_mi_as_spi0_mi
yft_finger_spi0_mi_as_gpio	yft_finger_spi0_mi_as_gpio	.bss	.bss	0x20	0x20	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_spi0_mi_as_gpio
yft_finger_spi0_mo_as_spi0_mo	yft_finger_spi0_mo_as_spi0_mo	.bss	.bss	0x28	0x28	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_spi0_mo_as_spi0_mo
yft_finger_spi0_mo_as_gpio	yft_finger_spi0_mo_as_gpio	.bss	.bss	0x30	0x30	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_spi0_mo_as_gpio
yft_finger_spi0_clk_as_spi0_clk	yft_finger_spi0_clk_as_spi0_clk	.bss	.bss	0x38	0x38	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_spi0_clk_as_spi0_clk
yft_finger_spi0_clk_as_gpio	yft_finger_spi0_clk_as_gpio	.bss	.bss	0x40	0x40	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_spi0_clk_as_gpio
yft_finger_spi0_cs_as_spi0_cs	yft_finger_spi0_cs_as_spi0_cs	.bss	.bss	0x48	0x48	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_spi0_cs_as_spi0_cs
yft_finger_spi0_cs_as_gpio	yft_finger_spi0_cs_as_gpio	.bss	.bss	0x50	0x50	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_spi0_cs_as_gpio
yft_finger_eint_pull_down	yft_finger_eint_pull_down	.bss	.bss	0x58	0x58	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_eint_pull_down
yft_finger_eint_pull_up	yft_finger_eint_pull_up	.bss	.bss	0x60	0x60	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_eint_pull_up
yft_finger_eint_pull_dis	yft_finger_eint_pull_dis	.bss	.bss	0x68	0x68	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_eint_pull_dis
yft_finger_power_on	yft_finger_power_on	.bss	.bss	0x70	0x70	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_power_on
yft_finger_power_off	yft_finger_power_off	.bss	.bss	0x78	0x78	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_power_off
yft_finger_plat	yft_finger_plat	.bss	.bss	0x80	0x80	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	yft_finger_plat
__UNIQUE_ID___addressable_init_module405	__UNIQUE_ID___addressable_init_module384	.init.data	.init.data	0x0	0x0	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	__UNIQUE_ID___addressable_init_module#
__UNIQUE_ID___addressable_cleanup_module406	__UNIQUE_ID___addressable_cleanup_module385	.exit.data	.exit.data	0x0	0x0	8	8	true	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	true	__UNIQUE_ID___addressable_cleanup_module#
