symbol	section	offset	size	type	binding	sha256
$d.44	.data	0x0	0	NOTYPE	LOCAL	N/A
finger_init_waiter	.data	0x0	24	OBJECT	GLOBAL	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0
__mod_of__yft_finger_match_device_table	.data	0x18	400	OBJECT	GLOBAL	80d0a4ed14111b8594505efcd6d656dd200dedd8aaa9923d923d188d9f1dc825
yft_finger_match	.data	0x18	400	OBJECT	LOCAL	80d0a4ed14111b8594505efcd6d656dd200dedd8aaa9923d923d188d9f1dc825
yft_finger_pdrv	.data	0x1a8	248	OBJECT	LOCAL	b3ab6982980fddf460a2f47adb428475ce9afa89092fd034499d017a35993f05
$d.45	.rodata.str1.1	0x552	0	NOTYPE	LOCAL	N/A
$d.46	.bss	0x0	0	NOTYPE	LOCAL	N/A
yft_finger_pinctrl	.bss	0x0	8	OBJECT	GLOBAL	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
yft_finger_reset_high	.bss	0x8	8	OBJECT	GLOBAL	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
yft_finger_reset_low	.bss	0x10	8	OBJECT	GLOBAL	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
yft_finger_spi0_mi_as_spi0_mi	.bss	0x18	8	OBJECT	GLOBAL	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
yft_finger_spi0_mi_as_gpio	.bss	0x20	8	OBJECT	GLOBAL	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
yft_finger_spi0_mo_as_spi0_mo	.bss	0x28	8	OBJECT	GLOBAL	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
yft_finger_spi0_mo_as_gpio	.bss	0x30	8	OBJECT	GLOBAL	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
yft_finger_spi0_clk_as_spi0_clk	.bss	0x38	8	OBJECT	GLOBAL	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
yft_finger_spi0_clk_as_gpio	.bss	0x40	8	OBJECT	GLOBAL	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
yft_finger_spi0_cs_as_spi0_cs	.bss	0x48	8	OBJECT	GLOBAL	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
yft_finger_spi0_cs_as_gpio	.bss	0x50	8	OBJECT	GLOBAL	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
