target_section	offset	type_number	symbol	symbol_value	addend
.text	0x1c	275		0x0	1362
.text	0x20	277		0x0	1362
.text	0x2c	283	of_find_compatible_node	0x0	0
.text	0x38	275		0x0	1042
.text	0x3c	277		0x0	1042
.text	0x40	283	_printk	0x0	0
.text	0x44	275	finger_init_waiter	0x0	0
.text	0x48	277	finger_init_waiter	0x0	0
.text	0x58	283	__wake_up	0x0	0
.text	0x64	283	devm_pinctrl_get	0x0	0
.text	0x68	275	yft_finger_pinctrl	0x0	0
.text	0x70	286	yft_finger_pinctrl	0x0	0
.text	0x7c	275		0x0	258
.text	0x80	277		0x0	258
.text	0x8c	283	_dev_err	0x0	0
.text	0x98	275		0x0	861
.text	0x9c	277		0x0	861
.text	0xa0	283	_printk	0x0	0
.text	0xa4	286	yft_finger_pinctrl	0x0	0
.text	0xa8	275		0x0	0
.text	0xac	277		0x0	0
.text	0xb0	283	pinctrl_lookup_state	0x0	0
.text	0xb4	275	yft_finger_reset_high	0x8	0
.text	0xbc	286	yft_finger_reset_high	0x8	0
.text	0xc8	275		0x0	986
.text	0xcc	277		0x0	986
.text	0xd4	286	yft_finger_pinctrl	0x0	0
.text	0xd8	275		0x0	1382
.text	0xdc	277		0x0	1382
.text	0xe0	283	pinctrl_lookup_state	0x0	0
.text	0xe4	275	yft_finger_reset_low	0x10	0
.text	0xec	286	yft_finger_reset_low	0x10	0
.text	0xf8	275		0x0	1123
.text	0xfc	277		0x0	1123
.text	0x104	275		0x0	743
.text	0x108	277		0x0	743
.text	0x10c	283	_printk	0x0	0
.text	0x110	286	yft_finger_pinctrl	0x0	0
.text	0x114	275		0x0	1178
.text	0x118	277		0x0	1178
.text	0x11c	283	pinctrl_lookup_state	0x0	0
.text	0x120	275	yft_finger_spi0_mi_as_spi0_mi	0x18	0
.text	0x128	286	yft_finger_spi0_mi_as_spi0_mi	0x18	0
.text	0x134	275		0x0	130
.text	0x138	277		0x0	130
.text	0x140	286	yft_finger_pinctrl	0x0	0
.text	0x144	275		0x0	795
.text	0x148	277		0x0	795
.text	0x14c	283	pinctrl_lookup_state	0x0	0
.text	0x150	275	yft_finger_spi0_mi_as_gpio	0x20	0
.text	0x158	286	yft_finger_spi0_mi_as_gpio	0x20	0
.text	0x164	275		0x0	305
.text	0x168	277		0x0	305
.text	0x170	286	yft_finger_pinctrl	0x0	0
.text	0x174	275		0x0	1399
.text	0x178	277		0x0	1399
