section	offset	string
__ksymtab_strings	0x0	yft_finger_set_power
__ksymtab_strings	0x15	yft_finger_get_irqnum
__ksymtab_strings	0x2b	yft_finger_get_irq_gpio
__ksymtab_strings	0x43	yft_finger_set_spi_mode
__ksymtab_strings	0x5b	yft_finger_probe_isok
__ksymtab_strings	0x72	yft_waite_for_finger_dts_paser
__ksymtab_strings	0x91	yft_finger_set_reset
__ksymtab_strings	0xa6	yft_finger_set_irq
__ksymtab_strings	0xb9	yft_finger_power_deinit
__ksymtab_strings	0xd1	yft_finger_get_reset_gpio
.data	0x58	mediatek,yft_finger
.rodata.str1.1	0x0	finger_reset_en1
.rodata.str1.1	0x11	finger_spi0_clk_as_gpio
.rodata.str1.1	0x29	 Cannot find yft_finger pinctrl yft_finger_spi0_clk_as_spi0_clk!
.rodata.str1.1	0x6b	finger_spi0_cs_as_gpio
.rodata.str1.1	0x82	 Cannot find yft_finger pinctrl yft_finger_spi0_mi_as_spi0_mi!
.rodata.str1.1	0xc2	 Cannot find yft_finger pinctrl yft_finger_spi0_cs_as_spi0_cs!
.rodata.str1.1	0x102	yft_finger cannot find pinctrl and ret = (%d)
.rodata.str1.1	0x131	 Cannot find yft_finger pinctrl yft_finger_spi0_mi_as_gpio!
.rodata.str1.1	0x16e	 Cannot find yft_finger pinctrl yft_finger_spi0_mo_as_spi0_mo!
.rodata.str1.1	0x1ae	 Cannot find yft_finger pinctrl yft_finger_spi0_clk_as_gpio!
.rodata.str1.1	0x1ec	int-gpio
.rodata.str1.1	0x1f5	finger_spi0_cs_as_spi0_cs
.rodata.str1.1	0x20f	finger_eint_pull_dis
.rodata.str1.1	0x224	yft_finger_plat_probe entry
.rodata.str1.1	0x242	3err: yft_finger_reset_low or yft_finger_reset_high is error!!!
.rodata.str1.1	0x282	finger_spi0_clk_as_spi0_clk
.rodata.str1.1	0x29e	finger_eint_pull_down
.rodata.str1.1	0x2b4	 Cannot find fp pinctrl yft_finger_eint_pull_dis!
.rodata.str1.1	0x2e8	3yft_finger_get_gpio_info: no need finger_power_en
.rodata.str1.1	0x31b	finger_spi0_mi_as_gpio
.rodata.str1.1	0x333	3yft_finger_set_power: no need gpio power
.rodata.str1.1	0x35d	[%s] yft_finger_pinctrl+++++++++++++++++
.rodata.str1.1	0x387	 Cannot find fp pinctrl yft_finger_eint_pull_down!
.rodata.str1.1	0x3bb	finger_eint_pull_up
.rodata.str1.1	0x3cf	reset-gpio
.rodata.str1.1	0x3da	 Cannot find yft_finger pinctrl yft_finger_reset_high!
.rodata.str1.1	0x412	node.name <%s> full name <%s>
.rodata.str1.1	0x431	 Cannot find fp pinctrl yft_finger_eint_pull_up!
.rodata.str1.1	0x463	 Cannot find yft_finger pinctrl yft_finger_reset_low!
.rodata.str1.1	0x49a	finger_spi0_mi_as_spi0_mi
.rodata.str1.1	0x4b4	yft_finger get gpio info ok--------
.rodata.str1.1	0x4d9	yft_finger
.rodata.str1.1	0x4e4	finger_spi0_mo_as_gpio
.rodata.str1.1	0x4fb	 Cannot find yft_finger pinctrl yft_finger_spi0_mo_as_gpio!
.rodata.str1.1	0x538	failed to register driver
.rodata.str1.1	0x552	mediatek,yft_finger
.rodata.str1.1	0x566	finger_reset_en0
.rodata.str1.1	0x577	finger_spi0_mo_as_spi0_mo
.rodata.str1.1	0x591	 Cannot find yft_finger pinctrl yft_finger_spi0_cs_as_gpio!
.rodata.str1.1	0x5cf	3err: yft_finger_int_as_gpio is error!!!!
.modinfo	0x0	author=Jay_zhou
.modinfo	0x10	description=for yft fingerprint driver
.modinfo	0x37	license=GPL
.modinfo	0x43	vermagic=6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64
.modinfo	0x9a	name=fingerprint
.modinfo	0xab	depends=
.modinfo	0xb4	alias=of:N*T*Cmediatek,yft_finger
.modinfo	0xd6	alias=of:N*T*Cmediatek,yft_fingerC*
.comment	0x1	Android (10087095, +pgo, +bolt, +lto, -mlgo, based on r487747c) clang version 17.0.2 (https://android.googlesource.com/toolchain/llvm-project d9f89f4d16663d5012e5c09495f3b30ece3d2362)
.llvm_addrsig	0x1b	X[\]^_`abcdehknoN
.llvm_addrsig	0x34	 #$%
.note.Linux	0xc	Linux
.note.Linux	0x24	Linux
.gnu.linkonce.this_module	0x18	fingerprint
__versions	0x0	pEn=
__versions	0x8	of_find_compatible_node
__versions	0x48	_printk
__versions	0x88	__wake_up
__versions	0xc8	devm_pinctrl_get
__versions	0x108	_dev_err
__versions	0x148	pinctrl_lookup_state
__versions	0x188	devm_pinctrl_put
__versions	0x1c8	pinctrl_select_state
__versions	0x208	irq_of_parse_and_map
__versions	0x248	of_get_named_gpio_flags
__versions	0x288	init_wait_entry
__versions	0x2c8	prepare_to_wait_event
__versions	0x308	finish_wait
__versions	0x348	schedule_timeout
__versions	0x388	__stack_chk_fail
__versions	0x3c8	__platform_driver_register
__versions	0x408	platform_driver_unregister
__versions	0x448	module_layout
.note.gnu.build-id	0x17	M7PZ
