module,group,placements,filenames,depends,raw_import_records,unique_imports,kernel_imports,intermodule_imports,unclassified_imports,reason
mtk_disp_notify,simple-donor,,,,5,5,5,0,0,small notifier module; Ulefone touch depends on its exported notifier API
st21nfc,simple-donor,,,,54,54,54,0,0,strong direct Nothing source match; isolated peripheral
tcpc_mt6375,power,,,,63,63,41,22,0,strong MT6375 donor; important USB-C/charging component
mtk_tinysys_ipi,platform-core,vendor_dlkm,mtk_tinysys_ipi.ko,mtk-mbox;mtk_rpmsg_mbox,28,28,23,5,0,common MediaTek infrastructure used by multiple subsystems
mtk_mbox,platform-core,vendor_dlkm,mtk-mbox.ko,,32,32,32,0,0,common MediaTek mailbox infrastructure
connfem,connectivity,vendor_dlkm,connfem.ko,,65,65,65,0,0,direct MT6878 build target
conninfra,connectivity,vendor_dlkm,conninfra.ko,aee_aed;ccci_md_all;connadp;device-apc-common;mtk_disp_notify,194,194,175,19,0,foundational connectivity infrastructure
gps_pwr,connectivity,vendor_dlkm,gps_pwr.ko,connadp,24,24,21,3,0,direct MT6878 build target
gps_scp,connectivity,vendor_dlkm,gps_scp.ko,connscp,31,31,26,5,0,direct MT6878 build target
wlan_drv_gen4m_6878,connectivity,vendor_dlkm,wlan_drv_gen4m_6878.ko,aee_aed;ccci_md_all;cfg80211;connadp;connfem;conninfra;mddp;mtk_disp_notify;pmic_lbat_service;wmt_chrdev_wifi_connac2,390,390,295,95,0,exact MT6878 WLAN target; later-stage compile candidate
