module	group	reason
mtk_disp_notify	simple-donor	small notifier module; Ulefone touch depends on its exported notifier API
st21nfc	simple-donor	strong direct Nothing source match; isolated peripheral
tcpc_mt6375	power	strong MT6375 donor; important USB-C/charging component
mtk_tinysys_ipi	platform-core	common MediaTek infrastructure used by multiple subsystems
mtk_mbox	platform-core	common MediaTek mailbox infrastructure
connfem	connectivity	direct MT6878 build target
conninfra	connectivity	foundational connectivity infrastructure
gps_pwr	connectivity	direct MT6878 build target
gps_scp	connectivity	direct MT6878 build target
wlan_drv_gen4m_6878	connectivity	exact MT6878 WLAN target; later-stage compile candidate
