name	path	manifest_revision	ci_sha	ci_pin_source	remote
kernel/build	build/kernel	main-kernel-build-2023	c0156661aa24e62647ea34d21fbd13d2b93dd89c	$.repo-dict:project-map	aosp
kernel/common	common	android14-6.1-2024-12	6b18f0b574ab3267615ae6ce642d5a7c3c21ac09	$.repo-dict:project-map	aosp
kernel/configs	kernel/configs	76dd129942d2d1a1ccaa3ea0effa682e9e1828ac	76dd129942d2d1a1ccaa3ea0effa682e9e1828ac	$.repo-dict:project-map	aosp
kernel/tests	kernel/tests	6389b876d70463e902559b2f79cd2616b3cc37b7	6389b876d70463e902559b2f79cd2616b3cc37b7	$.repo-dict:project-map	aosp
kernel/common-modules/virtual-device	common-modules/virtual-device	2aeef344eb3f8a39f78cd2547b8434fc0d10d02c	2aeef344eb3f8a39f78cd2547b8434fc0d10d02c	$.repo-dict:project-map	aosp
platform/prebuilts/clang/host/linux-x86	prebuilts/clang/host/linux-x86	main-kernel-build-2023	7775eb113f960bc69a780b621d03a715914d4bca	$.repo-dict:project-map	aosp
platform/prebuilts/gcc/linux-x86/host/x86_64-linux-glibc2.17-4.8	prebuilts/gcc/linux-x86/host/x86_64-linux-glibc2.17-4.8	main-kernel-build-2023	f6d40532273c8bd628b960ecc0970c7294c8d891	$.repo-dict:project-map	aosp
platform/prebuilts/build-tools	prebuilts/build-tools	main-kernel-build-2023	c181f690fe9b76142b3203c2ab959b6299d4d1fd	$.repo-dict:project-map	aosp
platform/prebuilts/clang-tools	prebuilts/clang-tools	main-kernel-build-2023	f08a96e4015aed7c0341b880ccd85500b1b44a26	$.repo-dict:project-map	aosp
kernel/prebuilts/build-tools	prebuilts/kernel-build-tools	main-kernel-build-2023	e905be252a53d20c52bd9e59df3ff8fdd46b9eab	$.repo-dict:project-map	aosp
platform/tools/tradefederation/prebuilts	prebuilts/tradefed	77fa04f24cb7161ca3f1874aa9b5c75a0e8d0334	77fa04f24cb7161ca3f1874aa9b5c75a0e8d0334	$.repo-dict:project-map	aosp
platform/prebuilts/asuite	prebuilts/asuite	d1d442009e9e135656d61f0514a71c0246ae3449	d1d442009e9e135656d61f0514a71c0246ae3449	$.repo-dict:project-map	aosp
platform/system/tools/mkbootimg	tools/mkbootimg	main-kernel-build-2023	615a1fced5f8e2755642d30357674d3bfa21b85e	$.repo-dict:project-map	aosp
platform/prebuilts/bazel/linux-x86_64	prebuilts/bazel/linux-x86_64	main-kernel-build-2023	7bfbec9e829bbae6816d5f39aba345df76e627c1	$.repo-dict:project-map	aosp
platform/prebuilts/jdk/jdk11	prebuilts/jdk/jdk11	main-kernel-build-2023	649eec4416e2ed6298af49a56876772767a0e5ae	$.repo-dict:project-map	aosp
toolchain/prebuilts/ndk/r23	prebuilts/ndk-r23	main-kernel-build-2023	19ac7e4eded12adb99d4f613490dde6dd0e72664	$.repo-dict:project-map	aosp
platform/external/bazel-skylib	external/bazel-skylib	main-kernel-build-2023	f998e5dc13c03f0eae9e373263d3afff0932c738	$.repo-dict:project-map	aosp
platform/build/bazel_common_rules	build/bazel_common_rules	main-kernel-build-2023	a68db35033819d60a5b200f36c2484fab1b161dd	$.repo-dict:project-map	aosp
platform/external/stardoc	external/stardoc	main-kernel-build-2023	e83f522ee95419e55d2c5654aa6e0143beeef595	$.repo-dict:project-map	aosp
platform/external/python/absl-py	external/python/absl-py	main-kernel-build-2023	2f199605a9875340569e039657f8b4c72d51b84d	$.repo-dict:project-map	aosp
