function	section	offset	size	binding	kcfi_id	sha256
cleanup_module	.exit.text	0x4	88	GLOBAL	0xa540670c	defe25cf5b9d96bfde55d97366aeba6c4912f35664b054c9d4a6af5dacf2df73
init_module	.init.text	0x4	160	GLOBAL	0x36b1c5a6	4d07ed73ace8358fd2dffcf306c58e35ba6ec87dae965a970d944ac125845d16
hyn_reset_watchdog_proc	.text	0x4	4	GLOBAL	0xa540670c	110f46b5b35c069160560c6ad6786f647dd44e8760a52a46fc22dbbcd7630b91
hyn_reset_proc	.text	0xc	372	GLOBAL	0x00050794	391b38adfc959de4de452bee2d9b2d9525019dabdae3b482fd82b956e83de1bc
hyn_irq_disable	.text	0x184	68	GLOBAL	0xa540670c	931a41d5d19fe6a186da1b7700642fe4b664148a3fc8c193d00c5d9c682b1b3e
hyn_irq_enable	.text	0x1cc	64	GLOBAL	0xa540670c	6d30c0f95296df641b7734be21c313ba6b700d567abe70522532182582f18e7f
hyn_update_firmware_init	.text	0x210	236	GLOBAL	0xcc836375	2c49700443a25e0495ba41f53f5db1dedc413b573c25c8a2738b565bc7d7c444
hyn_input_dev_int	.text	0x300	564	GLOBAL	0xcaa902df	b68a46046e1a7f73b0b8241225e86f3f0dd20ce486f24b3d0d397f14df4d87ac
cst3xx_touch_report	.text	0x538	1388	LOCAL	0xb86001b6	d34d46f14b899e2c0116e5d3d45622032ae0abf70f8e7ac75f884c1511002c76
cst8xx_touch_report	.text	0xaa8	820	LOCAL	0xb86001b6	73f1699a9cd463db35d878964e47d1a652c3b85101c299279bca094cfa3b139b
hyn_irq_init	.text	0xde0	364	GLOBAL	0xcc836375	4d7504a73b3f4143f6ccd683edc1624fc31160ed7ffcec1608a799dde6e2b192
hyn_enter_deep_sleep	.text	0xf50	228	GLOBAL	0xa540670c	0429bce9c8a9ab16e9a27148aee9a50e0c87867030efe06a8b5a72b3a61eb371
hyn_ts_data_init	.text	0x1038	344	GLOBAL	0x8effdd6d	68f74573da928c6b3a23bc8315e6be07cd8c6cd5b111c5777c71067642630802
hyn_platform_data_init	.text	0x1194	1240	GLOBAL	0xcaa902df	9094464a4f33261f0be06adf175958bd5fa4a6e50741bf73fa2e7d30f03e757f
tiny_tp_power_contorl	.text	0x1670	576	GLOBAL	0x019c0cac	ccd62742576178e5503cacbceddf99a9f65a265c729badbff9029ac090a767e6
tiny_tp_gesture_contorl	.text	0x18b4	104	GLOBAL	0x019c0cac	5141946244b79b355d15c56f85959f65f0a3936c22be302e7b8f7660b95811b8
cst3xx_touch_down	.text	0x191c	204	LOCAL	0xd65f03c0	9aaa1485a8adcee59fd3895f412a27327c12afbb1d456233cbd7a58e0fbf1463
cst3xx_touch_up	.text	0x19e8	72	LOCAL	0xd65f03c0	9ba99629c16111bda62afef266d44744bd0707e5fa60767b5c84d8063a276812
tpd_up	.text	0x1a30	96	LOCAL	0xd65f03c0	9e6e627414a6c00f6236ddfd88fc8dd3919b4c112e38778c18661b0965b14dd0
tpd_down	.text	0x1a90	236	LOCAL	0xd65f03c0	b97afd6de7f23ccf631098eecb37f567803e56e90fe3385682ecf10f617558e9
hyn_eint_interrupt_handler	.text	0x1b80	104	LOCAL	0xf90f05f6	15a812a7efae89c1372a88a32539d7c6f0febefe028d02a07ce2533eddb65e3c
hyn_probe	.text	0x1bec	1860	LOCAL	0x5ef138aa	e4e124ef3227d1f3fd776533df5feba5a45196e61cb1ae7a24da261f3149d588
hyn_remove	.text	0x2334	92	LOCAL	0x8effdd6d	7939eb1d8fc371a8aa4b447b8dbad6b8017611e6622c9bc37b902690cc40c435
hyn_detect	.text	0x2394	32	LOCAL	0x30b22b8e	0708c299fa8c8af9c348a22ac23fac81727b5ab541feac4e5b8d15bc7637dc63
hyn_i2c_read	.text	0x23b8	160	GLOBAL	0x90b95eb7	5f1000f4c2d5c759ce2fb1cb09c1eb5749395cec4da07e9e13cf5f01d086cbe5
hyn_i2c_write	.text	0x245c	100	GLOBAL	0xcb32cd11	9511fb52c2824856fb1dffbf9be3d0770e4965d62a28101922b6809b66dd6a6f
hyn_i2c_write_byte	.text	0x24c4	160	GLOBAL	0x43e1b70a	91a87986f5bbe0b7d056c61a69fbbb72c1d95e70f98b8a77b32f96f3b28e9dd4
hyn_i2c_read_byte	.text	0x2568	204	GLOBAL	0x955585a5	d09389da76e62c6cb5ae4be66bc518992540161eace6711338d764d6e413ff3b
hyn_i2c_write_bytes	.text	0x2638	336	GLOBAL	0xea58cdbc	38093fc4a17b6e430340dfbb22d14d2ecc858b25fd84a2fcb7848b97f0159743
hyn_i2c_read_bytes	.text	0x278c	276	GLOBAL	0xea58cdbc	6cec4d21b21f582791dfe48ebfa49f2fcdd22263b4ddab6ac93c0ff6f2386da9
cst3xx_i2c_read	.text	0x28a4	88	GLOBAL	0xb0620772	1f57bc66c484103ccf0694ff14505f5b696ddd74487d55444c90f44d51c4cc42
cst3xx_i2c_write	.text	0x2900	88	GLOBAL	0xb0620772	4216767b0ac427b8cd7b38c832532d51a83e36fbae660dd5179225e54ff8865e
cst3xx_i2c_read_register	.text	0x295c	140	GLOBAL	0xb0620772	30bedff57ec1e701d3fe3f2d32189c15d41150853fc6e04aa70968a34accc0b3
hyn_create_sysfs	.text	0x29ec	252	GLOBAL	0xcc836375	ef1362ad7bf36512e4ce2e7569d04a774c3bb3b5eb6e962f27a8e9e54db7545c
hyn_release_sysfs	.text	0x2aec	52	GLOBAL	0x8effdd6d	d3b6d185b751b9ad6477f9a59bd0bce73f2c0c23257aad0bc66c5683fd067755
hyn_tpfwver_show	.text	0x2b24	652	LOCAL	0xdf43c25c	a6e38366148bc4a6637d5132ab64ff410a0a9b84478e262927211eb7438b141b
hyn_tpfwver_store	.text	0x2db4	8	LOCAL	0x95a8ba07	e396875767c39b6fddf6e112dfc7833396eb4277b0ba2696f448a85c3d3fbc71
hyn_fwupdate_show	.text	0x2dc0	8	LOCAL	0xdf43c25c	e396875767c39b6fddf6e112dfc7833396eb4277b0ba2696f448a85c3d3fbc71
hyn_fwupdate_store	.text	0x2dcc	96	LOCAL	0x95a8ba07	5af73b5da73cd312bd9e96390633385338c65d85cee89e96533040960b467578
hyn_tprwreg_show	.text	0x2e30	184	LOCAL	0xdf43c25c	cb04fefabb77faf7960e7401c6fc81bdddf98e6b1f0175908903993ac4812be4
hyn_tprwreg_store	.text	0x2eec	512	LOCAL	0x95a8ba07	c65429d2a546bc9a93d5c6ffe1211603a98963804f397617635dbccaf56eaf5a
hyn_fwupgradeapp_show	.text	0x30f0	8	LOCAL	0xdf43c25c	e396875767c39b6fddf6e112dfc7833396eb4277b0ba2696f448a85c3d3fbc71
hyn_fwupgradeapp_store	.text	0x30fc	360	LOCAL	0x95a8ba07	a9c3a457795fc420c0cd48178ff9439873ecdf30f7589ca1d8ba500da83f17cb
hyntpfactorytest_show	.text	0x3268	40	LOCAL	0xdf43c25c	7acf28d3a91a9301413f3a77c17648227d22d3f375fcaa81fe29f325cf2b0088
hyntpfactorytest_store	.text	0x3294	52	LOCAL	0x95a8ba07	aa27161f075d78125c8f97c82f10344b1d5e1717d85e875b6c2ec0d8b384bffa
cst3xx_firmware_info	.text	0x32cc	784	GLOBAL	0xcc836375	8e43791af78fc7c7458b9b88d43f05c7710b2134b15624ed0d47359e6cd20faa
cst8xx_firmware_info	.text	0x35e0	352	GLOBAL	0xcc836375	b16bc59bb940a1075da7ef0ea33fb7a08c325c09bb1bd58e2795bf15a485cb56
hyn_firmware_info	.text	0x3744	144	GLOBAL	0xcc836375	47e7ff7944d0d3ba3781657293b9d32c3c4be2d9ca5cfebff60f0dad41e77305
hyn_boot_update_fw	.text	0x37d8	1492	GLOBAL	0xcc836375	251a296cc7b7e004b6dd21a30f2e3a39c960834f02e34eee2ce5951f9f6add22
hyn_find_fw_idx	.text	0x3dac	332	LOCAL	0xd42aa240	2d8b30e7fa84fb98099989c6705b829445c426ad241f9ea20f541cf75105c1a8
hyn_detect_bootloader	.text	0x3efc	1952	GLOBAL	0xcc836375	fd7ee96eae5ce59eb85f7d4bf2532ba2010a0d48375eb111a906edd83ec44a8b
hyn_create_gesture_sysfs	.text	0x46a0	160	GLOBAL	0xcc836375	19f39e853996a7c8d65d8bb319b6d8df3b82683b2494e978dc6ff9945c21fab3
hyn_gesture_recovery	.text	0x4744	200	GLOBAL	0x8effdd6d	ea0f3d62356bc6e99c81ed9d631adc247e2a57bc563ecb57005f602790edaa6b
hyn_gesture_readdata	.text	0x4810	460	GLOBAL	0x36b1c5a6	655cbdc39c1bbdf336f6814b225609675d8b2d1bce63c29a858ecf8a2abd0e5b
hyn_check_gesture	.text	0x49dc	264	LOCAL	0x94000000	b80dc9f91041f058b59866e85982b8409d5ee3d174442360ff1a866e9331941d
hyn_irq_gesture_mode	.text	0x4ae8	80	GLOBAL	0xa540670c	d6eae95b64b770a7ec4f626c4f26e8efce87d3e5961bada9cdc43f6c7e8ec0b6
hyn_irq_normal_mode	.text	0x4b3c	80	GLOBAL	0xa540670c	507844a07519c3f67823a2537a420160f53315713d9e182242ce4feb893f6fda
hyn_gesture_suspend	.text	0x4b90	1012	GLOBAL	0x36b1c5a6	12d68569f954ebc5d7a78893d2d72eb730b5ebde9379fde35cca8313fce9a9d8
hyn_gesture_resume	.text	0x4f88	280	GLOBAL	0x36b1c5a6	b1d9ee7b1bd18f8f65b3715aabda28af7f189a06ad46c1eb2986b6d259a305e0
hyn_gesture_init	.text	0x50a4	508	GLOBAL	0xe7343cee	1585016fab6a419ec2d9e455805577bfe261fae622a24450dc68d8441541b773
hyn_gesture_exit	.text	0x52a4	108	GLOBAL	0x36b1c5a6	a07934b7bff9adab9acbe60f8a26d1d3921162c2ed175665d11ee38625b2b35d
hyn_gesture_show	.text	0x5314	216	LOCAL	0xdf43c25c	03583c66b60cac917b66d317355c96ef9ea169cbda397756858062961d4e0141
hyn_gesture_store	.text	0x53f0	180	LOCAL	0x95a8ba07	c3d31b3fb4f875049b79cef5be0b77977febb222b43a7e9bfa1bcac19e77b367
hyn_gesture_buf_show	.text	0x54a8	360	LOCAL	0xdf43c25c	1ed123da068aa56faf113355b30b050e224ea1d807f56755bcba9b0297515d69
hyn_gesture_buf_store	.text	0x5614	8	LOCAL	0x95a8ba07	e396875767c39b6fddf6e112dfc7833396eb4277b0ba2696f448a85c3d3fbc71
