symbol	crc	elf_undefined_symbol	provider_class
_printk	0x92997ed8	yes	GKI kernel
gpio_to_desc	0x0ec43f6f	yes	GKI kernel
gpiod_direction_output_raw	0x1aadfa2a	yes	GKI kernel
__const_udelay	0xeae3dfd6	yes	GKI kernel
disable_irq_nosync	0x27bbf221	yes	GKI kernel
enable_irq	0xfcec0987	yes	GKI kernel
input_allocate_device	0x2c85b85e	yes	GKI kernel
input_set_abs_params	0xf28ecabf	yes	GKI kernel
input_register_device	0x7ce217c7	yes	GKI kernel
input_free_device	0x58fd3714	yes	GKI kernel
alloc_workqueue	0x49cd25ed	yes	GKI kernel
__flush_workqueue	0x9166fc03	yes	GKI kernel
input_event	0x4d18d895	yes	GKI kernel
__stack_chk_fail	0xc2c193d2	yes	GKI kernel
pm_wakeup_dev_event	0x2fc1eba5	yes	GKI kernel
gpiod_to_irq	0xe46623a3	yes	GKI kernel
of_find_matching_node_and_match	0x11714da5	yes	GKI kernel
request_threaded_irq	0x92d5838e	yes	GKI kernel
irq_set_irq_wake	0xce2840e7	yes	GKI kernel
kmalloc_caches	0x0f15b38a	yes	GKI kernel
kmalloc_trace	0xb78e7543	yes	GKI kernel
of_match_device	0x54ad2b23	yes	GKI kernel
of_find_property	0xe35274a3	yes	GKI kernel
of_property_read_variable_u32_array	0x94a3f9c7	yes	GKI kernel
of_get_named_gpio_flags	0xb9ab15e7	yes	GKI kernel
yft_touchpanel_device_add	0xf5ba4446	yes	stock yft_devinfo
i2c_register_driver	0x50f5d94e	yes	GKI kernel
i2c_del_driver	0xfee5be94	yes	GKI kernel
queue_work_on	0x732ac580	yes	GKI kernel
kfree	0x037a0cba	yes	GKI kernel
gpio_request	0x47229b5c	yes	GKI kernel
gpiod_direction_input	0xff3802dc	yes	GKI kernel
gpio_free	0xfe990052	yes	GKI kernel
free_irq	0xc1514a3b	yes	GKI kernel
yft_set_touch_device_used	0x0a0f3b69	yes	stock yft_devinfo
i2c_transfer_buffer_flags	0x51f60267	yes	GKI kernel
memset	0xdcb764ad	yes	GKI kernel
memcpy	0x4829a47e	yes	GKI kernel
fortify_panic	0xcbd4898c	yes	GKI kernel
kobject_create_and_add	0x99e24762	yes	GKI kernel
sysfs_create_group	0xf43d4bfe	yes	GKI kernel
__mutex_init	0xa571f6b0	yes	GKI kernel
sysfs_remove_group	0xf1d806db	yes	GKI kernel
mutex_lock	0xd5977bfb	yes	GKI kernel
snprintf	0x656e4a6e	yes	GKI kernel
mutex_unlock	0xed55cabd	yes	GKI kernel
sprintf	0x3c3ff9fd	yes	GKI kernel
__kmalloc	0xeb233a45	yes	GKI kernel
msleep	0xf9a482f9	yes	GKI kernel
_dev_err	0xf27ed00b	yes	GKI kernel
second_touch_fw_version	0x7198d58d	yes	stock yft_devinfo
irq_set_irq_type	0x0bc477a2	yes	GKI kernel
input_set_capability	0xcbcf985f	yes	GKI kernel
module_layout	0xea759d7f	version-only	module loader ABI
