symbol	crc	versions_offset
_printk	0x92997ed8	0x0
gpio_to_desc	0x0ec43f6f	0x40
gpiod_direction_output_raw	0x1aadfa2a	0x80
__const_udelay	0xeae3dfd6	0xc0
disable_irq_nosync	0x27bbf221	0x100
enable_irq	0xfcec0987	0x140
input_allocate_device	0x2c85b85e	0x180
input_set_abs_params	0xf28ecabf	0x1c0
input_register_device	0x7ce217c7	0x200
input_free_device	0x58fd3714	0x240
alloc_workqueue	0x49cd25ed	0x280
__flush_workqueue	0x9166fc03	0x2c0
input_event	0x4d18d895	0x300
__stack_chk_fail	0xc2c193d2	0x340
pm_wakeup_dev_event	0x2fc1eba5	0x380
gpiod_to_irq	0xe46623a3	0x3c0
of_find_matching_node_and_match	0x11714da5	0x400
request_threaded_irq	0x92d5838e	0x440
irq_set_irq_wake	0xce2840e7	0x480
kmalloc_caches	0x0f15b38a	0x4c0
kmalloc_trace	0xb78e7543	0x500
of_match_device	0x54ad2b23	0x540
of_find_property	0xe35274a3	0x580
of_property_read_variable_u32_array	0x94a3f9c7	0x5c0
of_get_named_gpio_flags	0xb9ab15e7	0x600
yft_touchpanel_device_add	0xf5ba4446	0x640
i2c_register_driver	0x50f5d94e	0x680
i2c_del_driver	0xfee5be94	0x6c0
queue_work_on	0x732ac580	0x700
kfree	0x037a0cba	0x740
gpio_request	0x47229b5c	0x780
gpiod_direction_input	0xff3802dc	0x7c0
gpio_free	0xfe990052	0x800
free_irq	0xc1514a3b	0x840
yft_set_touch_device_used	0x0a0f3b69	0x880
i2c_transfer_buffer_flags	0x51f60267	0x8c0
memset	0xdcb764ad	0x900
memcpy	0x4829a47e	0x940
fortify_panic	0xcbd4898c	0x980
kobject_create_and_add	0x99e24762	0x9c0
sysfs_create_group	0xf43d4bfe	0xa00
__mutex_init	0xa571f6b0	0xa40
sysfs_remove_group	0xf1d806db	0xa80
mutex_lock	0xd5977bfb	0xac0
snprintf	0x656e4a6e	0xb00
mutex_unlock	0xed55cabd	0xb40
sprintf	0x3c3ff9fd	0xb80
__kmalloc	0xeb233a45	0xbc0
msleep	0xf9a482f9	0xc00
_dev_err	0xf27ed00b	0xc40
second_touch_fw_version	0x7198d58d	0xc80
irq_set_irq_type	0x0bc477a2	0xcc0
input_set_capability	0xcbcf985f	0xd00
module_layout	0xea759d7f	0xd40
