object	stock_section	stock_size	rebuild_section	rebuild_size	stock_hash	rebuild_hash	classification	evidence
hyn_ts_data	.bss	8	.bss	8	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
tiny_tpgesture_status	.bss	4	.bss	4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
hyn_create_sysfs.__key	.bss	1	ABSENT	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	SEMANTIC_EQUIVALENT	equivalent state/table/attribute representation documented in source and contract
hyn_gesture_data	.bss	1034	ABSENT	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	SEMANTIC_EQUIVALENT	semantic gesture state is compiler-split in rebuild; fields/state machine verified
hynitron_i2c_driver	.data	280	.data	280	1f6c9de2e555d5d589e1149fed58f9cbcc101739df97d4a4d694a13f1242c5b9	1f6c9de2e555d5d589e1149fed58f9cbcc101739df97d4a4d694a13f1242c5b9	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
hyn_attribute_group	.data	40	.rodata	40	2c34ce1df23b838c5abf2a7f6437cca3d3067ed509ff25f11df6b11b582b51eb	2c34ce1df23b838c5abf2a7f6437cca3d3067ed509ff25f11df6b11b582b51eb	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
g_device_mutex	.data	48	ABSENT	0	17b0761f87b081d5cf10757ccc89f12be355c70e2e29df288b65b30710dcbcd1	-	SEMANTIC_EQUIVALENT	rebuild embeds equivalent sysfs mutex in private state
hyn_attributes	.data	48	ABSENT	0	17b0761f87b081d5cf10757ccc89f12be355c70e2e29df288b65b30710dcbcd1	-	SEMANTIC_EQUIVALENT	rebuild equivalent object is hyn_attrs with same seven stock-visible files
dev_attr_hyntpfwver	.data	32	.data	32	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
dev_attr_hynfwupdate	.data	32	.data	32	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
dev_attr_hyntprwreg	.data	32	.data	32	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
dev_attr_hynfwupgradeapp	.data	32	.data	32	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
dev_attr_hyntpfactorytest	.data	32	.data	32	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	BYTE_IDENTICAL	object bytes/hash exact; relocations compared separately
