object	section	offset	size	binding	evidence_role	sha256
hyn_ts_data	.bss	0x0	8	GLOBAL	global/state BSS	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
tiny_tpgesture_status	.bss	0x8	4	GLOBAL	gesture state	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
hyn_create_sysfs.__key	.bss	0xc	1	LOCAL	global/state BSS	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
hyn_gesture_data	.bss	0x10	1034	GLOBAL	gesture state	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
hynitron_i2c_driver	.data	0x0	280	LOCAL	I2C driver object	1f6c9de2e555d5d589e1149fed58f9cbcc101739df97d4a4d694a13f1242c5b9
hyn_attribute_group	.data	0x118	40	LOCAL	module object	2c34ce1df23b838c5abf2a7f6437cca3d3067ed509ff25f11df6b11b582b51eb
g_device_mutex	.data	0x140	48	LOCAL	module object	17b0761f87b081d5cf10757ccc89f12be355c70e2e29df288b65b30710dcbcd1
hyn_attributes	.data	0x170	48	LOCAL	module object	17b0761f87b081d5cf10757ccc89f12be355c70e2e29df288b65b30710dcbcd1
dev_attr_hyntpfwver	.data	0x1a0	32	LOCAL	firmware object/table	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612
dev_attr_hynfwupdate	.data	0x1c0	32	LOCAL	firmware object/table	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612
dev_attr_hyntprwreg	.data	0x1e0	32	LOCAL	module object	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612
dev_attr_hynfwupgradeapp	.data	0x200	32	LOCAL	firmware object/table	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612
dev_attr_hyntpfactorytest	.data	0x220	32	LOCAL	module object	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612
cst8xx_fw	.data	0x240	15419	LOCAL	firmware object/table	0566ea7799d6f8bbce026639d9dbb89f0e629ab533d1d90e4901c81d5611e1d8
cst816t_fw	.data	0x3e7b	15410	LOCAL	firmware object/table	0d02fde67223c1e7aa6c4ce1d1e522bcbe79d4d58decf1aa79b865cb2e504de3
hynitron_fw_grp	.data	0x7ab0	240	GLOBAL	firmware object/table	f01f51c667074bd9c7cd712733a1ad26a9a2b4a6308724db95477cd1998a39bd
hynitron_chip_type_grp	.data	0x7ba0	198	GLOBAL	module object	c87fa9a23f95c443f0da82496afc77477a5c0f9f6a94c5c7bdf19fd9acb141ab
hyn_gesture_group	.data	0x7c68	40	LOCAL	gesture state	2c34ce1df23b838c5abf2a7f6437cca3d3067ed509ff25f11df6b11b582b51eb
hyn_gesture_mode_attrs	.data	0x7c90	24	LOCAL	gesture state	9d908ecfb6b256def8b49a7c504e6c889c4b0e41fe6ce3e01863dd7b61a20aa0
dev_attr_hyn_gesture_mode	.data	0x7ca8	32	LOCAL	gesture state	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612
dev_attr_hyn_gesture_buf	.data	0x7cc8	32	LOCAL	gesture state	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612
__UNIQUE_ID___addressable_cleanup_module467	.exit.data	0x0	8	LOCAL	module object	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
__this_module	.gnu.linkonce.this_module	0x0	1088	GLOBAL	module object	929e8286d9c954915f422fc46de872108b5bac811f2e81f3fd7a9ab9fe9b8aa7
__UNIQUE_ID___addressable_init_module466	.init.data	0x0	8	LOCAL	module object	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc
__UNIQUE_ID_author468	.modinfo	0x0	28	LOCAL	module object	cb6b9591c3ea41e4b4528afaf0d164a524d302a585a59afad0d21ce2273f603c
__UNIQUE_ID_description469	.modinfo	0x1c	40	LOCAL	module object	b0badb65cde4666883cbd3a7e12e874a310b704badd6dde9587ca00c674bc98f
__UNIQUE_ID_license470	.modinfo	0x44	15	LOCAL	module object	76172709a064138222d1d93d09d955f77e3047a3e0c2bd1f63d9aa6d2e49baa7
__UNIQUE_ID_vermagic333	.modinfo	0x53	87	LOCAL	module object	574a8c3d80b08e2a7f9620b27149961828001ed75f7689edef6f9e00b0ef67c9
__UNIQUE_ID_name334	.modinfo	0xaa	14	LOCAL	module object	830278946e4c40a4b74e0ae826671122d25e92c51e9729c080d586755a0569f9
__UNIQUE_ID_depends335	.modinfo	0xb8	20	LOCAL	module object	e1ad43ff5f49e6b01abad164029ad2ac0f4d470207aa0afc43b6726d48bf0aa2
__UNIQUE_ID_alias336	.modinfo	0xcc	17	LOCAL	module object	64d6e08a63c610bc46b0341a998ef8d62e8a1e5fa33c9fcaa6f6ba614c554b82
__UNIQUE_ID_alias337	.modinfo	0xdd	30	LOCAL	module object	4ee49434730f9be4960395b96324c77531ef673c978ffc81927bf33002f51ec9
__UNIQUE_ID_alias338	.modinfo	0xfb	32	LOCAL	module object	3d2672392d33e94eae6c242ec7b894d6c1d12ac10901a3d35f61c548d15e6bc7
_note_9	.note.Linux	0x0	24	LOCAL	module object	46c938f9cda347c4bb680e1bd9fdaddc9b6e917739785b1baad69e851b2f9de3
_note_10	.note.Linux	0x18	24	LOCAL	module object	f50d12dbcecdbd59ca68819b1f403f495da5160b18fd94e48a918fd6d360972c
__mod_i2c__hyn_tpd_id_device_table	.rodata	0x0	64	GLOBAL	OF/I2C match table	50eb28a094f3f579781d116da849f37a5d09fb8f7ffa18149de4bd7f783219d3
hyn_tpd_id	.rodata	0x0	64	LOCAL	OF/I2C match table	50eb28a094f3f579781d116da849f37a5d09fb8f7ffa18149de4bd7f783219d3
__mod_of__hyn_dt_match_device_table	.rodata	0x40	400	GLOBAL	OF/I2C match table	ff36d9932676de3eb86c66fd90da96cda2db89823956528c4f66e75f26fb5ce0
hyn_dt_match	.rodata	0x40	400	LOCAL	OF/I2C match table	ff36d9932676de3eb86c66fd90da96cda2db89823956528c4f66e75f26fb5ce0
____versions	__versions	0x0	3456	LOCAL	module object	5105588f2a97c648a067482854cef7f0154da4e6a5c013c6fa3e92f8d844cc25
