relocation_section	offset	type	symbol	addend
.rela.text	0x0000000000000020	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+9f3
.rela.text	0x0000000000000024	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+9f3
.rela.text	0x0000000000000028	R_AARCH64_CALL26	_printk	+0
.rela.text	0x000000000000002c	R_AARCH64_ADR_PREL_PG_HI21	hyn_ts_data	+0
.rela.text	0x0000000000000030	R_AARCH64_LDST64_ABS_LO12_NC	hyn_ts_data	+0
.rela.text	0x000000000000003c	R_AARCH64_CALL26	gpio_to_desc	+0
.rela.text	0x0000000000000044	R_AARCH64_CALL26	gpiod_direction_output_raw	+0
.rela.text	0x0000000000000050	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x000000000000005c	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000068	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000074	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000080	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x000000000000008c	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000098	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000000a4	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000000b0	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000000bc	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000000c8	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000000d4	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000000e0	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000000ec	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x00000000000000f8	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000104	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000110	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x000000000000011c	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000128	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000134	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000138	R_AARCH64_LDST64_ABS_LO12_NC	hyn_ts_data	+0
.rela.text	0x0000000000000144	R_AARCH64_CALL26	gpio_to_desc	+0
.rela.text	0x000000000000014c	R_AARCH64_CALL26	gpiod_direction_output_raw	+0
.rela.text	0x0000000000000164	R_AARCH64_CALL26	__const_udelay	+0
.rela.text	0x0000000000000194	R_AARCH64_ADR_PREL_PG_HI21	hyn_ts_data	+0
.rela.text	0x0000000000000198	R_AARCH64_LDST64_ABS_LO12_NC	hyn_ts_data	+0
.rela.text	0x00000000000001a8	R_AARCH64_CALL26	disable_irq_nosync	+0
.rela.text	0x00000000000001ac	R_AARCH64_LDST64_ABS_LO12_NC	hyn_ts_data	+0
.rela.text	0x00000000000001dc	R_AARCH64_ADR_PREL_PG_HI21	hyn_ts_data	+0
.rela.text	0x00000000000001e0	R_AARCH64_LDST64_ABS_LO12_NC	hyn_ts_data	+0
.rela.text	0x00000000000001f0	R_AARCH64_CALL26	enable_irq	+0
.rela.text	0x00000000000001f4	R_AARCH64_LDST64_ABS_LO12_NC	hyn_ts_data	+0
