file_offset	string
0x1e6b	4s~@
0x1f81	ICy*
0x2314	*1B9j
0x232e	B9k~
0x2395	G@9\t
0x239d	K@9n}
0x23ab	*-!B9k
0x23b3	*,%B9
0x23c5	C@9l
0x23d3	K+)B9D
0x23eb	K)%@
0x23f1	S@9?
0x268b	*I\t\t
0x26b7	Tt~~
0x2703	Tt~~
0x2763	Tt~~
0x2ae0	-B9)
0x2dd1	ICy*
0x2e6d	ICy#%B9$)B9%!B9
0x317f	Tb.@
0x31a3	Tb2@
0x31c7	Tb6@
0x31eb	Tb:@
0x320f	Tb>@
0x3233	TbB@
0x3257	TbF@
0x43cf	S?]\tq
0x488a	F9?\t
0x4a6f	R\t)@
0x4d44	+ih8J\t
0x4ebc	_i(8)
0x552a	F9?\t
0x5544	!G9)
0x5757	R(MCy*
0x5870	)-@y\t
0x5a40	-@yI
0x5aac	-@yI
0x5b20	ICy
0x5b95	9Cym
0x5bc1	=Cym
0x5fc0	MCy
0x6014	MCy
0x65ed	#@9u
0x668d	c@9(
0x692a	F9?\t
0x7334	tiny_tp_power_contorl
0x734b	tiny_tp_gesture_contorl
0x7468	hyn_ts
0x74e8	hynitron,hyn_ts
0x763c	#hynitron,key-x-coord
0x7653	3[HYN][Error][GPIO]irq gpio request failed
0x7680	3[HYN][Error][IIC][%s]i2c_client==NULL!
0x76aa	3[HYN][HYN]receive 0x55 success.
0x76cf	3[HYN][Error]Input device registration failed
0x76ff	3[HYN][Info] cst3xx key up code:%d,key id:%d.\x20
0x7731	3[HYN][Error]create hyniyron proc fs node failed.
0x7766	3[HYN][Error][GPIO]set_direction for reset gpio failed
0x779f	3[HYN][Info]hyn_find_fw_idx check_project_id:%d,chip_ic_type :0x%x,chip_ic_project_id:0x%x,config_chip_type :0x%x.
0x7815	cst6xx_bootloader_enter
0x782e	3[HYN][Error]cst644K_bootloader_enter error,please check VCC/RST/SDA/SCL and chip type.
0x788a	3[HYN][Error][GESTURE]irq_set_irq_type fail:%d
0x78bb	3[HYN][Info] cst3xx error Point x:%d, y:%d, id:%d, sw:%d, press:%d.\x20
0x7903	3[HYN]Already in suspend state
0x7924	3[HYN][Info]%s() - sysfs_create_group() succeeded.
0x795a	3[HYN][Info]update default TP firmware data for apk update.(%s)!
0x799e	3[HYN][Info]hyn_find_fw_idx 3
0x79bf	3[HYN][Error]create hyn workqueue fail
0x79e8	3[HYN][Info] cst3xx key down code:%d,key id:%d.\x20
0x7a1c	3[HYN][Error] CLEAR POINT.
0x7a3a	3[HYN][Info]IRQs are inconsistent, please check <interrupts> & <hynitron,irq-gpio> in DTS
0x7a96	3[HYN][Error]request_irq IRQ LINE NOT AVAILABLE!.
0x7aca	3[HYN][Error]DTS Unable to find matchv device.
0x7afa	hyn_resume
0x7b06	3[HYN][Info]%s() - ERROR: sysfs_create_group() failed.
0x7b3f	chip_version: 0x%02X,module_version:0x%02X,project_version:0x%02X,chip_type:0x%02X,checksum:0x%02X .
0x7ba5	cst3xx_firmware_info
0x7bba	hyn_gesture_resume
0x7bce	3[HYN][Info]IRQ request succussfully, irq=%d ,trigger_rising:%d .
0x7c11	hyn_suspend
0x7c1e	3[HYN][Error]Hynitron touch screen driver init failed!
0x7c57	3[HYN][Error]allocate memory for ts_data fail
0x7c86	f%s: i2c read error.
0x7c9c	hyn_gesture_init
0x7cad	hyn_check_gesture
0x7cc0	3[HYN][Error]device-tree parse fail.
0x7ce6	hynitron,max-touch-number
0x7d01	3[HYN][Error]DTS Unable to get max-touch-number, please check dts
0x7d44	hyn_probe
0x7d4e	PASS
0x7d53	hyn_reset_gpio
0x7d63	3[HYN][Error]i2c_master_send error
0x7d89	3[HYN][Info]hyn_reset_proc enter.
0x7dae	3[HYN][Info]
0x7dbc	hyn chipversion: %x,chipmodule: %x,chipproject: %x,chiptype: %x
0x7e00	3[HYN][Info]hyn_find_match chip type,fw_idx: proj_id:%d.
0x7e3d	3[HYN][Error]hyn not find config chip type firmware,please check config chip type or firmware.
0x7e9f	3[HYN][Info]hyn_firmware_info success.
0x7ec9	3[HYN][Error]Touch Probe : hyn_gesture_init  fail...
0x7eff	FAIL
0x7f04	hynitron_driver_exit
0x7f19	cst3xx_bootloader_enter
0x7f31	hyn_gesture_recovery
0x7f46	hyn_gesture_buf_show
0x7f5b	Hynitron Touch Int
0x7f6f	3[HYN][Error]DTS Unable to get display-coords
0x7f9e	hyntprwreg
0x7faa	3[HYN][Error]cst3xx_bootloader_enter error,please check VCC/RST/SDA/SCL and chip type.
0x8005	3[HYN][Error][HYN][Touch] read value fail
0x8031	3[HYN] start!!
0x8041	hyn_update_firmware_init
0x805e	3[HYN][Error]Touch Probe : detect hynitron ic type fail...
0x809a	hyn_i2c_read
0x80a8	3[HYN][Info]hyn_fwupdate_store enter.
0x80d0	hynfwupgradeapp
0x80e1	3[HYN]%s: Enter
0x80f3	3[HYN][Error][A]Read touchinfo failed, ret: %d
0x8124	3[HYN]Already in awake state
0x8143	3[HYN][Error]input_dev is NULL!!!
0x8166	hyn_gpio_configure
0x8179	hyn_irq_gpio
0x8187	3[HYN][Error]%s i2c write error.
0x81aa	hyn_firmware_info
0x81bd	3[HYN][GESTURE]Enter into gesture(suspend) successfully!
0x81f8	3[HYN][Error]  buf[6] != 0xAB data is not valid..
0x822d	hynitron,key-code
0x823f	hynitron,vdd-gpio
0x8252	3[HYN]tiny_tpgesture_status = %d
0x8276	3[HYN][Error]%s: hyn_gesture_resume fail
0x82a1	hyn_release_all_finger
0x82b9	3[HYN][Info]Driver version: %s
0x82d9	hyn_i2c_write
0x82e7	cst0xx_bootloader_enter
0x8300	3[HYN][Error]cst1xx_bootloader_enter error,please check VCC/RST/SDA/SCL and chip type.
0x835b	3[HYN][Error][GESTURE]Read gesture header data failed!!
0x8394	hyn_remove
0x83a0	3[HYN][Info]hyn_find_fw_idx 2
0x83c1	3[HYN][Info][GESTURE]disable gesture
0x83e8	3[HYN][Error]%s: hyn_gesture_suspend fail
0x8415	3[HYN][Error]Touch Probe : hyn_irq_init  fail...
0x8448	3[HYN][Error][GPIO]set_direction for irq gpio failed
0x847f	3[HYN][Error]f%s: i2c read error.
0x84a4	3[HYN][Error]hyn ic have no firmware,update default firmware.
0x84e4	%3d(%4d,%4d)\x20
0x84f3	3[HYN][Info] cst3xx key down x:%d,y id:%d.\x20
0x8522	3[HYN] cinfo->x[%d] = %d, cinfo->y[%d] = %d, cinfo->p[%d] = %d
0x8563	3[HYN][Error]Key Y Coords undefined!
0x858a	3[HYN][Info]register(0x%02x).
0x85ab	3[HYN][HYN]Send cmd 0xD110 failed.\x20
0x85d7	3[HYN]Resume !!!
0x85ea	3[HYN][Error]  send read touch info ending failed.
0x8620	3[HYN][Info]display x(%d ) y(%d )
0x8644	3[HYN][Error][GPIO]reset gpio request failed
0x8676	3[HYN]client addr is different,now use default addr,please confirm. client->addr=0x%x, default iic addr=0x%x.
0x86e8	3[HYN]Suspend !!!
0x86fc	3[HYN][Error]  buf[0]=0xAB,data is not valid..
0x872f	3[HYN][Error]DTS Unable to get irq_gpio
0x8759	3[HYN][Error]I2C not supported
0x8779	hyn_i2c_read_bytes
0x878d	3[HYN][Info]hynitron_debug sys node create error.
0x87c2	3[HYN]%s: Exit(%d)
0x87d7	3[HYN][Error]Key code undefined!
0x87f9	hynitron,key-y-coord
0x880f	3[HYN][Error]hyn_firmware_info failed,start check boot.
0x8849	hyn_detect_bootloader
0x885f	cst644K_bootloader_enter
0x8879	3[HYN]1. gesture state= 0x01.
0x8899	hyn_gesture_mode
0x88aa	Gesture Point Buf:
0x88bf	3[HYN][Info]check_gesture ======================gesture_id==0x%x   ================
0x8917	3[HYN][Info]set key capabilities
0x8939	hyn_ts_data_init
