function	stock_size	rebuild_size	stock_kcfi_or_preword	rebuild_kcfi_or_preword	kcfi_applicable	stock_hash	rebuild_hash	external_calls	internal_calls	hardware_constants	dt_strings	cfg_classification	size_identical	byte_identical	residual_explanation
cleanup_module	36	36	0c6740a5	0c6740a5	yes	022d1f8a88b2242b9938288dcd07f975c12b83337276f60e60d743f109a21c2c	022d1f8a88b2242b9938288dcd07f975c12b83337276f60e60d743f109a21c2c	platform_driver_unregister	none	none	none	LINEAR	yes	yes	none
init_module	44	44	a6c5b136	a6c5b136	yes	ff9303db890b8fae1b9f25d240117ffd0ea07d1648399b990fcb6cb6e881a69d	ff9303db890b8fae1b9f25d240117ffd0ea07d1648399b990fcb6cb6e881a69d	__platform_driver_register	none	none	none	LINEAR	yes	yes	none
mt_camplight_mode_show	112	112	5cc243df	5cc243df	yes	b5eeeaabceea75205fd03f8fd5ef076e8f58c7f8700348a6175df7e6440656d9	b5eeeaabceea75205fd03f8fd5ef076e8f58c7f8700348a6175df7e6440656d9	scnprintf,_printk	none	none	none	BRANCHING(2)	yes	yes	none
mt_camplight_mode_store	840	1148	07baa895	07baa895	yes	57b430d513f296bca54a50e1c4539bdffd256570070f9b1cf164ffd149f75934	e21dd346130d2f911abb69928b7431c19df6eadb0a97b9ecf5236184fd65357a	sscanf,_printk,mutex_lock,hrtimer_cancel,mutex_unlock,mt_pwm_disable,pinctrl_select_state,gpio_to_desc,gpiod_set_raw_value,__pm_stay_awake,__pm_relax,__stack_chk_fail	ln2403_pwm_work,ln2403_gpio_ctrl_apply	modes 0..5; PWM percents 97/73/11; gate intervals 50/200/500/1000 ms	none	BRANCHING(15)	no	no	same six-mode state machine, call order, timing, wake policy and quirks; source factoring/CFG differs
leds_ctl_show	192	192	5cc243df	5cc243df	yes	0c55a9f231fa8e71de5e09eb107e4e2d38067db6b473675a7688cfdca3b7426c	0c55a9f231fa8e71de5e09eb107e4e2d38067db6b473675a7688cfdca3b7426c	_printk,gpio_to_desc,gpiod_get_raw_value,scnprintf	none	none	none	BRANCHING(2)	yes	yes	none
leds_ctl_store	372	380	07baa895	07baa895	yes	2d219699f8e172e4296397b468dc347ea7ca259082c8d93e71036f3bf491ce8b	3e7e239e965e04df39fe2fe46e63eebbb6e847ab7d4c011dd621414a1ffd2e15	sscanf,_printk,hrtimer_cancel,__pm_stay_awake,hrtimer_start_range_ns,__pm_relax,__stack_chk_fail	set_leds	modes 0..6; timer period 40 ms	none	BRANCHING(8)	no	no	same parse/range/cancel/cache/wake and 0..6 dispatch; branch layout differs
camplight_set_brightness_show	116	116	5cc243df	5cc243df	yes	4abb47e8e51f4de57880a5df1ed98c60bf541014698959832229e0e442333b73	4abb47e8e51f4de57880a5df1ed98c60bf541014698959832229e0e442333b73	_printk,scnprintf	none	none	none	BRANCHING(1)	yes	yes	none
camplight_set_brightness_store	420	404	07baa895	07baa895	yes	e3e8eaabd6aa4d20bd26655f18fab58bc9dd4ff3661ced48359bce2968b8510b	d88cce8261ab1008626cbe19a71774ecdf20d0af30237eea33f5f84b1674d542	sscanf,_printk,__pm_stay_awake,gpio_to_desc,gpiod_set_raw_value,mt_pwm_disable,pinctrl_select_state,__pm_relax	ln2403_pwm_work	signed cap 94; width 100; threshold 100-capped	none	BRANCHING(7)	no	no	same signed cap, PWM arithmetic, GPIO order, off and wake behavior; compiler CFG differs
ln2403_gpio_ctrl_apply	232	224	a6ffff17	00000094	no	96feaf76096b531b72f8691220466d41dd86f676710dafd8557ff32400615093	30e0b1344fc0cb3de5077c7a533e0a18b7f4b8f7a20b017e62ebf8193d36c065	mutex_lock,hrtimer_init,hrtimer_start_range_ns,_printk,hrtimer_cancel,mutex_unlock	none	BLINK 50/50 ms; SOS initial 200/200 ms	none	BRANCHING(2)	no	no	same mutex/timer initialization, cancel and enabled flag semantics; compiler layout differs
ln2403_pwm_work	380	364	d2ffff17	d5ffff17	no	ef362f0b2404f67a6d81e119a880082321dbce6920c082917e66018a80bbdb25	0a4d6d5a4bda194e0dcffc4cd41c314370f6bb3cf5329387b79a2dd69b0342e7	_printk,pinctrl_select_state,pwm_set_spec_config,mt_pwm_disable,__stack_chk_fail	none	PWM channel 3; OLD mode; DIV1; width/threshold arguments; disable pad 0	none	BRANCHING(5)	no	no	same complete 56-byte provider config, pinctrl order, cache and provider calls; compiler layout differs
gpio_ctrl_timer_handler	328	324	a1bbc172	a1bbc172	yes	752c8ee987f1f8af11685a4f5ee6ccaf90a78f08ff213c64ca6ae288caebd254	2f5d077ec3cb1059e1b7807c974d9af3314619ec054c6333fd2df02c183e9166	gpio_to_desc,gpiod_get_raw_value,gpiod_set_raw_value,hrtimer_forward	none	SOS boundaries 6/12/17; intervals 50/200/500/1000 ms	none	BRANCHING(9)	no	no	same GPIO toggles, SOS counter boundaries, intervals and hrtimer_forward behavior; branch layout differs
set_leds	124	124	c2ffff17	e2ffff17	no	cd5e91c9e43497131478f1a31236e44eec3f39c4b92e422081e58e3e6efc5008	cd5e91c9e43497131478f1a31236e44eec3f39c4b92e422081e58e3e6efc5008	gpio_to_desc,gpiod_set_raw_value	none	raw active-high POWER/RED/BLUE triplet	none	LINEAR	yes	yes	none
camplight_probe	1216	816	9116df63	9116df63	yes	5ccbef4bbba42559c4c1821bc027dc56187c8828ce25bb6c8f69849ae5d4047d	281667606858c3fe7134bfc209867ac43fb81cb73ab8a3bf079667976d32811c	_printk,kmalloc_trace,of_find_compatible_node,devm_pinctrl_get,pinctrl_lookup_state,device_create_file,device_remove_file,__mutex_init,gpio_to_desc,gpiod_set_raw_value,hrtimer_init,wakeup_source_register,pinctrl_select_state	ln2403_get_gpio	allocation 0x118; five raw GPIOs low; two CLOCK_MONOTONIC relative timers	mediatek,yft_camplight; ln2403_pwmoff_high/low; ln2403_pwmon	BRANCHING(20)	no	no	same success hardware order, 0x118 layout, GPIO/pinctrl/sysfs setup and exact return classes; stock diagnostic/resource-leak quirks retained, printk/CFG layout condensed
camplight_remove	52	52	9116df63	9116df63	yes	301170ba90a77f5392a39181d911150fcb2bcac9488168e2460c77b79eb306fc	453c65655703e4f6758d578220b20de9922e97e5de756af8a699c1566eeeb61e	_printk	none	none	none	LINEAR	yes	no	same log-only return-zero callback and complete absence of hardware/resource teardown; printk relocation/layout differs
redblue_led_timer_func	596	592	a1bbc172	a1bbc172	yes	5ab440149c50e096debeb621218e2c374f61a0fd8c78e2a1cb9b6628ce6e53b0	497ed3e8f1576523188c6342b5e0ee18a76b0efab8b844de0dd387dc58c7621a	gpio_to_desc,gpiod_set_raw_value,hrtimer_forward	none	40 ms forward; red/blue phase state machines	none	BRANCHING(5)	no	no	same direct/flash phase GPIO triplets and 40-ms restart; compiler branch layout differs
ln2403_get_gpio	220	220	b9ffff17	c0035fd6	no	4188439d5c34920e44273c22b02000f3337fec26d1e75b979ccaba76d2c94d70	4188439d5c34920e44273c22b02000f3337fec26d1e75b979ccaba76d2c94d70	of_get_named_gpio_flags,_printk,gpio_to_desc,gpio_request	none	property index 0; gpio_request flags 0	five caller-supplied *-gpio property names	BRANCHING(4)	yes	yes	none
