symbol	stock_crc	rebuild_crc	presence	crc_match	status
__mutex_init	0xa571f6b0	0xa571f6b0	shared	yes	EXACT
__platform_driver_register	0x894c433a	0x894c433a	shared	yes	EXACT
__pm_relax	0x1aa68695	0x1aa68695	shared	yes	EXACT
__pm_stay_awake	0xe186a5ce	0xe186a5ce	shared	yes	EXACT
__stack_chk_fail	0xc2c193d2	0xc2c193d2	shared	yes	EXACT
_printk	0x92997ed8	0x92997ed8	shared	yes	EXACT
device_create_file	0xe25f59ab	0xe25f59ab	shared	yes	EXACT
device_remove_file	0x17678b2a	0x17678b2a	shared	yes	EXACT
devm_pinctrl_get	0x1e78d642	0x1e78d642	shared	yes	EXACT
gpio_request	0x47229b5c	0x47229b5c	shared	yes	EXACT
gpio_to_desc	0x0ec43f6f	0x0ec43f6f	shared	yes	EXACT
gpiod_get_raw_value	0xe7edce8c	0xe7edce8c	shared	yes	EXACT
gpiod_set_raw_value	0x8dae9ed0	0x8dae9ed0	shared	yes	EXACT
hrtimer_cancel	0xcc69bd8c	0xcc69bd8c	shared	yes	EXACT
hrtimer_forward	0x76c41756	0x76c41756	shared	yes	EXACT
hrtimer_init	0x3ebd5214	0x3ebd5214	shared	yes	EXACT
hrtimer_start_range_ns	0x939fc2ef	0x939fc2ef	shared	yes	EXACT
kmalloc_caches	0x0f15b38a	0x0f15b38a	shared	yes	EXACT
kmalloc_trace	0xb78e7543	0xb78e7543	shared	yes	EXACT
module_layout	0xea759d7f	0xea759d7f	shared	yes	EXACT
mt_pwm_disable	0xd602ce35	0xd602ce35	shared	yes	EXACT
mutex_lock	0xd5977bfb	0xd5977bfb	shared	yes	EXACT
mutex_unlock	0xed55cabd	0xed55cabd	shared	yes	EXACT
of_find_compatible_node	0x3d6e4570	0x3d6e4570	shared	yes	EXACT
of_get_named_gpio_flags	0xb9ab15e7	0xb9ab15e7	shared	yes	EXACT
pinctrl_lookup_state	0xfcab557c	0xfcab557c	shared	yes	EXACT
pinctrl_select_state	0x92ee9662	0x92ee9662	shared	yes	EXACT
platform_driver_unregister	0xe1b15563	0xe1b15563	shared	yes	EXACT
pwm_set_spec_config	0xa54c8591	0xa54c8591	shared	yes	EXACT
scnprintf	0x96848186	0x96848186	shared	yes	EXACT
sscanf	0xbcab6ee6	0xbcab6ee6	shared	yes	EXACT
wakeup_source_register	0x8be45c3b	0x8be45c3b	shared	yes	EXACT
