symbol	crc	elf_undefined_symbol	provider_class
scnprintf	0x96848186	yes	GKI kernel
_printk	0x92997ed8	yes	GKI kernel
sscanf	0xbcab6ee6	yes	GKI kernel
mutex_lock	0xd5977bfb	yes	GKI kernel
hrtimer_cancel	0xcc69bd8c	yes	GKI kernel
mutex_unlock	0xed55cabd	yes	GKI kernel
mt_pwm_disable	0xd602ce35	yes	mtk-pwm intermodule
pinctrl_select_state	0x92ee9662	yes	GKI kernel
gpio_to_desc	0x0ec43f6f	yes	GKI kernel
gpiod_set_raw_value	0x8dae9ed0	yes	GKI kernel
__pm_stay_awake	0xe186a5ce	yes	GKI kernel
__pm_relax	0x1aa68695	yes	GKI kernel
__stack_chk_fail	0xc2c193d2	yes	GKI kernel
gpiod_get_raw_value	0xe7edce8c	yes	GKI kernel
hrtimer_start_range_ns	0x939fc2ef	yes	GKI kernel
__platform_driver_register	0x894c433a	yes	GKI kernel
platform_driver_unregister	0xe1b15563	yes	GKI kernel
hrtimer_init	0x3ebd5214	yes	GKI kernel
pwm_set_spec_config	0xa54c8591	yes	mtk-pwm intermodule
hrtimer_forward	0x76c41756	yes	GKI kernel
kmalloc_caches	0x0f15b38a	yes	GKI kernel
kmalloc_trace	0xb78e7543	yes	GKI kernel
of_find_compatible_node	0x3d6e4570	yes	GKI kernel
devm_pinctrl_get	0x1e78d642	yes	GKI kernel
pinctrl_lookup_state	0xfcab557c	yes	GKI kernel
device_create_file	0xe25f59ab	yes	GKI kernel
device_remove_file	0x17678b2a	yes	GKI kernel
__mutex_init	0xa571f6b0	yes	GKI kernel
wakeup_source_register	0x8be45c3b	yes	GKI kernel
of_get_named_gpio_flags	0xb9ab15e7	yes	GKI kernel
gpio_request	0x47229b5c	yes	GKI kernel
module_layout	0xea759d7f	version-only	module loader ABI
