symbol	crc	versions_offset
scnprintf	0x96848186	0x0
_printk	0x92997ed8	0x40
sscanf	0xbcab6ee6	0x80
mutex_lock	0xd5977bfb	0xc0
hrtimer_cancel	0xcc69bd8c	0x100
mutex_unlock	0xed55cabd	0x140
mt_pwm_disable	0xd602ce35	0x180
pinctrl_select_state	0x92ee9662	0x1c0
gpio_to_desc	0x0ec43f6f	0x200
gpiod_set_raw_value	0x8dae9ed0	0x240
__pm_stay_awake	0xe186a5ce	0x280
__pm_relax	0x1aa68695	0x2c0
__stack_chk_fail	0xc2c193d2	0x300
gpiod_get_raw_value	0xe7edce8c	0x340
hrtimer_start_range_ns	0x939fc2ef	0x380
__platform_driver_register	0x894c433a	0x3c0
platform_driver_unregister	0xe1b15563	0x400
hrtimer_init	0x3ebd5214	0x440
pwm_set_spec_config	0xa54c8591	0x480
hrtimer_forward	0x76c41756	0x4c0
kmalloc_caches	0x0f15b38a	0x500
kmalloc_trace	0xb78e7543	0x540
of_find_compatible_node	0x3d6e4570	0x580
devm_pinctrl_get	0x1e78d642	0x5c0
pinctrl_lookup_state	0xfcab557c	0x600
device_create_file	0xe25f59ab	0x640
device_remove_file	0x17678b2a	0x680
__mutex_init	0xa571f6b0	0x6c0
wakeup_source_register	0x8be45c3b	0x700
of_get_named_gpio_flags	0xb9ab15e7	0x740
gpio_request	0x47229b5c	0x780
module_layout	0xea759d7f	0x7c0
