object	section	stock_size	rebuild_size	stock_hash	rebuild_hash	classification	important	explanation
ln2403_chip_data	.bss	8	8	7f5e53f2cea9d846b2cac86bde23c658e4d97ae2c074b3feed1ee47e80239b0a	7f5e53f2cea9d846b2cac86bde23c658e4d97ae2c074b3feed1ee47e80239b0a	BYTE_IDENTICAL	yes	exact raw object bytes
ln2403_pwmoff_low	.bss	8	8	e4410f2211e679c1596dabaa7eb66d64154206803ca52e638bc69d66aa4beb81	4cf89882b9b9f07505dd83f21a06dfd15c4e0b85fae7a4bc2b8f31d50e95d05a	RELOCATION_EQUIVALENT	yes	relocated pointers/symbol numbering or compiler metadata; target identity/content checked
ln2403_pinctrl	.bss	8	8	71565cd53b740546f7d236f21aba165cf52b249891958cdb7edb072614d0c3a4	e4410f2211e679c1596dabaa7eb66d64154206803ca52e638bc69d66aa4beb81	RELOCATION_EQUIVALENT	yes	relocated pointers/symbol numbering or compiler metadata; target identity/content checked
ln2403_pwmon	.bss	8	8	4cf89882b9b9f07505dd83f21a06dfd15c4e0b85fae7a4bc2b8f31d50e95d05a	336e3850a6c021591358b14d2b1e835d3ab0e4f32b3a7140e9f1d128efdc3922	RELOCATION_EQUIVALENT	yes	relocated pointers/symbol numbering or compiler metadata; target identity/content checked
ln2403_pwmoff_high	.bss	8	8	336e3850a6c021591358b14d2b1e835d3ab0e4f32b3a7140e9f1d128efdc3922	71565cd53b740546f7d236f21aba165cf52b249891958cdb7edb072614d0c3a4	RELOCATION_EQUIVALENT	yes	relocated pointers/symbol numbering or compiler metadata; target identity/content checked
red_blue_flash_state	.bss	4	4	66a0b53312c1d72c6bdc384d5a7e06a470c8a118c9599f59efe112a66cf85c37	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	RELOCATION_EQUIVALENT	yes	relocated pointers/symbol numbering or compiler metadata; target identity/content checked
camplight_duty	.bss	4	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	BYTE_IDENTICAL	yes	exact raw object bytes
ln2403_probe.__key	.bss	1		6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		SEMANTIC_EQUIVALENT	no	stock-only local lock-class key; generated at reconstructed source location
ln2403_mode_str	.data	48	48	17b0761f87b081d5cf10757ccc89f12be355c70e2e29df288b65b30710dcbcd1	17b0761f87b081d5cf10757ccc89f12be355c70e2e29df288b65b30710dcbcd1	BYTE_IDENTICAL	yes	exact raw object bytes
ln2403_leds_str	.data	56	56	d4817aa5497628e7c77e6b606107042bbba3130888c5f47a375e6179be789fbb	d4817aa5497628e7c77e6b606107042bbba3130888c5f47a375e6179be789fbb	BYTE_IDENTICAL	yes	exact raw object bytes
dev_attr_camplight_mode	.data	32	32	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	BYTE_IDENTICAL	yes	exact raw object bytes
dev_attr_leds_ctl	.data	32	32	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	BYTE_IDENTICAL	yes	exact raw object bytes
dev_attr_camplight_set_brightness	.data	32	32	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	29d068040e06a33c3809cab1fad5d50c6c92161bcdf71b703fd82496f6d50612	BYTE_IDENTICAL	yes	exact raw object bytes
