relocation_section	offset	type	symbol	addend
.rela.text	0x0000000000000014	R_AARCH64_ADR_PREL_PG_HI21	.bss	+0
.rela.text	0x0000000000000018	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000028	R_AARCH64_ADR_PREL_PG_HI21	ln2403_mode_str	+0
.rela.text	0x000000000000002c	R_AARCH64_ADD_ABS_LO12_NC	ln2403_mode_str	+0
.rela.text	0x000000000000003c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+4a8
.rela.text	0x0000000000000040	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+4a8
.rela.text	0x0000000000000048	R_AARCH64_CALL26	scnprintf	+0
.rela.text	0x000000000000005c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+8d
.rela.text	0x0000000000000060	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+8d
.rela.text	0x0000000000000064	R_AARCH64_CALL26	_printk	+0
.rela.text	0x00000000000000a0	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+697
.rela.text	0x00000000000000a4	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+697
.rela.text	0x00000000000000b8	R_AARCH64_CALL26	sscanf	+0
.rela.text	0x00000000000000d0	R_AARCH64_ADR_PREL_PG_HI21	.bss	+0
.rela.text	0x00000000000000d4	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000118	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+69a
.rela.text	0x000000000000011c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+69a
.rela.text	0x0000000000000120	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+666
.rela.text	0x0000000000000124	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+666
.rela.text	0x0000000000000128	R_AARCH64_CALL26	_printk	+0
.rela.text	0x0000000000000138	R_AARCH64_CALL26	mutex_lock	+0
.rela.text	0x000000000000013c	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000144	R_AARCH64_CALL26	hrtimer_cancel	+0
.rela.text	0x0000000000000148	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x000000000000014c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+52a
.rela.text	0x0000000000000150	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+52a
.rela.text	0x0000000000000154	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+5ed
.rela.text	0x0000000000000158	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+5ed
.rela.text	0x0000000000000164	R_AARCH64_CALL26	_printk	+0
.rela.text	0x0000000000000168	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x000000000000016c	R_AARCH64_CALL26	mutex_unlock	+0
.rela.text	0x0000000000000170	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000178	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+55a
.rela.text	0x000000000000017c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+55a
.rela.text	0x0000000000000184	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+271
.rela.text	0x0000000000000188	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+271
.rela.text	0x0000000000000194	R_AARCH64_CALL26	_printk	+0
.rela.text	0x0000000000000198	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+4db
.rela.text	0x000000000000019c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+4db
.rela.text	0x00000000000001a4	R_AARCH64_CALL26	_printk	+0
.rela.text	0x00000000000001a8	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x00000000000001bc	R_AARCH64_CALL26	mt_pwm_disable	+0
.rela.text	0x00000000000001c0	R_AARCH64_ADR_PREL_PG_HI21	.bss	+20
.rela.text	0x00000000000001c4	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+20
.rela.text	0x00000000000001d0	R_AARCH64_ADR_PREL_PG_HI21	.bss	+10
.rela.text	0x00000000000001d4	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+10
.rela.text	0x00000000000001d8	R_AARCH64_CALL26	pinctrl_select_state	+0
.rela.text	0x00000000000001dc	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x00000000000001e8	R_AARCH64_CALL26	gpio_to_desc	+0
.rela.text	0x00000000000001f0	R_AARCH64_CALL26	gpiod_set_raw_value	+0
.rela.text	0x00000000000001f4	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x00000000000001fc	R_AARCH64_CALL26	gpio_to_desc	+0
.rela.text	0x0000000000000204	R_AARCH64_CALL26	gpiod_set_raw_value	+0
.rela.text	0x0000000000000208	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x000000000000021c	R_AARCH64_CALL26	__pm_stay_awake	+0
.rela.text	0x000000000000022c	R_AARCH64_ADR_PREL_PG_HI21	.rodata	+0
.rela.text	0x0000000000000230	R_AARCH64_ADD_ABS_LO12_NC	.rodata	+0
.rela.text	0x000000000000026c	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000274	R_AARCH64_CALL26	gpio_to_desc	+0
.rela.text	0x000000000000027c	R_AARCH64_CALL26	gpiod_set_raw_value	+0
.rela.text	0x0000000000000284	R_AARCH64_ADR_PREL_PG_HI21	.bss	+8
.rela.text	0x0000000000000288	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000294	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+8
.rela.text	0x000000000000029c	R_AARCH64_ADR_PREL_PG_HI21	.bss	+8
.rela.text	0x00000000000002a0	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x00000000000002ac	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+8
.rela.text	0x00000000000002c8	R_AARCH64_ADR_PREL_PG_HI21	.bss	+10
.rela.text	0x00000000000002cc	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+10
.rela.text	0x00000000000002d0	R_AARCH64_CALL26	pinctrl_select_state	+0
.rela.text	0x00000000000002dc	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x00000000000002e4	R_AARCH64_CALL26	gpio_to_desc	+0
.rela.text	0x00000000000002ec	R_AARCH64_CALL26	gpiod_set_raw_value	+0
.rela.text	0x00000000000002f4	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000304	R_AARCH64_CALL26	gpio_to_desc	+0
.rela.text	0x000000000000030c	R_AARCH64_CALL26	gpiod_set_raw_value	+0
.rela.text	0x0000000000000310	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000318	R_AARCH64_CALL26	gpio_to_desc	+0
.rela.text	0x0000000000000320	R_AARCH64_CALL26	gpiod_set_raw_value	+0
.rela.text	0x0000000000000324	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
.rela.text	0x0000000000000328	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+271
.rela.text	0x000000000000032c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+271
.rela.text	0x000000000000033c	R_AARCH64_CALL26	_printk	+0
.rela.text	0x0000000000000340	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	+4db
.rela.text	0x0000000000000344	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	+4db
.rela.text	0x000000000000034c	R_AARCH64_CALL26	_printk	+0
.rela.text	0x0000000000000350	R_AARCH64_LDST64_ABS_LO12_NC	.bss	+0
