file_offset	string
0x13a7	R#yh
0x1585	C9H
0x15a8	+ih8J\t
0x18bc	Lii8k\t
0x18cc	C9i
0x18fd	C9H
0x1915	C9H
0x1935	C9H
0x194d	C9H
0x1a68	C9i
0x1e17	T\tA@
0x24ef	T\ta@
0x2554	Lii8k\t
0x2870	ln2403_pwmoff_low
0x2882	[%s]camplight, red=%d,blue=%d
0x28a1	leds-blue-gpio
0x28b4	RED_BLUE_FLASH
0x28c3	%s %d Start timer, kt %lld
0x28df	ln2403_pwmon
0x28ec	ALL_ON
0x28f3	RED_FLASH
0x28fd	mt_camplight_mode_show. dev is null!!
0x2924	%s, camplight_duty=%d
0x293b	camplight_set_brightness_store
0x295a	leds-red-gpio
0x2968	%s: end.\x20
0x2973	%s %d.
0x297b	%s: enter.\x20
0x2988	ln2403_probe start
0x299c	redblue_led_wake_lock
0x29b6	leds_ctl_show
0x29c4	failed to init_sysfs.
0x29db	%s: parse ln2403_en fail.\x20
0x29f7	ln2403-power-gpio
0x2a09	camplight_set_brightness_show. dev is null!!
0x2a37	%s: gpio_request fail.\x20
0x2a50	BLUE_FLASH
0x2a5b	ln2403_probe end
0x2a6d	%s: parse ln2403_pwm fail.\x20
0x2a8a	%s: gpio_desc is null.
0x2aa2	camplight_set_brightness
0x2abb	camplight_remove
0x2acc	yft_camplight
0x2ada	NORMAL
0x2ae1	%s: enable=%d, ln2403_chip_data->pwm_enabled=%d
0x2b12	ln2403_probe 11
0x2b23	&ln2403_chip_data->lock
0x2b3b	%s: gpio number %d is valid.\x20
0x2b5a	ln2403_pinctrl_init
0x2b6e	ln2403_parse_dts failed
0x2b87	mediatek,yft_camplight
0x2b9e	ln2403-en-gpio
0x2bad	%s: parse leds_blue_gpio fail.\x20
0x2bce	%s: ln2403_pinctrl_init failed.\x20
0x2bf0	BLUE_ON
0x2bf8	ln2403_wake_lock
0x2c09	RED_ON
0x2c10	leds_ctl
0x2c19	%s: enable, percents=%d, thresh=%d, data_width=%d
0x2c4c	camplight_set_brightness_show
0x2c6a	%s: parse leds_power_gpio fail.\x20
0x2c8c	camplight_mode
0x2c9b	ln2403_parse_dts
0x2cac	%s: cannot get the node: 'mediatek,yft_camplight'.
0x2ce0	%s: gpio_desc is not null.
0x2cfc	ln2403_init_sysfs. begin.\x20
0x2d1c	leds_ctl_store
0x2d2b	no memory for ln2403_chip_data
0x2d4b	%s: disable
0x2d58	camplight_probe end
0x2d6e	3yft-drv-%s: Failed to get ln2403 pinctrl.
0x2d9a	%s %d cancel timer
0x2dae	camplight_probe start
0x2dc5	HIGH
0x2dca	ln2403_pwm_work
0x2dda	%s: of_get_named_gpio GPIO is %d.
0x2e01	%s, 1 camplight_duty=%d
0x2e1a	%s: parse leds_red_gpio fail.\x20
0x2e3b	3yft-drv-%s: Failed to init (%s)
0x2e5d	ln2403_gpio_ctrl_apply
0x2e74	leds_ctl_show. dev is null!!
0x2e92	[%s]camplight. mode=%d
0x2eaa	leds-power-gpio
0x2ebe	ALL_OFF
0x2ec6	ln2403_get_gpio
0x2ed6	mt_camplight_mode_store
0x2eee	BLINK
0x2ef4	ln2403_pwmoff_high
0x2f0a	%s, set mode error, please reset!
0x2f2d	%s: of_get_named_gpio fail.\x20
0x3058	mediatek,yft_camplight
0x32b0	description=Module For PWM LN2403
0x32d2	author=yuanliang, <yuanliang@dazhi.sh.cn>
0x32fc	license=GPL
0x3308	vermagic=6.1.115-android14-11-g945dff7bc1bf SMP preempt mod_unload modversions aarch64
0x335f	name=leds_ln2403
0x3370	depends=mtk-pwm
0x3380	alias=of:N*T*Cmediatek,yft_camplight
0x33a5	alias=of:N*T*Cmediatek,yft_camplightC*
0x33dc	Linux
0x33f4	Linux
0x3418	leds_ln2403
0x3848	scnprintf
0x3888	_printk
0x38c8	sscanf
0x3908	mutex_lock
0x3948	hrtimer_cancel
0x3988	mutex_unlock
0x39c8	mt_pwm_disable
0x3a08	pinctrl_select_state
0x3a48	gpio_to_desc
0x3a88	gpiod_set_raw_value
0x3ac8	__pm_stay_awake
0x3b08	__pm_relax
0x3b48	__stack_chk_fail
0x3b88	gpiod_get_raw_value
0x3bc8	hrtimer_start_range_ns
0x3c08	__platform_driver_register
0x3c48	platform_driver_unregister
0x3c88	hrtimer_init
0x3cc8	pwm_set_spec_config
0x3d08	hrtimer_forward
0x3d48	kmalloc_caches
0x3d88	kmalloc_trace
0x3dc0	pEn=
0x3dc8	of_find_compatible_node
0x3e08	devm_pinctrl_get
0x3e48	pinctrl_lookup_state
0x3e88	device_create_file
0x3ec8	device_remove_file
0x3f08	__mutex_init
0x3f48	wakeup_source_register
0x3f88	of_get_named_gpio_flags
0x3fc8	gpio_request
0x4008	module_layout
0x78c9	Android (10087095, +pgo, +bolt, +lto, -mlgo, based on r487747c) clang version 17.0.2 (https://android.googlesource.com/toolchain/llvm-project d9f89f4d16663d5012e5c09495f3b30ece3d2362)
0x7b0e	hk(,32uwx<=@CFG
0x7b1e	$i10
0x87d9	.note.gnu.property
0x87ec	.note.Linux
0x87f8	.rela.exit.text
0x8808	.rela.init.text
0x8818	.hyp.text
0x8822	.rela.text
0x882d	.comment
0x8836	.init.plt
0x8840	.hyp.bss
0x8849	__versions
0x8854	.modinfo
0x885d	.note.GNU-stack
0x886d	.llvm_addrsig
0x887b	.text.ftrace_trampoline
0x8893	.init.eh_frame
0x88a2	.rela.eh_frame
0x88b1	.rela.gnu.linkonce.this_module
0x88d0	.note.gnu.build-id
0x88e3	.shstrtab
0x88ed	.strtab
0x88f5	.symtab
0x88fd	.hyp.rodata
0x8909	.rela.rodata
0x8916	.rela.exit.data
0x8926	.rela.init.data
0x8936	.hyp.data
0x8940	.rela.data
0x894b	.rodata.str1.1
0x895b	camplight_duty
0x896a	ln2403_gpio_ctrl_apply
0x8981	ln2403_probe.__key
0x8994	__pm_relax
0x899f	ln2403_pwmoff_low
0x89b1	camplight_set_brightness_show
0x89cf	leds_ctl_show
0x89dd	mt_camplight_mode_show
0x89f4	gpio_request
0x8a01	__mutex_init
0x8a0e	hrtimer_init
0x8a1b	devm_pinctrl_get
0x8a2c	dev_attr_camplight_set_brightness
0x8a4e	____versions
0x8a5b	hrtimer_start_range_ns
0x8a72	of_get_named_gpio_flags
0x8a8a	mt_sysfs_attributes
0x8a9e	kmalloc_caches
0x8aad	set_leds
0x8ab6	ln2403_leds_str
0x8ac6	ln2403_mode_str
0x8ad6	camplight_driver
0x8ae7	platform_driver_unregister
0x8b02	__platform_driver_register
0x8b1d	wakeup_source_register
0x8b34	gpio_ctrl_timer_handler
0x8b4c	ln2403_get_gpio
