import	stock	recon
of_find_node_opts_by_path	YES	YES
_printk	YES	YES
of_get_property	YES	YES
power_supply_get_by_name	YES	YES
power_supply_get_property	YES	YES
__stack_chk_fail	YES	YES
mutex_lock	YES	YES
regmap_write	YES	YES
regmap_update_bits_base	YES	YES
_dev_err	YES	YES
mutex_unlock	YES	YES
i2c_register_driver	YES	YES
i2c_del_driver	YES	YES
devm_kmalloc	YES	YES
of_get_named_gpio_flags	YES	YES
gpio_to_desc	YES	YES
gpio_request	YES	YES
gpiod_direction_output_raw	YES	YES
gpiod_get_raw_value	YES	YES
__mutex_init	YES	YES
__devm_regmap_init_i2c	YES	YES
regmap_read	YES	YES
of_get_next_available_child	YES	YES
of_property_read_variable_u32_array	YES	YES
devm_led_classdev_register_ext	YES	YES
_dev_info	YES	YES
