symbol	stock_crc	recon_crc	gki_crc	status
of_find_node_opts_by_path	0x748c8ec0	0x748c8ec0	0x748c8ec0	MATCH
_printk	0x92997ed8	0x92997ed8	0x92997ed8	MATCH
of_get_property	0x9da9550a	0x9da9550a	0x9da9550a	MATCH
power_supply_get_by_name	0x60e98d99	0x60e98d99	0x60e98d99	MATCH
power_supply_get_property	0xd351924c	0xd351924c	0xd351924c	MATCH
__stack_chk_fail	0xc2c193d2	0xc2c193d2	0xc2c193d2	MATCH
mutex_lock	0xd5977bfb	0xd5977bfb	0xd5977bfb	MATCH
regmap_write	0x2971bc8d	0x2971bc8d	0x2971bc8d	MATCH
regmap_update_bits_base	0xb1d8e449	0xb1d8e449	0xb1d8e449	MATCH
_dev_err	0xf27ed00b	0xf27ed00b	0xf27ed00b	MATCH
mutex_unlock	0xed55cabd	0xed55cabd	0xed55cabd	MATCH
i2c_register_driver	0x50f5d94e	0x50f5d94e	0x50f5d94e	MATCH
i2c_del_driver	0xfee5be94	0xfee5be94	0xfee5be94	MATCH
devm_kmalloc	0xd50f026e	0xd50f026e	0xd50f026e	MATCH
of_get_named_gpio_flags	0xb9ab15e7	0xb9ab15e7	0xb9ab15e7	MATCH
gpio_to_desc	0x0ec43f6f	0x0ec43f6f	0x0ec43f6f	MATCH
gpio_request	0x47229b5c	0x47229b5c	0x47229b5c	MATCH
gpiod_direction_output_raw	0x1aadfa2a	0x1aadfa2a	0x1aadfa2a	MATCH
gpiod_get_raw_value	0xe7edce8c	0xe7edce8c	0xe7edce8c	MATCH
__mutex_init	0xa571f6b0	0xa571f6b0	0xa571f6b0	MATCH
__devm_regmap_init_i2c	0x1bab1211	0x1bab1211	0x1bab1211	MATCH
regmap_read	0xe4fcaad8	0xe4fcaad8	0xe4fcaad8	MATCH
of_get_next_available_child	0x9abbe2da	0x9abbe2da	0x9abbe2da	MATCH
of_property_read_variable_u32_array	0x94a3f9c7	0x94a3f9c7	0x94a3f9c7	MATCH
devm_led_classdev_register_ext	0x9c6e5a8d	0x9c6e5a8d	0x9c6e5a8d	MATCH
_dev_info	0xef3cb484	0xef3cb484	0xef3cb484	MATCH
module_layout	0xea759d7f	0xea759d7f	0xea759d7f	MATCH
