object	section	stock_offset	stock_size	recon_size	bind	byte_identical
gftk_leds	.bss	0x0	8	8	LOCAL	YES(NOBITS)
aw2013_pwd_gpio	.bss	0x8	4	4	LOCAL	YES(NOBITS)
aw2013_probe.__key	.bss	0xc	1	1	LOCAL	YES(NOBITS)
aw2013_match_table	.rodata	0x0	400	400	LOCAL	YES
__mod_of__aw2013_match_table_device_table	.rodata	0x0	400	400	GLOBAL	YES
aw2013_regmap_config	.rodata	0x190	328	328	LOCAL	YES
__UNIQUE_ID___addressable_init_module461	.init.data	0x0	8	8	LOCAL	YES
__UNIQUE_ID___addressable_cleanup_module462	.exit.data	0x0	8	8	LOCAL	YES
__UNIQUE_ID_author463	.modinfo	0x0	45	45	LOCAL	YES
__UNIQUE_ID_description464	.modinfo	0x2d	30	30	LOCAL	YES
__UNIQUE_ID_license465	.modinfo	0x4b	15	15	LOCAL	YES
__UNIQUE_ID_vermagic333	.modinfo	0x5a	87	85	LOCAL	NO
__UNIQUE_ID_name334	.modinfo	0xb1	21	21	LOCAL	YES
__UNIQUE_ID_depends335	.modinfo	0xc6	9	9	LOCAL	YES
__UNIQUE_ID_alias336	.modinfo	0xcf	32	32	LOCAL	YES
__UNIQUE_ID_alias337	.modinfo	0xef	34	34	LOCAL	YES
aw2013_driver	.data	0x0	280	280	LOCAL	YES
_note_9	.note.Linux	0x0	24	24	LOCAL	YES
_note_10	.note.Linux	0x18	24	24	LOCAL	YES
__this_module	.gnu.linkonce.this_module	0x0	1088	1088	GLOBAL	YES
____versions	__versions	0x0	1728	1728	LOCAL	YES
