symbol	stock_crc	recon_crc	gki_crc	provider_module	export_type	status
of_find_node_opts_by_path	0x748c8ec0	0x748c8ec0	0x748c8ec0	vmlinux	EXPORT_SYMBOL	MATCH
_printk	0x92997ed8	0x92997ed8	0x92997ed8	vmlinux	EXPORT_SYMBOL	MATCH
of_get_property	0x9da9550a	0x9da9550a	0x9da9550a	vmlinux	EXPORT_SYMBOL	MATCH
power_supply_get_by_name	0x60e98d99	0x60e98d99	0x60e98d99	vmlinux	EXPORT_SYMBOL_GPL	MATCH
power_supply_get_property	0xd351924c	0xd351924c	0xd351924c	vmlinux	EXPORT_SYMBOL_GPL	MATCH
__stack_chk_fail	0xc2c193d2	0xc2c193d2	0xc2c193d2	vmlinux	EXPORT_SYMBOL	MATCH
mutex_lock	0xd5977bfb	0xd5977bfb	0xd5977bfb	vmlinux	EXPORT_SYMBOL	MATCH
regmap_write	0x2971bc8d	0x2971bc8d	0x2971bc8d	vmlinux	EXPORT_SYMBOL_GPL	MATCH
regmap_update_bits_base	0xb1d8e449	0xb1d8e449	0xb1d8e449	vmlinux	EXPORT_SYMBOL_GPL	MATCH
_dev_err	0xf27ed00b	0xf27ed00b	0xf27ed00b	vmlinux	EXPORT_SYMBOL	MATCH
mutex_unlock	0xed55cabd	0xed55cabd	0xed55cabd	vmlinux	EXPORT_SYMBOL	MATCH
i2c_register_driver	0x50f5d94e	0x50f5d94e	0x50f5d94e	vmlinux	EXPORT_SYMBOL	MATCH
i2c_del_driver	0xfee5be94	0xfee5be94	0xfee5be94	vmlinux	EXPORT_SYMBOL	MATCH
devm_kmalloc	0xd50f026e	0xd50f026e	0xd50f026e	vmlinux	EXPORT_SYMBOL_GPL	MATCH
of_get_named_gpio_flags	0xb9ab15e7	0xb9ab15e7	0xb9ab15e7	vmlinux	EXPORT_SYMBOL_GPL	MATCH
gpio_to_desc	0x0ec43f6f	0x0ec43f6f	0x0ec43f6f	vmlinux	EXPORT_SYMBOL_GPL	MATCH
gpio_request	0x47229b5c	0x47229b5c	0x47229b5c	vmlinux	EXPORT_SYMBOL_GPL	MATCH
gpiod_direction_output_raw	0x1aadfa2a	0x1aadfa2a	0x1aadfa2a	vmlinux	EXPORT_SYMBOL_GPL	MATCH
gpiod_get_raw_value	0xe7edce8c	0xe7edce8c	0xe7edce8c	vmlinux	EXPORT_SYMBOL_GPL	MATCH
__mutex_init	0xa571f6b0	0xa571f6b0	0xa571f6b0	vmlinux	EXPORT_SYMBOL	MATCH
__devm_regmap_init_i2c	0x1bab1211	0x1bab1211	0x1bab1211	vmlinux	EXPORT_SYMBOL_GPL	MATCH
regmap_read	0xe4fcaad8	0xe4fcaad8	0xe4fcaad8	vmlinux	EXPORT_SYMBOL_GPL	MATCH
of_get_next_available_child	0x9abbe2da	0x9abbe2da	0x9abbe2da	vmlinux	EXPORT_SYMBOL	MATCH
of_property_read_variable_u32_array	0x94a3f9c7	0x94a3f9c7	0x94a3f9c7	vmlinux	EXPORT_SYMBOL_GPL	MATCH
devm_led_classdev_register_ext	0x9c6e5a8d	0x9c6e5a8d	0x9c6e5a8d	vmlinux	EXPORT_SYMBOL_GPL	MATCH
_dev_info	0xef3cb484	0xef3cb484	0xef3cb484	vmlinux	EXPORT_SYMBOL	MATCH
module_layout	0xea759d7f	0xea759d7f	0xea759d7f	vmlinux	EXPORT_SYMBOL	MATCH
