function	section	stock_offset	stock_size	recon_size	verdict
cleanup_module	.exit.text	0x4	36	36	BYTE_IDENTICAL
init_module	.init.text	0x4	44	44	BYTE_IDENTICAL
get_mode_by_id	.text	0x4	52	52	BYTE_IDENTICAL
mtk_get_res_switch_type	.text	0x3c	48	48	BYTE_IDENTICAL
mtk_scaling_mode_mapping	.text	0x70	88	88	BYTE_IDENTICAL
lcm_probe	.text	0xcc	1236	1240	SOURCE_SHAPE_CODEGEN_DELTA
lcm_remove	.text	0x5a4	128	128	BYTE_IDENTICAL
lcm_prepare	.text	0x628	372	372	BYTE_IDENTICAL
lcm_enable	.text	0x7a0	168	168	BYTE_IDENTICAL
lcm_disable	.text	0x84c	168	168	BYTE_IDENTICAL
lcm_unprepare	.text	0x8f8	520	520	BYTE_IDENTICAL
lcm_get_modes	.text	0xb04	308	308	BYTE_IDENTICAL
lcm_panel_init	.text	0xc38	1276	1276	SIZE_IDENTICAL_CODEGEN_DELTA
lcm_dcs_write	.text	0x1134	244	244	BYTE_IDENTICAL
lcm_setbacklight_cmdq	.text	0x122c	264	264	SIZE_IDENTICAL_CODEGEN_DELTA
panel_ext_reset	.text	0x1338	108	108	BYTE_IDENTICAL
panel_ata_check	.text	0x13a8	8	8	BYTE_IDENTICAL
mtk_panel_ext_param_set	.text	0x13b4	300	300	BYTE_IDENTICAL
mtk_panel_ext_param_get	.text	0x14e4	200	200	BYTE_IDENTICAL
mode_switch	.text	0x15b0	208	208	BYTE_IDENTICAL
sethbm_cmdq	.text	0x1684	232	220	SOURCE_SHAPE_CODEGEN_DELTA
mtk_set_value	.text	0x1770	8	8	BYTE_IDENTICAL
set_hbm_backlight_show	.text	0x177c	92	92	BYTE_IDENTICAL
set_hbm_backlight_store	.text	0x17dc	316	316	SIZE_IDENTICAL_CODEGEN_DELTA
