symbol	stock_crc	provider_class	provider	recon_crc	crc_verdict
__class_create	0x13f8371b	GKI_kernel	vmlinux/GKI	0x13f8371b	MATCH
__of_parse_phandle_with_args	0x26f40d9d	GKI_kernel	vmlinux/GKI	0x26f40d9d	MATCH
__stack_chk_fail	0xc2c193d2	GKI_kernel	vmlinux/GKI	0xc2c193d2	MATCH
_dev_err	0xf27ed00b	GKI_kernel	vmlinux/GKI	0xf27ed00b	MATCH
_dev_info	0xef3cb484	GKI_kernel	vmlinux/GKI	0xef3cb484	MATCH
_printk	0x92997ed8	GKI_kernel	vmlinux/GKI	0x92997ed8	MATCH
class_create_file_ns	0x7f96615d	GKI_kernel	vmlinux/GKI	0x7f96615d	MATCH
class_destroy	0xd5fc0938	GKI_kernel	vmlinux/GKI	0xd5fc0938	MATCH
ddic_dsi_send_cmd_for_fp	0x14818502	vendor_module	mediatek-drm	0x24f2fc08	MISMATCH
devm_gpiod_get	0x66e8ab95	GKI_kernel	vmlinux/GKI	0x66e8ab95	MATCH
devm_gpiod_put	0xa8cb2b21	GKI_kernel	vmlinux/GKI	0xa8cb2b21	MATCH
devm_kmalloc	0xd50f026e	GKI_kernel	vmlinux/GKI	0xd50f026e	MATCH
drm_mode_duplicate	0xff193a01	GKI_kernel	vmlinux/GKI	0xff193a01	MATCH
drm_mode_probed_add	0x88f2da8e	GKI_kernel	vmlinux/GKI	0x88f2da8e	MATCH
drm_mode_set_name	0x4a35d30d	GKI_kernel	vmlinux/GKI	0x4a35d30d	MATCH
drm_mode_vrefresh	0xf1b5340a	GKI_kernel	vmlinux/GKI	0xf1b5340a	MATCH
drm_panel_add	0xb6b95897	GKI_kernel	vmlinux/GKI	0xb6b95897	MATCH
drm_panel_init	0x2d451166	GKI_kernel	vmlinux/GKI	0x2d451166	MATCH
drm_panel_remove	0x23456173	GKI_kernel	vmlinux/GKI	0x23456173	MATCH
find_panel_ctx	0x5ba935bb	vendor_module	mtk_panel_ext	0xc7f8a680	MISMATCH
find_panel_ext	0xaa9afc3e	vendor_module	mtk_panel_ext	0x242df3a0	MISMATCH
gpiod_set_value	0x6dbacf3b	GKI_kernel	vmlinux/GKI	0x6dbacf3b	MATCH
mipi_dsi_attach	0xbedc46e9	GKI_kernel	vmlinux/GKI	0xbedc46e9	MATCH
mipi_dsi_dcs_write_buffer	0x73643b50	GKI_kernel	vmlinux/GKI	0x73643b50	MATCH
mipi_dsi_detach	0xbc909894	GKI_kernel	vmlinux/GKI	0xbc909894	MATCH
mipi_dsi_driver_register_full	0x43e5149e	GKI_kernel	vmlinux/GKI	0x43e5149e	MATCH
mipi_dsi_driver_unregister	0xcf198e40	GKI_kernel	vmlinux/GKI	0xcf198e40	MATCH
mipi_dsi_generic_write	0x90cea76b	GKI_kernel	vmlinux/GKI	0x90cea76b	MATCH
msleep	0xf9a482f9	GKI_kernel	vmlinux/GKI	0xf9a482f9	MATCH
mtk_panel_detach	0xdeb133c5	vendor_module	mtk_panel_ext	0xa64ceb55	MISMATCH
mtk_panel_ext_create	0xea18945b	vendor_module	mtk_panel_ext	0xc2be662b	MISMATCH
mtk_panel_remove	0x5d406eb0	vendor_module	mtk_panel_ext	0xd859acf8	MISMATCH
mtk_panel_tch_handle_reg	0x5adffa30	vendor_module	mtk_panel_ext	0x32f8ae50	MISMATCH
mutex_lock	0xd5977bfb	GKI_kernel	vmlinux/GKI	0xd5977bfb	MATCH
mutex_unlock	0xed55cabd	GKI_kernel	vmlinux/GKI	0xed55cabd	MATCH
of_find_backlight_by_node	0x859e7083	GKI_kernel	vmlinux/GKI	0x859e7083	MATCH
of_find_property	0xe35274a3	GKI_kernel	vmlinux/GKI	0xe35274a3	MATCH
of_get_parent	0x460ab812	GKI_kernel	vmlinux/GKI	0x460ab812	MATCH
of_graph_get_next_endpoint	0x4eae3dec	GKI_kernel	vmlinux/GKI	0x4eae3dec	MATCH
of_graph_get_remote_port_parent	0x0c4e3667	GKI_kernel	vmlinux/GKI	0x0c4e3667	MATCH
of_property_read_variable_u32_array	0x94a3f9c7	GKI_kernel	vmlinux/GKI	0x94a3f9c7	MATCH
sprintf	0x3c3ff9fd	GKI_kernel	vmlinux/GKI	0x3c3ff9fd	MATCH
sscanf	0xbcab6ee6	GKI_kernel	vmlinux/GKI	0xbcab6ee6	MATCH
usleep_range_state	0xc3055d20	GKI_kernel	vmlinux/GKI	0xc3055d20	MATCH
