symbol	stock_crc	recon_crc	verdict	reason
__class_create	0x13f8371b	0x13f8371b	MATCH	-
__of_parse_phandle_with_args	0x26f40d9d	0x26f40d9d	MATCH	-
__stack_chk_fail	0xc2c193d2	0xc2c193d2	MATCH	-
_dev_err	0xf27ed00b	0xf27ed00b	MATCH	-
_dev_info	0xef3cb484	0xef3cb484	MATCH	-
_printk	0x92997ed8	0x92997ed8	MATCH	-
class_create_file_ns	0x7f96615d	0x7f96615d	MATCH	-
class_destroy	0xd5fc0938	0xd5fc0938	MATCH	-
ddic_dsi_send_cmd_for_fp	0x14818502	0x24f2fc08	MISMATCH	missing stock MediaTek-patched provider type graph
devm_gpiod_get	0x66e8ab95	0x66e8ab95	MATCH	-
devm_gpiod_put	0xa8cb2b21	0xa8cb2b21	MATCH	-
devm_kmalloc	0xd50f026e	0xd50f026e	MATCH	-
drm_mode_duplicate	0xff193a01	0xff193a01	MATCH	-
drm_mode_probed_add	0x88f2da8e	0x88f2da8e	MATCH	-
drm_mode_set_name	0x4a35d30d	0x4a35d30d	MATCH	-
drm_mode_vrefresh	0xf1b5340a	0xf1b5340a	MATCH	-
drm_panel_add	0xb6b95897	0xb6b95897	MATCH	-
drm_panel_init	0x2d451166	0x2d451166	MATCH	-
drm_panel_remove	0x23456173	0x23456173	MATCH	-
find_panel_ctx	0x5ba935bb	0xc7f8a680	MISMATCH	missing stock MediaTek-patched provider type graph
find_panel_ext	0xaa9afc3e	0x242df3a0	MISMATCH	missing stock MediaTek-patched provider type graph
gpiod_set_value	0x6dbacf3b	0x6dbacf3b	MATCH	-
mipi_dsi_attach	0xbedc46e9	0xbedc46e9	MATCH	-
mipi_dsi_dcs_write_buffer	0x73643b50	0x73643b50	MATCH	-
mipi_dsi_detach	0xbc909894	0xbc909894	MATCH	-
mipi_dsi_driver_register_full	0x43e5149e	0x43e5149e	MATCH	-
mipi_dsi_driver_unregister	0xcf198e40	0xcf198e40	MATCH	-
mipi_dsi_generic_write	0x90cea76b	0x90cea76b	MATCH	-
module_layout	0xea759d7f	0xea759d7f	MATCH	-
msleep	0xf9a482f9	0xf9a482f9	MATCH	-
mtk_panel_detach	0xdeb133c5	0xa64ceb55	MISMATCH	missing stock MediaTek-patched provider type graph
mtk_panel_ext_create	0xea18945b	0xc2be662b	MISMATCH	missing stock MediaTek-patched provider type graph
mtk_panel_remove	0x5d406eb0	0xd859acf8	MISMATCH	missing stock MediaTek-patched provider type graph
mtk_panel_tch_handle_reg	0x5adffa30	0x32f8ae50	MISMATCH	missing stock MediaTek-patched provider type graph
mutex_lock	0xd5977bfb	0xd5977bfb	MATCH	-
mutex_unlock	0xed55cabd	0xed55cabd	MATCH	-
of_find_backlight_by_node	0x859e7083	0x859e7083	MATCH	-
of_find_property	0xe35274a3	0xe35274a3	MATCH	-
of_get_parent	0x460ab812	0x460ab812	MATCH	-
of_graph_get_next_endpoint	0x4eae3dec	0x4eae3dec	MATCH	-
of_graph_get_remote_port_parent	0x0c4e3667	0x0c4e3667	MATCH	-
of_property_read_variable_u32_array	0x94a3f9c7	0x94a3f9c7	MATCH	-
sprintf	0x3c3ff9fd	0x3c3ff9fd	MATCH	-
sscanf	0xbcab6ee6	0xbcab6ee6	MATCH	-
usleep_range_state	0xc3055d20	0xc3055d20	MATCH	-
