object	stock_section	stock_offset	stock_size	recon_section	recon_size	verdict
g_ctx	.bss	0x0	8	.bss	8	BYTE_IDENTICAL
current_backlight	.bss	0x8	4	.bss	4	BYTE_IDENTICAL
lcm_probe.__key	.bss	0xc	1	.bss	1	BYTE_IDENTICAL
primary_lcm_class	.bss	0x10	8	.bss	8	BYTE_IDENTICAL
last_hbm_backlight_value	.bss	0x18	4	.bss	4	BYTE_IDENTICAL
lcm_driver	.data	0x0	200	.data	200	BYTE_IDENTICAL
current_fps	.data	0xc8	4	.data	4	BYTE_IDENTICAL
ext_funcs	.data	0xd0	320	.data	320	BYTE_IDENTICAL
class_attr_primary_lcm	.data	0x210	64	.data	64	BYTE_IDENTICAL
vtdr6115_vdo_120hz_dphy_buf_thresh	.data	0x250	56	.data	56	BYTE_IDENTICAL
vtdr6115_vdo_120hz_dphy_range_min_qp	.data	0x288	60	.data	60	BYTE_IDENTICAL
vtdr6115_vdo_120hz_dphy_range_max_qp	.data	0x2c4	60	.data	60	BYTE_IDENTICAL
vtdr6115_vdo_120hz_dphy_range_bpg_ofs	.data	0x300	60	.data	60	BYTE_IDENTICAL
ext_params	.data	0x340	66328	.data	66328	BYTE_IDENTICAL
ext_params_90hz	.data	0x10658	66328	.data	66328	BYTE_IDENTICAL
ext_params_120hz	.data	0x20970	66328	.data	66328	BYTE_IDENTICAL
__UNIQUE_ID___addressable_cleanup_module463	.exit.data	0x0	8	-	-	MISSING
__this_module	.gnu.linkonce.this_module	0x0	1088	.gnu.linkonce.this_module	1088	BYTE_IDENTICAL
__UNIQUE_ID___addressable_init_module462	.init.data	0x0	8	-	-	MISSING
__UNIQUE_ID_author464	.modinfo	0x0	48	-	-	MISSING
__UNIQUE_ID_description465	.modinfo	0x30	51	-	-	MISSING
__UNIQUE_ID_license466	.modinfo	0x63	15	-	-	MISSING
__UNIQUE_ID_vermagic333	.modinfo	0x72	87	.modinfo	85	SIZE_DELTA
__UNIQUE_ID_name334	.modinfo	0xc9	32	.modinfo	32	BYTE_IDENTICAL
__UNIQUE_ID_depends335	.modinfo	0xe9	35	.modinfo	35	BYTE_IDENTICAL
__UNIQUE_ID_alias336	.modinfo	0x10c	39	.modinfo	39	BYTE_IDENTICAL
__UNIQUE_ID_alias337	.modinfo	0x133	41	.modinfo	41	BYTE_IDENTICAL
_note_9	.note.Linux	0x0	24	.note.Linux	24	BYTE_IDENTICAL
