module	stock_placement	loaded_normal_boot	loaded_recovery	purpose_subsystem	hardware_controlled	dt_compatible_node	stock_consumers	stock_providers	kernel_imports	intermodule_imports	exports	source_candidate	candidate_repo_path_commit	source_confidence	gq5012bf1_delta_evidence	req_kernel_boot	req_android_boot	req_basic_ui	req_storage	req_charging	req_usb	req_touch	req_audio	req_wifi	req_bt	req_gps	req_cameras	req_fingerprint	req_thermal	runtime_active_on_stock	stock_blob_can_remain	risk_if_missing	re_difficulty	disposition	priority	next_task
panel_ky_vtdr6115_dphy_cmd	vendor_boot_platform:panel-ky-vtdr6115-dphy-cmd.ko	yes (vendor_boot platform modules.load idx 76)	yes (modules.load.recovery idx 74)	DRM/DSI panel driver (MediaTek mtk_panel_ext + drm_panel)	Viewtrix VTDR6115 AMOLED DDIC, 1080x2400, 60/90/120 Hz, main display	"panel1@0, compatible=""hx,vtdr6115,cmd,120hz,ky""; vci/dvdd/powerdm/reset GPIOs; DSI0 endpoint; bootarg lcmname=yft_vtdr6115_fhdp_dsi_cmd_hx_dphy_667_ky_lcm_drv"	none (leaf)	mtk_panel_ext(6); mediatek_drm(1)	38	7	0	LieppOS clean-room stock-oracle reconstruction; Motorola donor retained as structural-only	kernel/phase4-panel-vtdr6115-recon; exact GKI workspace //lieppos/panel-vtdr6115-recon:panel_vtdr6115_recon	ORACLE_RECONSTRUCTION_PROVIDER_ABI_BLOCKED	24/24 functions; 199816-byte .data and all three 66328-byte panel params byte-identical; all 46 static init payloads exact; 45 writes/287 bytes runtime; 19/24 functions byte-identical; 38/45 CRCs match, exactly 7 stock MediaTek display-provider CRCs blocked.	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES (lcm_prepare/lcm_enable/mtk_panel_ext_param_set in stock dmesg)	YES_WITH_STOCK_PROVIDER_CHAIN	mediatek-drm (loads at plat idx 80) finds no registered panel -> no CRTC/display; adb-only headless boot	PANEL LOGIC COMPLETE; exact vendor provider type graph missing	BLOCKED_WITH_EXACT_MISSING_EVIDENCE	P1_CORE_HARDWARE	Obtain exact Ulefone MediaTek mtk_panel_ext/DRM header type graph and source-build provider Module.symvers; require all 7 CRCs before packaging; retain stock panel+providers meanwhile
yft_devinfo	vendor_boot_platform:yft_devinfo.ko;vendor_dlkm:yft_devinfo.ko	yes (vendor_dlkm modules.load idx 193)	yes (modules.load.recovery idx 187)	YFT nine-class device-info registry / provider (proc + sysfs + per-type registration)	none directly; board identity registry consumed by touch, camera, sensors, gauge, rear LCD, flash	mediatek,yft_devices (yft_device_of_match); /chosen bootargs lcmname=, lpddr_used_name=, flash_type=, PreEOLInfo=; urxdo_gpio_select	aw36518; focaltech_touch_spi_ft3680; hf_manager; hynitron; imgsensor; sh366003_fg; spi_tiny_co5300_lcd	none (kernel-only)	40	0	27	No donor. RED-derived reconstruction already exists (partial).	$GKI_WS/lieppos/yft-devinfo-recon (LieppOS); partial donor header hf_sensor_io.h from nothing-mt6878	NO_USEFUL_SOURCE	Ulefone/YFT-only. 72/72 functions, 42/42 objects, 40/40 import CRCs reproduced; 17/27 export CRCs reproduced; 10 *_device_add() export CRCs blocked on a single 73-char vendor enum type text.	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	YES	NO	NO	YES (provider for 7 stock consumers)	YES_SAFE_TRANSITION	sh366003_fg, hynitron, spi_tiny_co5300_lcd, imgsensor, hf_manager, focaltech_touch_spi_ft3680, aw36518 all fail to load (unknown symbol)	MODERATE (blocked on missing vendor header text, not on analysis)	SOURCE_DELTA	P1_CORE_HARDWARE	Keep STOCK yft_devinfo as the Level-A/B provider and link every consumer (incl. reconstructed FT3680) against the STOCK Module.symvers; close the 73-char enum gap only if a YFT BSP drop appears
sh366003_fg	vendor_boot_platform:sh366003_fg.ko	yes (vendor_boot platform modules.load idx 133)	yes (modules.load.recovery idx 131)	Sinowealth SH366003 pack fuel gauge (I2C), '3rd-gauge' power supply	SH366003 gauge, I2C bus 9 addr 0x55, high-voltage pack (~8.4 V), FCC ~8594 mAh	"sh366003@55 under i2c@11c24000, compatible=""sh,sh366003"", clock-frequency=400000; alias i2c:sh366003"	none (symbol leaf; power-supply consumer chain exists)	yft_devinfo(3)	33	3	0	No public SH366003 Linux driver located; complete stock-oracle reconstruction now preserved.	none	NO_USEFUL_SOURCE / ORACLE_RECONSTRUCTED	39/39 named functions; exact 35-import/36-MODVERSION/8-KCFI maps; byte-exact 2142-byte AFI interpreter image; 527-check verifier PASS; safe build gates programming.	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	PARTIAL (battery temp)	YES (fg_monitor_workfunc every 5 s in stock dmesg)	YES_WITH_STOCK_PROVIDER_CHAIN (exact stock yft_devinfo CRCs)	3rd-gauge absent; MT6375 battery/charger modules lose the SH pack source used for public Android SOC, voltage, current, cycle and FCC reporting.	HIGH, statically recovered with proprietary data-field naming residuals	SOURCE_RECONSTRUCTED	P1_CORE_HARDWARE	Reconstruction/build/verifier complete; keep stock yft_devinfo and retain AFI programming gate; no live fuel-gauge programming
sc8571_charger	vendor_boot_platform:sc8571_charger.ko	yes (vendor_boot platform modules.load idx 147)	yes (modules.load.recovery idx 145)	SouthChip SC8571 2:1 switched-capacitor direct charge pump, MediaTek charger_class device	SC8571 master @ I2C 11-0066 (primary_dvchg) and slave @ I2C 6-0067 (secondary_dvchg)	"sc8571@66 compatible=""sc,sc8571-master""; sc8571@67 compatible=""sc,sc8571-slave""; sc8571,intr_gpio; exactly 40 required sc,sc8571,* scalar properties"	none (leaf)	charger_class(1)	41	1	0	No exact source; OPLUS oplus_sc8571*.{c,h} retained as register-map donor only	kernel/phase4-sc8571-recon; exact GKI workspace //lieppos/sc8571-recon:sc8571_recon	NO_USEFUL_SOURCE / ORACLE_RECONSTRUCTED	34-function stock oracle recovered: master/slave topology, 58 reg_fields, 40 DT writes, protections, 6-channel charger ADC, power_supply, IRQ, watchdog/PM/shutdown, and exact 648-byte MediaTek charger_ops/provider CRC. Exact-GKI build and bounded ABI/behavioral static parity PASS; no hardware activation.	NO	NO	NO	NO	YES	PARTIAL	NO	NO	NO	NO	NO	NO	NO	PARTIAL (charger-cooler)	YES (sc8571_enable_adc / sc8571_get_adc_data loops + irq/49 and irq/63 threads)	YES_WITH_STOCK_PROVIDER_CHAIN (needs charger_class)	loss of PD/PPS direct-charge (fast charging); MediaTek charger framework loses primary_dvchg/secondary_dvchg; normal BC1.2/PD charging via mt6375-charger unaffected	COMPLETED (exact-GKI BUILD_RC=0; exact __versions/KCFI/rodata; bounded static ABI/behavioral parity PASS)	SOURCE_RECONSTRUCTED	P1_CORE_HARDWARE	Static reconstruction complete; retain charger_class provider CRC 0x36325d38 and no-live-charging/PD safety boundary
sc851x_charger	vendor_boot_platform:sc851x_charger.ko	yes (vendor_boot platform modules.load idx 146)	yes (modules.load.recovery idx 144)	SouthChip SC8510/SC8517 forward 2:1 / reverse 1:2 converter + load switch	SC8510 configuration/debug/IRQ shim @ I2C 6-0069 (stale node suffix @6f; authoritative reg 0x69); exact board power nets unknown	"compatible=""sc,sc8510"" (driver also matches sc,sc851x / sc,sc8517); sc,sc851x,irq-gpio; exactly 35 required sc,sc851x,* raw field properties"	none (leaf)	none (kernel-only)	30	0	0	No public SC851x Linux driver located; stock-oracle reconstruction completed.	kernel/phase4-sc851x-reconstructed-source.c; workspace/phase4-sc851x/reconstruction	NO_USEFUL_SOURCE	11-function stock oracle fully recovered: 50 reg_fields, 35 DT writes, reset/dump, raw register sysfs, FLAG1/2/3 IRQ, PM and shutdown AUDIO_EN clear. No charger_class/power_supply/regulator/extcon/USB registration.	NO	NO	NO	NO	PARTIAL	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES (bound 6-0069; irq/57-sc851x-irq thread present)	YES_SAFE_TRANSITION (0 intermodule imports; 30/30 kernel CRCs match)	without replacement the SC8510 protection/timing/frequency configuration and fault logging are absent; external enable/default behavior remains board-schematic unknown	COMPLETED (exact-GKI BUILD_RC=0; structural parity PASS; 8/9 behavioral functions byte-identical)	SOURCE_RECONSTRUCTED	P1_CORE_HARDWARE	Static reconstruction complete; retain no-live-power-test safety boundary and do not infer uSmart/charging policy beyond the documented stock shim
tkcore	vendor_boot_platform:tkcore.ko	yes (vendor_boot platform modules.load idx 99)	yes (modules.load.recovery idx 97)	TrustKernel T6 TEE client core: TEEC_* GlobalPlatform API, /dev/tkcore_client, /dev/tkcore_admin, /proc/tkcore, tee_spi_transfer	ARM TrustZone secure world (T6 TEE); RPMB	"reserved-memory tkcore_shared_mem, compatible=""trustkernel,shared_mem"", 32 MiB, no-map"	microarray_fp_tee; tkcore_drv; tmem_ffa	none (kernel-only)	101	0	25	Not present in NothingOSS kernel/device_modules/kernel_modules, not in MiCode vendor-reference trees, no public TrustKernel TKCore kernel drop located. The Nothing TEEI TEEC_* hits are GlobalPlatform API-name collisions, not source.	none	NO_USEFUL_SOURCE	Vendor TEE stack chosen by Ulefone. 25 exports, 101 kernel imports, 0 intermodule imports.	NO	YES	NO	PARTIAL (FBE key ops)	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES (8 x tkcore_smc_task kthreads; /dev/tkcore_fp present)	YES_SAFE_TRANSITION (101/101 kernel import CRCs MATCH, zero intermodule imports)	keymint@3.0-service.trustkernel and gatekeeper-service.trustkernel fail -> keystore2/FBE unlock fails -> no Android userspace with encrypted userdata; tmem_ffa and microarray_fp_tee lose their provider	VERY_HIGH (TEE client core, 25-symbol ABI, secure-world protocol)	STOCK_TRANSITION_BLOB	P0_BOOT_CRITICAL	Retain stock tkcore.ko unchanged; record its 25 export CRCs as a frozen ABI contract; do not attempt RE before Level C
tkcore_drv	vendor_boot_platform:tkcore_drv.ko	yes (vendor_boot platform modules.load idx 100)	yes (modules.load.recovery idx 98)	TrustKernel TZ transport driver: SMC/FF-A bridge, shared-memory pool, TEE log buffer, tkcore_smc_task kthreads	ARM TrustZone SMC / FF-A v1.0 interface	"module string ""trustkernel,tkcore""; consumes reserved-memory tkcore_shared_mem (falls back to allocated shm if the node is absent)"	none (leaf)	tkcore(11); ffa_v10(2)	54	13	0	Same as tkcore: no public source located.	none	NO_USEFUL_SOURCE	Ulefone/TrustKernel-only; depends=tkcore,ffa_v10; reports 'tkcoreos-rev: %d.%d.%d-gp'	NO	YES	NO	PARTIAL (FBE key ops)	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES (loaded at plat idx 100, immediately after tkcore)	YES_WITH_STOCK_PROVIDER_CHAIN (needs stock tkcore + ffa_v10 export CRCs)	TEE never initialises; same consequences as tkcore	VERY_HIGH	STOCK_TRANSITION_BLOB	P0_BOOT_CRITICAL	Retain stock tkcore_drv.ko; keep ffa_v10 on stock too, or prove ffa_v10's 2 consumed export CRCs before rebuilding it
conninfra	vendor_dlkm:conninfra.ko	yes (vendor_dlkm modules.load idx 120)	no (vendor_dlkm is not mounted in recovery)	MediaTek Connsys infrastructure: power/clock/EMI/calibration arbitration for WIFI/BT/GPS/FM	MT6878 CONNSYS subsystem + MT6686 A-die	mediatek,conninfra (MT6878 conn_drv/connv2/platform/mt6878)	bt_drv_6878; fmradio_drv_connac2x; gps_drv_dl_v051; wlan_drv_gen4m_6878	connadp(13); aee_aed(2); mtk_disp_notify(2); device_apc_common(1); ccci_md_all(1)	175	19	81	MediaTek kernel_modules/connectivity/conninfra with an explicit MT6878 platform object set	nothing-mt6878/kernel_modules@5f75a3b connectivity/conninfra (BUILD.bazel define_mgk_ko(name='conninfra'); Kbuild lines 424-436 add conn_drv/connv2/platform/mt6878/{mt6878,_ops,_soc,_atf,_pmic,_emi,_consys_reg,_pos,_pos_gen,_coredump,_debug_gen}.o under CONFIG_MTK_COMBO_CHIP_CONSYS_6878)	EXACT_SOURCE	None proven Ulefone-specific. Stock exports 81 symbols; delta vs donor is expected to be MediaTek platform revision, not Ulefone hardware.	NO	NO	NO	NO	NO	NO	NO	NO	YES	YES	YES	NO	NO	NO	YES (conninfra_cored/conninfra_cb/sub_*_thrd kthreads; pre-cal runs at UNBLANK)	YES_WITH_STOCK_PROVIDER_CHAIN (connadp, aee_aed, mtk_disp_notify, device-apc-common, ccci_md_all)	WLAN, BT, GPS and FM all lose their power/calibration arbiter -> no connectivity at all	N/A (do not reverse engineer)	FORWARD_PORT	P2_MAJOR_FEATURE	Build //vendor/mediatek/kernel_modules/connectivity/conninfra:conninfra with CONFIG_MTK_COMBO_CHIP_CONSYS_6878=y against exact GKI 12901745, then diff its 81 export CRCs against the stock oracle
wmt_chrdev_wifi_connac2	vendor_dlkm:wmt_chrdev_wifi_connac2.ko	yes (vendor_dlkm modules.load idx 121)	no (vendor_dlkm is not mounted in recovery)	WLAN char-device adaptor (connac2x): /dev/wmtWifi power/mode control	MT6878 CONNAC2 WLAN	none (chrdev); selected by ro.vendor.wlan.chrdev=wmt_chrdev_wifi_connac2	wlan_drv_gen4m_6878	none (kernel-only)	40	0	18	MediaTek WLAN adaptor connac2x build	nothing-mt6878/kernel_modules@5f75a3b connectivity/wlan/adaptor/build/connac2x:wmt_chrdev_wifi_connac2 (exact bazel target; deps common:wmt_drv + conninfra)	EXACT_SOURCE	None proven Ulefone-specific; 40 kernel imports, 0 intermodule imports, 18 exports.	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	YES (property ro.vendor.wlan.chrdev set; wlan_assistant running)	YES_SAFE_TRANSITION (0 intermodule imports)	wlan_drv_gen4m_6878 loses 13 imported symbols; Wi-Fi cannot be powered on	N/A	FORWARD_PORT	P2_MAJOR_FEATURE	Build the exact connac2x adaptor target; compare its 18 export CRCs against stock before rebuilding wlan_drv_gen4m_6878
wlan_drv_gen4m_6878	vendor_dlkm:wlan_drv_gen4m_6878.ko	yes (vendor_dlkm modules.load idx 122)	no (vendor_dlkm is not mounted in recovery)	MediaTek gen4m WLAN driver for MT6878/CONNAC2	MT6878 integrated Wi-Fi (2.4/5/6 GHz)	none (registered through conninfra/adaptor)	none (leaf)	cfg80211(45); conninfra(21); wmt_chrdev_wifi_connac2(13); connadp(6); connfem(3); mtk_disp_notify(2); mddp(2); aee_aed(1); pmic_lbat_service(1); ccci_md_all(1)	295	95	0	MediaTek gen4m core with an explicit 6878 build directory	nothing-mt6878/kernel_modules@5f75a3b connectivity/wlan/core/gen4m/build/connac2x/6878:wlan_drv_gen4m_6878 (BUILD.bazel name=wlan_drv_gen4m_6878; gen4m/Kbuild line 26-27 selects Kbuild.6878; deps conninfra, connfem, wlan_page_pool, wmt_chrdev_wifi_connac2)	EXACT_SOURCE	None proven Ulefone-specific. 390 imports fully classified, 0 unknown. Largest provider is cfg80211 (45, GKI system_dlkm).	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	YES (mtk_wland_thread / wlan_rst_thread kthreads; wifi HAL up)	YES_WITH_STOCK_PROVIDER_CHAIN (cfg80211, conninfra, wmt_chrdev_wifi_connac2, connadp, connfem, mddp, mtk_disp_notify, aee_aed, pmic_lbat_service, ccci_md_all)	no Wi-Fi	N/A (size is not evidence for RE)	FORWARD_PORT	P2_MAJOR_FEATURE	Build after conninfra + connfem + wmt_chrdev_wifi_connac2 Module.symvers exist; then compare the 390 import CRCs against the stock oracle
