symbol	binding	type	section	value	size
sc851x_charger_probe	LOCAL	FUNC	.text	0x0000000000000004	1924
sc851x_register_interrupt	LOCAL	FUNC	.text	0x0000000000000820	252
sc851x_charger_remove	LOCAL	FUNC	.text	0x000000000000078c	40
sc851x_charger_shutdown	LOCAL	FUNC	.text	0x00000000000007b8	104
sc851x_irq_handler	LOCAL	FUNC	.text	0x0000000000000ae8	236
sc851x_show_registers	LOCAL	FUNC	.text	0x0000000000000920	296
sc851x_store_register	LOCAL	FUNC	.text	0x0000000000000a4c	152
sc851x_suspend	LOCAL	FUNC	.text	0x0000000000000bd8	96
sc851x_resume	LOCAL	FUNC	.text	0x0000000000000c3c	96
init_module	GLOBAL	FUNC	.init.text	0x0000000000000004	44
cleanup_module	GLOBAL	FUNC	.exit.text	0x0000000000000004	36
