symbol	binding	type	section	value	size
sc851x_charger_driver	LOCAL	OBJECT	.data	0x0000000000000000	280
sc851x_regmap_config	LOCAL	OBJECT	.rodata	0x00000000000000c0	328
sc851x_reg_fields	LOCAL	OBJECT	.rodata	0x0000000000000208	1000
dev_attr_registers	LOCAL	OBJECT	.data	0x0000000000000438	32
__UNIQUE_ID___addressable_init_module455	LOCAL	OBJECT	.init.data	0x0000000000000000	8
__UNIQUE_ID___addressable_cleanup_module456	LOCAL	OBJECT	.exit.data	0x0000000000000000	8
__UNIQUE_ID_description457	LOCAL	OBJECT	.modinfo	0x0000000000000000	29
__UNIQUE_ID_license458	LOCAL	OBJECT	.modinfo	0x000000000000001d	15
__UNIQUE_ID_author459	LOCAL	OBJECT	.modinfo	0x000000000000002c	43
sc851x_charger_match_table	LOCAL	OBJECT	.data	0x0000000000000118	800
sc851x_pm	LOCAL	OBJECT	.rodata	0x0000000000000000	192
_note_9	LOCAL	OBJECT	.note.Linux	0x0000000000000000	24
_note_10	LOCAL	OBJECT	.note.Linux	0x0000000000000018	24
__UNIQUE_ID_vermagic333	LOCAL	OBJECT	.modinfo	0x0000000000000057	87
__UNIQUE_ID_name334	LOCAL	OBJECT	.modinfo	0x00000000000000ae	20
____versions	LOCAL	OBJECT	__versions	0x0000000000000000	1920
__UNIQUE_ID_depends335	LOCAL	OBJECT	.modinfo	0x00000000000000c2	9
__this_module	GLOBAL	OBJECT	.gnu.linkonce.this_module	0x0000000000000000	1088
