index	field	register	lsb	msb	stock_action	dt_property	dt_raw_value
0	SC851X_F_V2X_OVP_DIS	0x00	7	7	CONFIG_WRITE	sc,sc851x,v2x-ovp-dis	0
1	SC851X_F_V2X_OVP	0x00	5	6	CONFIG_WRITE	sc,sc851x,v2x-ovp	2
2	SC851X_F_V2X_UVLO	0x00	4	4	CONFIG_WRITE	sc,sc851x,v2x-uvlo	1
3	SC851X_F_V2X_S2F	0x00	2	3	CONFIG_WRITE	sc,sc851x,v2x-s2f	1
4	SC851X_F_UVLO_DEG	0x00	0	1	CONFIG_WRITE	sc,sc851x,uvlo-deg	0
5	SC851X_F_V1X_OVP_DIS	0x01	7	7	CONFIG_WRITE	sc,sc851x,v1x-ovp-dis	0
6	SC851X_F_V1X_OVP	0x01	2	6	CONFIG_WRITE	sc,sc851x,v1x-ovp	23
7	SC851X_F_V1X_SCP_DIS	0x01	1	1	CONFIG_WRITE	sc,sc851x,v1x-scp-dis	1
8	SC851X_F_V1X_SCP_F	0x01	0	0	CONFIG_WRITE	sc,sc851x,v1x-scp-f	0
9	SC851X_F_VAC_OVP_DIS	0x02	7	7	CONFIG_WRITE	sc,sc851x,vac-ovp-dis	0
10	SC851X_F_VAC_OVP	0x02	3	6	CONFIG_WRITE	sc,sc851x,vac-ovp	15
11	SC851X_F_RSVD_02_1	0x02	1	1	ALLOCATED_ONLY	-	-
12	SC851X_F_RSVD_02_0	0x02	0	0	ALLOCATED_ONLY	-	-
13	SC851X_F_RVS_OCP	0x03	4	7	CONFIG_WRITE	sc,sc851x,rvs-ocp	15
14	SC851X_F_FWD_OCP	0x03	0	3	CONFIG_WRITE	sc,sc851x,fwd-ocp	4
15	SC851X_F_WDT	0x04	4	7	CONFIG_WRITE	sc,sc851x,wdt	0
16	SC851X_F_LNC_SS_TIMEOUT_DIS	0x04	3	3	CONFIG_WRITE	sc,sc851x,lnc-ss-timeout-dis	0
17	SC851X_F_LNC_SS_TIMEOUT	0x04	1	2	CONFIG_WRITE	sc,sc851x,lnc-ss-timeout	3
18	SC851X_F_SS_TIMEOUT_DIS	0x04	0	0	CONFIG_WRITE	sc,sc851x,ss-timeout-dis	0
19	SC851X_F_RSVD_05_7_5	0x05	5	7	ALLOCATED_ONLY	-	-
20	SC851X_F_RSVD_05_1	0x05	1	1	ALLOCATED_ONLY	-	-
21	SC851X_F_RSVD_05_0	0x05	0	0	ALLOCATED_ONLY	-	-
22	SC851X_F_RSVD_06_7	0x06	7	7	ALLOCATED_ONLY	-	-
23	SC851X_F_RSVD_06_6	0x06	6	6	ALLOCATED_ONLY	-	-
24	SC851X_F_RSVD_06_5	0x06	5	5	ALLOCATED_ONLY	-	-
25	SC851X_F_RSVD_06_4	0x06	4	4	ALLOCATED_ONLY	-	-
26	SC851X_F_REG_RST	0x06	3	3	RESET_WRITE_1	-	-
27	SC851X_F_AUDIO_EN	0x06	2	2	CONFIG_WRITE	sc,sc851x,audio-en	1
28	SC851X_F_AUDIO_FREQ	0x06	1	1	CONFIG_WRITE	sc,sc851x,audio-freq	0
29	SC851X_F_AUDIO_INTO_DG	0x06	0	0	CONFIG_WRITE	sc,sc851x,audio-into-dg	1
30	SC851X_F_RSVD_07_6	0x07	6	6	ALLOCATED_ONLY	-	-
31	SC851X_F_RSVD_07_5_4	0x07	4	5	ALLOCATED_ONLY	-	-
32	SC851X_F_FREQ	0x07	0	3	CONFIG_WRITE	sc,sc851x,freq	6
33	SC851X_F_REF_SKIP_R	0x08	5	7	CONFIG_WRITE	sc,sc851x,ref-skip-r	5
34	SC851X_F_SKIP_HYST	0x08	1	3	CONFIG_WRITE	sc,sc851x,skip-hyst	3
35	SC851X_F_T_VAC_OVP_DG	0x12	7	7	CONFIG_WRITE	sc,sc851x,t-vac-ovp-dg	0
36	SC851X_F_T_V2X_OVP_DG	0x12	6	6	CONFIG_WRITE	sc,sc851x,t-v2x-ovp-dg	0
37	SC851X_F_T_V1X_OVP_DG	0x12	5	5	CONFIG_WRITE	sc,sc851x,t-v1x-ovp-dg	0
38	SC851X_F_T_FWD_OCP_DG	0x12	4	4	CONFIG_WRITE	sc,sc851x,t-fwd-ocp-dg	0
39	SC851X_F_T_RVS_OCP_DG	0x12	3	3	CONFIG_WRITE	sc,sc851x,t-rvs-ocp-dg	0
40	SC851X_F_T_V2X2VAD_LNC_MAX_DG	0x12	2	2	CONFIG_WRITE	sc,sc851x,t-v2x2vad-lnc-max-dg	0
41	SC851X_F_T_T3_SET	0x12	0	0	CONFIG_WRITE	sc,sc851x,t-t3-set	0
42	SC851X_F_FWD_OCP_DIS	0x13	7	7	CONFIG_WRITE	sc,sc851x,fwd-ocp-dis	0
43	SC851X_F_RVS_OCP_DIS	0x13	6	6	CONFIG_WRITE	sc,sc851x,rvs-ocp-dis	0
44	SC851X_F_TSHUT_DIS	0x13	5	5	CONFIG_WRITE	sc,sc851x,tshut-dis	1
45	SC851X_F_RSVD_13_4	0x13	4	4	ALLOCATED_ONLY	-	-
46	SC851X_F_RSVD_13_3	0x13	3	3	ALLOCATED_ONLY	-	-
47	SC851X_F_V1X_OSS_OPP_DIS	0x13	1	1	CONFIG_WRITE	sc,sc851x,v1x-oss-opp-dis	0
48	SC851X_F_RSVD_14_4_0	0x14	0	4	ALLOCATED_ONLY	-	-
49	SC851X_F_FAM_EN	0x15	0	1	CONFIG_WRITE	sc,sc851x,fam-en	0
